,tag
0,"furniture, home furnishings and equipment shops, and manufacturers, except appliances"
1,"cable, satellite, and other pay television and radio services"
2,"jewelry, watch, clock, and silverware shops"
3,"watch, clock, and jewelry repair shops"
4,"music shops - musical instruments, pianos, and sheet music"
5,"gift, card, novelty, and souvenir shops"
6,"computers, computer peripheral equipment, and software"
7,"watch, clock, and jewelry repair shops"
8,"computer programming , data processing, and integrated systems design services"
9,"furniture, home furnishings and equipment shops, and manufacturers, except appliances"
10,"computers, computer peripheral equipment, and software"
11,"equipment, tool, furniture, and appliance  rent al and leasing"
12,"music shops - musical instruments, pianos, and sheet music"
13,artist supply and craft  shops
14,"florists supplies, nursery stock, and flowers"
15,"computers, computer peripheral  equipment, and software"
16,"antique shops - sales, repairs, and restoration services"
17,motor vehicle supplies and new parts
18,motor vehicle supplies and new parts
19,"gift, card, novelty, and souvenir shops"
20,artist supply and craft shops
21,artist supply  and craft shops
22,"books, periodicals, and newspapers"
23,"florists supplies, nursery stock, and flowers"
24,artist supply and craft shops
25,"jewelry, watch, clock, and silverware shops"
26,"stationery, office supplies and printing and writing paper"
27,"computers, computer peripheral equipment, and software"
28,tent and awning shops
29,"gift, card, novelty, and souvenir shops"
30,"furniture, home furnishings and equipment shops, and manufacturers, except appliances"
31,art dealers and galleries
32,"music shops - musical instruments, pianos, and sheet music"
33,bicycle shops - sales and service
34,"computers, computer peripheral equipment, and software"
35,"furniture, home furnishings and equipment shops, and manufacturers, except appliances"
36,"jewelry, watch, clock, and silverware shops"
37,"gift, card, novelty, and souvenir shops"
38,"watch, clock, and jewelry repair shops"
39,"gift, card, novelty, and souvenir shops"
40,"digital goods: books, movies, music"
41,shoe shops
42,"furniture, home furnishings and equipment shops, and manufacturers, except appliances"
43,"gift, card, novelty, and souvenir shops"
44,"opticians, optical goods, and eyeglasses"
45,"antique shops - sales, repairs, and restoration services"
46,"stationery, office supplies and printing and writing paper"
47,"computer programming , data processing, and integrated systems design services"
48,"watch, clock, and jewelry repair shops"
49,"digital goods: books, movies, music"
50,"jewelry, watch, clock, and silverware shops"
51,art dealers and galleries
52,"computer programming , data processing, and integrated systems design services"
53,health and beauty spas
54,"hobby, toy and game shops"
55,tent and awning shops
56,"opticians, optical goods, and eyeglasses"
57,"books, periodicals, and newspapers"
58,"digital goods: books, movies, music"
59,shoe shops
60,shoe shops
61,"hobby, toy and game shops"
62,shoe shops
63,"computers, computer peripheral equipment, and software"
64,motor vehicle supplies and new parts
65,shoe shops
66,"cable, satellite, and other pay television and radio services"
67,"watch, clock, and jewelry repair shops"
68,"florists supplies, nursery stock, and flowers"
69,"opticians, optical goods, and eyeglasses"
70,health and beauty spas
71,"antique shops - sales, repairs, and restoration services"
72,"lawn and garden supply outlets, including nurseries"
73,tent and awning shops
74,"gift, card, novelty, and souvenir shops"
75,"music shops - musical instruments, pianos, and sheet music"
76,"watch, clock, and jewelry repair shops"
77,"jewelry, watch, clock, and silverware shops"
78,bicycle shops - sales and service
79,motor vehicle supplies  and new parts
80,"hobby, toy and game shops"
81,"lawn and garden supply outlets, including nurseries"
82,"gift, card, novelty, and souvenir shops"
83,health and beauty spas
84,"furniture, home furnishings and equipment shops, and manufacturers, except appliances"
85,art dealers and galleries
86,"digital goods: books, movies, music"
87,"gift, card, novelty, and souvenir shops"
88,"gift, card, novelty, and souvenir shops"
89,shoe shops
90,"opticians, optical goods, and eyeglasses"
91,"computer programming , data processing, and integrated systems design services"
92,"equipment, tool, furniture, and appliance rent al and leasing"
93,tent and awning shops
94,telecom
95,"computers, computer peripheral  equipment, and software"
96,"gift, card, novelty, and souvenir shops"
97,telecom
98,"cable, satellite, and other pay television and radio services"
99,"music shops - musical instruments, pianos, and sheet music"
100,"hobby,  toy  and game shops"
101,"gift, card, novelty, and souvenir shops"
102,"jewelry, watch, clock, and silverware shops"
103,"florists supplies, nursery stock, and flowers"
104,"cable,  satellite, and other pay television and radio services"
105,"hobby, toy and game shops"
106,artist supply and craft shops
107,"gift, card, novelty, and souvenir shops"
108,"hobby, toy and game shops"
109,"hobby, toy and game shops"
110,"stationery, office supplies and printing and writing paper"
111,"watch, clock, and jewelry repair shops"
112,"books, periodicals, and newspapers"
113,"opticians, optical goods, and eyeglasses"
114,"watch, clock, and jewelry repair shops"
115,"books, periodicals, and newspapers"
116,"watch, clock, and jewelry repair shops"
117,shoe shops
118,"cable, satellite, and other pay television and radio services"
119,health and beauty spas
120,health and beauty spas
121,"equipment, tool, furniture, and appliance rent al and leasing"
122,motor vehicle supplies and new parts
123,"books,  periodicals, and newspapers"
124,"computer programming , data processing, and integrated systems design services"
125,"gift, card, novelty, and souvenir shops"
126,bicycle shops - sales and service
127,bicycle shops - sales and service
128,tent and awning shops
129,"books, periodicals,  and newspapers"
130,"jewelry, watch, clock, and silverware shops"
131,"music shops - musical instruments, pianos, and sheet music"
132,artist supply and craft shops
133,"stationery, office supplies and printing and writing paper"
134,"lawn and garden supply outlets, including nurseries"
135,"computer programming , data processing, and integrated systems design services"
136,"gift, card, novelty, and souvenir shops"
137,"watch, clock, and jewelry repair shops"
138,health and beauty spas
139,"florists supplies, nursery stock, and flowers"
140,"gift, card, novelty, and souvenir shops"
141,"antique shops - sales, repairs, and restoration services"
142,"digital goods: books, movies, music"
143,artist supply and craft shops
144,"furniture, home furnishings and equipment shops, and manufacturers, except appliances"
145,shoe shops
146,"digital goods: books, movies, music"
147,"gift, card, novelty, and souvenir shops"
148,"opticians, optical goods, and eyeglasses"
149,"florists supplies, nursery stock, and flowers"
150,"digital goods: books, movies, music"
151,"florists supplies, nursery stock, and flowers"
152,"furniture, home furnishings and equipment shops, and manufacturers, except appliances"
153,"computers, computer peripheral equipment, and software"
154,"stationery, office supplies and printing  and writing paper"
155,tent and awning shops
156,"books, periodicals, and newspapers"
157,motor vehicle supplies and new parts
158,"furniture, home furnishings and equipment shops, and manufacturers, except appliances"
159,"gift, card, novelty, and souvenir shops"
160,bicycle shops - sales and service
161,health and beauty spas
162,"computer programming , data processing, and integrated systems design services"
163,"music shops - musical instruments, pianos, and sheet music"
164,"watch, clock, and jewelry repair shops"
165,"equipment, tool, furniture, and appliance rent al and leasing"
166,"books, periodicals, and newspapers"
167,"music shops - musical instruments, pianos, and sheet music"
168,"books, periodicals, and newspapers"
169,"furniture, home furnishings and equipment shops, and manufacturers, except appliances"
170,"hobby, toy and game shops"
171,"digital goods: books, movies, music"
172,"computers, computer peripheral equipment, and software"
173,"music shops - musical instruments, pianos, and sheet music"
174,"computers, computer peripheral equipment, and software"
175,artist supply and craft shops
176,"florists supplies, nursery stock, and flowers"
177,"furniture, home furnishings and equipment shops, and manufacturers, except appliances"
178,"computers,  computer peripheral equipment, and software"
179,"antique shops - sales, repairs, and restoration services"
180,"hobby, toy and game shops"
181,"computer programming , data processing, and integrated systems design services"
182,"stationery, office supplies and printing and writing paper"
183,"books, periodicals, and newspapers"
184,"computer programming , data processing, and integrated systems design services"
185,"books, periodicals, and newspapers"
186,artist supply and craft shops
187,artist supply and craft shops
188,artist supply and craft shops
189,artist supply and craft shops
190,"equipment, tool, furniture, and appliance rent al and leasing"
191,"stationery, office supplies and printing and writing paper"
192,tent and awning shops
193,tent and awning shops
194,"cable, satellite, and other pay television and radio services"
195,tent and awning shops
196,artist supply and craft shops
197,tent and awning shops
198,"books, periodicals, and  newspapers"
199,"jewelry, watch, clock, and silverware shops"
200,"stationery, office  supplies and printing and writing paper"
201,"watch, clock, and jewelry repair shops"
202,artist supply and craft shops
203,health and beauty spas
204,"florists supplies, nursery stock, and flowers"
205,"antique shops - sales, repairs, and restoration services"
206,art dealers and galleries
207,"computers, computer peripheral equipment, and software"
208,"furniture, home furnishings and equipment shops, and manufacturers, except appliances"
209,"music shops - musical instruments, pianos, and sheet music"
210,"stationery, office supplies and printing and writing paper"
211,"furniture, home furnishings and equipment shops, and manufacturers, except appliances"
212,"florists supplies, nursery stock, and flowers"
213,"cable, satellite, and other pay television and radio services"
214,"music shops - musical instruments, pianos, and sheet music"
215,health and beauty spas
216,"digital goods: books, movies, music"
217,"opticians, optical goods, and eyeglasses"
218,"opticians, optical goods, and eyeglasses"
219,"antique shops - sales, repairs, and restoration services"
