rank,merchant_abn,name,tags,tag,numd_sa2_code,returning_customers,unique_customers,median_weekly_income,commission_avg_tot_dollar_value_monthly,avg_num_order_id_monthly,avg_discounted_value,stddev_tot_dollar_value_monthly,rate_fraud_order,stddev_tot_discounted_value_daily,minmax_numd_sa2_code,minmax_returning_customers,minmax_unique_customers,minmax_median_weekly_income,minmax_commission_avg_tot_dollar_value_monthly,minmax_avg_num_order_id_monthly,minmax_avg_discounted_value,minmax_stddev_tot_dollar_value_monthly,minmax_rate_fraud_order,minmax_stddev_tot_discounted_value_daily,average_rank
1,49891706470,Non Vestibulum Industries,"((teNt and awning shops), (a), (take rate: 5.80))",tent and awning shops,2222.0,24037.0,24078.0,815.703894172373,19807.260485689607,11786.952380952382,27.15578871288796,98783.1714347007,0.06257481332945047,2441.7814254117884,0.0,0.0012880172843610094,0.0001245847176080117,0.9493334174435077,0.3330000301024195,0.13901005252356602,0.9898716571021133,0.7364540105678817,0.012217175308469023,0.5312709580986078,0.36925699031485343
2,63290521567,Vehicula Pellentesque Corporation,"((artist supply and craft shops), (a), (take rate: 6.48))",artist supply and craft shops,2222.0,23346.0,24058.0,815.6636968011688,13544.646460804237,8015.666666666667,24.434462836476023,60938.597597441,0.06253735329923306,1570.2893988863573,0.0,0.029998338042213746,0.00095514950166109,0.9493441647869096,0.5438905451787792,0.41448746043340634,0.9913837047674557,0.4543129558123575,0.011242341252286904,0.3416559503468874,0.37372706101219577
3,45629217853,Lacus Consulting,"[[gift, Card, novelty, and souvenir shops], [a], [take rate: 6.98]]","gift, card, novelty, and souvenir shops",2222.0,23944.0,24080.0,815.6794424831191,27867.74292257064,10317.761904761905,36.24194579013672,117865.11433567006,0.06275373946602089,3012.1618898350807,0.0,0.0051520691374439265,4.152823920267057e-05,0.9493399549531333,0.061567160996470416,0.24632856795018954,0.9848231244310821,0.87871481445527,0.016873425996404873,0.655371572781508,0.37982122189407047
4,89726005175,Est Nunc Consulting,"((tent and awning shops), (a), (take rate: 6.01))",tent and awning shops,2222.0,23930.0,24079.0,815.6881623284935,25495.90171498874,10280.42857142857,38.662409784926076,123064.85407089692,0.0628143239579767,3062.9534438964592,0.0,0.005733754362639232,8.305647840534114e-05,0.9493376235774775,0.1414377728461983,0.2490556193258896,0.9834782443621093,0.9174802147385395,0.018450035136660197,0.6664225527376502,0.3931478873565569
5,64203420245,Pede Nonummy Corp.,"((tent and awning shops), (c), (take rate: 2.86))",tent and awning shops,2222.0,24055.0,24081.0,815.6864322492218,10281.625408766271,12418.095238095239,27.13334935408027,104134.79557100359,0.06258924731693297,2559.5601617825077,0.0,0.0005401362805385057,0.0,0.9493380861389707,0.6537712096480999,0.0929075793940658,0.9898841250613502,0.7763517482188483,0.012592795469018148,0.5568966842443307,0.4032282364455222
6,24852446429,Erat Vitae LLP,"[(florists supplies, nursery stock, and floWers), (c), (take rate: 2.94)]","florists supplies, nursery stock, and flowers",2222.0,24068.0,24080.0,815.6885761002287,12174.76412227791,13690.0,28.34667127186417,119433.83884945851,0.06260864173002609,2941.8784706062265,0.0,0.0,4.152823920267057e-05,0.949337512949673,0.5900206740383672,0.0,0.9892099681773856,0.8904100601421261,0.013097502333190656,0.6400796473521619,0.40721968932321073
7,43186523025,Lorem Ipsum Sodales Industries,"([florists supplies, nurSery stock, and flowers], [b], [take rate: 4.47])","florists supplies, nursery stock, and flowers",2222.0,23814.0,24076.0,815.7052122146213,19246.311511320746,9564.095238095239,42.17606019687584,125497.79234946598,0.06286893646656694,3173.020309486183,0.0,0.01055343194282865,0.00020764119601324182,0.9493330650460192,0.3518897170073011,0.3013809175971338,0.981525958181219,0.935618396846822,0.01987123349016685,0.6903703674471104,0.4240750728754614
8,68216911708,Placerat Eget Venenatis Limited,"[[computers, computer peripheral equipment, and software], [c], [take rate: 3.05]]","computers, computer peripheral equipment, and software",2222.0,23576.0,24064.0,815.6804708071522,10112.309732603106,8483.809523809523,36.60876064908088,95475.16551941588,0.06277699894487963,2375.730602629534,0.0,0.020442080771148397,0.0007059800664451776,0.9493396800159625,0.6594728336049117,0.3802914883995966,0.9846193114456963,0.7117919736246339,0.017478714673134468,0.5168999404728956,0.42410420030744245
9,91923722701,Euismod Urna Institute,"((tent and awning shops), (b), (take rate: 5.05))",tent and awning shops,2222.0,12869.0,22730.0,813.4067656148231,2583.0719860640297,3253.809523809524,14.73684096017704,14882.603265082573,0.06233051121534685,403.4327912034499,0.0,0.46530663121156723,0.05610465116279073,0.94994758769163,0.913016293283326,0.7623221677275731,0.9967719850335314,0.11095364426020587,0.005859625155858988,0.08777694976318647,0.434805953528967
10,64403598239,Lobortis Ultrices Company,"((music shops - musical instruments, pianos, and sheet music), (a), (take rate: 6.31))","music shops - musical instruments, pianos, and sheet music",2222.0,20521.0,23875.0,815.8917058514319,26662.55791011827,5406.714285714285,73.15684926398143,121148.14382249556,0.0635061039672508,3066.0829208595196,0.0,0.1473741066976899,0.008554817275747473,0.949283203298919,0.10215118661715217,0.6050610456015861,0.9643121323085356,0.9031906456851219,0.036452442195927935,0.6671034491549993,0.43834830288356796
