POA_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
POA2000,0,3,107,138,19,17,12,0,0,287,0,0,0,4,0,0,5,0,0,7,0,0,0,4,0,0,0,0,0,4,5,9,103,461,39,35,21,17,3,689,19,33,157,569,74,44,33,24,12,967,357,352,2055,7993,1100,860,604,309,79,13713,6,11,0,17,0,3,0,0,0,42,597,468,797,2322,665,568,472,271,73,6229,0,0,11,30,4,0,6,0,0,48,0,0,0,9,0,0,0,0,0,6,0,3,14,217,8,7,0,0,0,244,0,0,5,15,0,0,3,0,0,27,0,7,7,50,8,14,5,0,0,90,0,0,6,43,4,0,0,0,0,60,16,44,691,1883,285,328,208,63,28,3540,0,0,0,5,0,3,0,0,0,11,0,0,6,20,0,0,11,0,0,34,5,10,53,280,103,114,72,40,11,690,0,0,0,19,14,3,4,3,0,43,0,11,14,110,21,0,0,8,0,163
POA2007,0,0,28,36,0,5,3,0,3,78,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,28,185,19,11,3,0,0,251,3,14,67,117,20,22,11,5,0,259,101,141,793,1889,288,194,140,64,31,3644,0,0,0,0,0,0,0,0,0,0,186,177,442,787,180,100,85,24,13,1981,0,0,9,15,0,4,0,0,0,29,0,0,0,3,0,0,0,0,0,4,0,0,12,64,9,0,0,0,0,85,0,0,12,7,4,0,0,0,0,20,0,0,0,18,3,0,0,0,0,21,0,0,0,19,0,0,0,0,0,16,9,22,334,547,97,86,76,50,28,1247,0,0,0,3,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,10,0,0,17,77,20,15,15,5,4,147,0,0,0,0,0,0,0,0,0,8,0,0,4,38,0,0,0,0,0,46
POA2008,0,0,35,30,5,13,8,0,0,90,0,0,0,6,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,9,0,0,36,167,13,3,3,4,0,226,4,3,123,190,24,25,4,0,0,374,90,98,1710,2485,295,225,115,54,9,5083,0,0,0,0,0,0,0,0,0,0,180,164,937,1714,304,232,137,32,9,3717,0,0,9,16,0,0,0,0,0,33,0,0,0,3,0,0,0,0,0,5,0,0,12,48,0,0,0,0,0,66,0,0,9,7,0,0,0,0,0,12,0,0,6,45,3,4,0,0,0,57,0,0,4,21,0,0,0,0,0,29,0,15,873,738,63,41,25,7,3,1772,0,0,0,0,0,0,5,0,0,6,0,0,0,5,0,0,0,0,0,9,0,0,37,134,48,34,22,11,0,287,0,0,4,3,0,4,0,0,0,15,0,0,4,49,4,3,0,0,0,59
POA2009,0,0,8,54,20,8,7,0,0,104,0,0,0,5,6,3,0,0,0,10,0,0,0,9,6,0,0,0,0,9,4,5,28,326,47,31,16,14,3,476,24,25,23,216,49,36,42,12,5,422,298,335,478,2918,736,675,552,218,51,6267,0,0,0,0,0,0,0,0,0,0,525,512,538,1787,552,545,443,214,42,5147,0,0,0,9,0,0,0,0,0,7,0,0,0,5,0,4,4,0,0,15,0,3,15,189,6,0,0,0,0,222,0,0,0,13,0,0,0,0,0,16,0,0,0,24,5,5,10,0,0,48,0,0,3,34,9,6,0,5,0,54,0,13,51,316,90,163,100,34,14,781,0,0,0,9,0,4,7,0,0,18,0,0,0,4,0,8,11,0,0,22,4,5,20,202,92,95,71,37,6,529,0,0,0,22,8,6,3,0,0,38,0,0,8,87,5,3,5,0,0,112
POA2010,0,0,24,56,16,15,11,8,0,129,0,0,0,11,4,7,0,0,0,18,0,0,0,5,0,0,0,0,0,9,0,8,46,417,56,47,40,42,27,671,10,25,87,342,85,60,40,30,20,701,282,402,1226,5786,1172,943,685,402,188,11082,0,0,0,0,0,0,0,0,0,3,543,648,1511,6252,1720,1373,814,339,126,13315,0,0,3,36,0,0,0,0,0,43,0,0,0,6,0,0,0,3,0,13,0,0,15,198,6,7,7,0,0,237,0,0,0,8,4,6,0,0,0,19,0,0,3,113,27,14,8,0,0,175,0,0,4,68,8,5,4,6,0,89,0,15,44,299,67,91,69,70,39,690,0,0,0,3,3,11,0,8,3,37,0,0,0,6,4,3,7,5,5,23,5,15,104,903,229,231,112,57,14,1679,0,0,4,20,8,5,8,0,7,52,0,4,13,250,31,9,3,3,4,323
POA2011,0,0,4,18,11,6,10,4,0,55,0,0,0,5,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,3,0,0,26,284,50,40,59,29,17,499,14,17,116,328,66,66,51,28,11,703,177,208,639,3904,1021,963,825,426,271,8424,0,0,0,0,0,0,0,0,0,0,312,344,745,4272,1293,1171,932,472,257,9793,0,0,5,8,0,0,0,0,0,9,0,0,0,11,4,3,0,0,0,18,0,0,11,198,17,10,5,0,0,228,0,0,0,0,0,0,0,0,0,6,0,0,4,83,16,26,9,4,0,129,0,0,3,50,12,7,4,3,0,81,0,4,12,126,19,32,21,10,9,230,0,0,0,10,4,3,0,0,0,21,0,0,0,11,0,0,3,5,0,21,0,7,45,497,162,146,127,69,23,1065,0,0,0,11,12,12,0,0,0,46,0,6,10,157,21,10,8,5,0,222
POA2015,0,0,6,24,10,9,14,0,0,64,0,0,0,5,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,5,0,0,12,208,33,22,22,3,0,306,3,16,31,140,27,19,11,9,3,260,268,348,510,2944,658,414,254,98,24,5515,0,0,0,0,0,0,0,0,0,0,546,626,693,3292,805,501,258,83,21,6820,0,0,0,10,0,0,0,0,0,10,0,0,0,3,4,0,0,0,0,10,0,0,5,77,14,0,0,0,0,99,0,0,0,3,0,0,0,0,0,6,0,0,0,43,3,5,0,3,0,66,0,0,0,12,0,3,0,0,0,19,0,0,21,186,27,20,22,13,6,297,0,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,5,0,8,19,318,100,65,27,20,3,561,0,0,0,15,8,4,4,0,0,32,0,0,5,65,7,7,5,0,0,77
POA2016,0,0,12,9,7,11,11,0,0,52,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,4,8,17,210,32,36,50,51,22,428,12,22,45,183,36,41,35,36,19,427,238,302,685,2699,597,547,449,308,124,5943,0,0,0,3,0,0,0,0,0,3,411,510,814,2891,874,704,400,147,37,6792,0,0,4,15,3,3,0,0,0,30,0,0,0,7,0,3,0,6,3,19,0,0,5,89,11,5,0,0,0,109,0,0,0,4,0,0,0,0,0,10,5,0,3,66,7,6,0,0,0,83,0,0,3,41,3,5,5,3,0,61,0,4,73,129,41,87,96,98,33,559,0,0,0,6,5,3,9,7,0,28,0,0,0,0,0,0,0,0,0,13,4,10,25,318,116,79,48,19,6,627,0,0,0,11,3,0,6,9,0,32,0,0,3,88,9,7,5,0,0,113
POA2017,0,6,14,69,18,25,26,5,5,177,0,0,5,18,0,0,0,0,0,22,0,0,0,3,0,0,0,0,0,10,9,46,93,763,72,70,96,79,36,1263,36,43,137,456,64,63,52,31,24,901,622,518,2051,7678,931,826,628,292,132,13669,0,0,0,4,0,0,0,0,0,12,1122,749,1229,4858,934,701,385,146,46,10169,0,0,9,37,5,0,0,0,0,53,0,0,0,16,0,3,0,0,0,21,0,3,28,485,20,3,3,0,0,544,0,0,8,8,0,0,0,0,0,23,3,0,8,98,14,11,3,4,0,142,0,0,0,59,3,10,5,0,0,82,7,26,1397,2354,165,240,171,78,34,4474,0,0,4,18,0,3,4,7,0,30,0,0,5,16,0,4,4,6,3,46,4,9,107,1150,101,91,43,31,6,1545,0,0,3,40,7,9,13,0,0,78,4,0,3,158,3,3,5,0,0,180
POA2018,0,0,8,39,10,9,8,3,0,77,0,0,0,9,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,4,7,32,349,111,97,136,102,31,869,16,42,76,204,39,44,41,29,10,505,546,728,1204,4040,1068,887,731,525,194,9919,0,0,0,5,3,3,7,3,0,18,1038,1216,1431,2928,967,570,297,142,50,8635,3,23,32,264,84,55,14,0,0,475,0,0,0,13,10,12,10,3,0,42,0,4,8,186,11,13,7,4,0,225,0,0,3,3,0,7,0,0,0,13,6,5,0,24,4,3,0,0,0,41,0,0,0,24,6,13,32,18,0,92,3,20,400,868,91,140,88,30,16,1658,0,0,0,15,8,9,3,5,4,41,0,0,3,6,11,11,28,33,20,114,4,17,45,356,69,43,28,13,4,574,0,0,4,22,14,10,7,6,0,64,0,0,3,50,7,0,0,0,0,60
