POA_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
POA2000,15,0,3,3,0,0,19,5,0,0,0,0,0,3,17,8,3,17,5,0,52,26,3,0,33,9,0,77,25,0,5,25,4,0,57,38,0,0,35,14,0,91,106,0,0,65,10,0,179,601,0,0,80,19,0,699,1281,0,3,109,9,3,1402,1416,0,4,104,15,0,1540,1259,0,3,90,16,0,1366,828,0,0,66,8,0,895,450,0,0,45,5,0,499,884,0,0,108,15,0,1003,152,3,0,74,28,30,291,7093,24,28,852,142,39,8175
POA2007,3,4,0,0,0,0,11,0,6,0,0,0,0,10,3,28,3,7,0,0,41,7,20,11,13,3,0,56,12,7,8,14,9,0,44,13,0,10,25,3,0,59,37,16,22,38,20,0,133,239,5,29,31,7,0,310,436,0,5,62,10,0,513,260,0,0,41,3,0,307,156,0,4,31,3,0,201,102,0,0,21,4,0,123,45,0,0,11,0,0,52,52,0,0,9,0,0,67,29,8,3,25,7,4,69,1399,96,95,325,71,4,1994
POA2008,6,4,3,0,0,0,7,0,13,5,0,0,0,11,0,49,22,0,4,0,80,4,13,11,14,0,0,48,3,7,7,15,6,0,30,27,4,22,33,13,0,101,63,4,0,27,7,0,101,437,4,9,31,4,0,489,757,0,6,64,6,0,841,541,0,7,61,11,0,615,317,0,0,26,0,0,350,218,0,0,20,0,0,240,113,0,0,15,0,0,137,150,0,0,27,0,0,184,43,6,0,28,4,7,86,2686,96,95,379,58,14,3330
POA2009,3,6,0,0,0,0,14,0,12,5,0,0,0,17,0,78,13,10,0,0,99,10,36,45,4,4,0,95,3,12,14,10,3,0,49,21,15,26,14,8,0,86,33,6,37,28,0,0,103,211,19,56,28,0,0,325,518,0,20,55,12,0,602,621,4,3,47,4,0,673,415,0,0,44,0,0,472,231,4,0,23,0,0,257,130,0,0,21,0,0,154,364,0,0,43,3,4,409,46,8,9,28,5,10,102,2605,203,238,347,43,16,3443
POA2010,6,34,4,0,0,0,43,4,67,7,7,0,0,84,12,434,15,9,4,4,477,28,70,28,24,7,0,146,31,23,14,30,3,0,105,111,29,0,81,16,0,243,424,12,0,69,9,0,512,887,20,0,134,9,0,1057,1193,4,3,142,8,0,1353,1089,0,0,134,11,0,1236,886,5,0,108,0,0,1002,567,0,0,88,6,0,665,385,0,0,48,0,0,437,731,0,0,136,3,0,869,79,41,7,45,13,10,194,6428,750,84,1052,85,18,8417
POA2011,5,7,3,0,0,0,12,0,23,0,0,0,0,23,8,191,14,11,0,0,222,11,60,20,12,0,0,105,26,18,8,21,3,0,76,137,41,8,31,0,0,214,578,11,3,97,12,0,706,1165,13,0,154,9,4,1342,830,4,0,137,3,0,977,707,3,0,76,0,0,791,615,6,0,71,3,0,689,378,0,0,48,0,0,433,201,0,0,29,0,0,240,419,0,0,77,5,0,495,57,30,0,20,8,9,132,5130,412,54,785,49,24,6457
POA2015,0,4,3,0,0,0,14,0,3,0,0,0,0,7,3,21,14,0,0,0,37,7,28,35,12,7,0,78,6,15,13,5,0,0,41,10,11,10,16,6,0,57,46,12,19,18,16,0,107,213,11,14,43,16,0,306,554,0,5,52,0,0,614,452,0,8,52,7,0,517,331,0,0,39,6,0,377,192,0,0,19,0,0,219,108,0,0,10,0,0,115,201,0,0,24,5,0,230,32,6,7,16,6,4,63,2159,113,128,302,70,10,2775
POA2016,0,45,0,0,0,0,46,0,152,4,0,0,0,158,6,478,20,11,0,4,511,12,94,14,15,0,3,140,4,36,10,12,4,0,64,24,37,3,11,3,0,81,93,28,9,18,3,0,150,241,15,21,46,4,0,331,358,18,18,63,0,0,467,496,3,8,44,0,0,556,368,0,0,46,0,0,417,244,0,3,32,0,0,284,101,0,0,21,0,0,124,183,0,0,37,3,0,220,23,59,3,16,0,9,115,2151,964,113,375,24,16,3645
POA2017,5,71,6,3,0,0,81,0,219,13,0,4,0,228,4,755,31,4,0,7,801,11,224,40,5,0,0,281,10,81,17,5,0,0,114,27,71,16,16,10,4,134,72,44,33,69,9,0,227,410,49,26,71,17,0,571,1616,20,14,137,46,0,1838,2135,11,6,143,46,3,2348,1811,16,5,112,42,0,1984,579,0,3,55,19,4,659,235,5,0,26,6,0,271,243,0,0,23,3,0,269,119,95,6,55,15,14,303,7264,1662,211,719,227,36,10116
POA2018,9,18,0,0,0,0,28,0,36,7,0,0,0,39,0,220,4,6,0,0,232,0,64,8,3,4,0,82,9,36,3,11,0,0,57,18,31,3,25,8,0,78,89,13,12,32,12,0,153,567,9,4,73,7,3,656,695,8,3,71,17,0,801,841,4,3,42,4,0,897,451,0,0,44,4,0,506,197,0,0,17,3,0,220,132,0,0,5,3,0,148,109,0,0,10,0,0,120,37,27,5,36,6,7,107,3161,464,46,370,70,12,4121
