POA_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
POA2000,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,10,0,0,11,13,0,0,0,0,0,28,0,0,13,15,0,0,0,0,0,28,0,0,0,10,0,0,0,7,0,14,0,5,35,65,30,22,8,5,0,167,0,0,0,3,0,3,0,0,0,7,3,0,0,11,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,13,141,26,10,11,0,0,209,0,0,0,13,0,4,5,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,4,4,6,0,27,0,0,9,31,10,8,9,0,4,78,0,0,0,25,6,8,5,0,0,45,0,0,0,9,3,0,3,0,0,16,0,4,11,139,19,10,9,0,0,192,6,4,153,1868,120,13,4,0,0,2164,0,0,0,10,3,3,0,0,0,21,3,7,10,52,24,14,6,3,0,120
POA2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,7,0,0,0,0,0,16,0,0,10,3,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,6,0,0,9,16,0,13,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,6,0,6,11,32,12,7,4,0,0,63,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,5,0,0,0,14,6,4,0,0,0,22,0,0,7,9,0,0,0,0,0,15,0,0,6,3,0,0,0,0,0,12,0,3,10,45,3,0,0,0,0,66,0,3,17,268,23,5,3,0,0,324,0,0,0,16,0,0,0,0,0,22,0,6,4,20,0,4,0,0,0,35
POA2008,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,17,5,0,0,0,0,0,22,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,40,44,9,12,9,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,45,3,4,4,0,0,70,0,0,3,6,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,20,30,0,0,4,0,0,51,0,0,5,6,0,5,0,0,0,18,0,0,3,14,0,0,0,0,0,19,0,0,16,38,7,0,0,0,0,63,0,0,7,129,16,5,0,0,0,153,0,0,0,3,0,0,0,0,0,3,0,0,19,34,3,4,0,0,0,61
POA2009,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,7,9,0,0,0,0,0,15,0,0,0,4,0,0,0,0,0,8,4,3,9,41,25,30,21,3,0,131,0,0,0,0,0,4,0,0,0,9,0,0,0,8,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,7,0,0,9,71,23,17,8,0,0,121,0,0,0,19,6,4,3,0,3,29,0,0,0,0,5,0,0,0,0,6,0,0,0,3,5,6,6,0,0,20,0,0,3,18,6,0,0,0,0,38,0,0,0,10,5,5,4,0,0,35,0,0,0,11,5,0,0,0,0,15,0,0,0,21,7,0,6,4,0,43,0,3,11,159,32,5,0,0,0,212,0,0,0,14,0,3,0,0,0,16,0,3,7,33,10,10,6,4,0,80
POA2010,0,0,0,0,0,0,5,8,0,12,0,0,0,7,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,4,0,0,10,17,0,0,0,0,0,24,0,0,0,24,4,0,0,4,0,34,0,0,31,151,56,53,32,12,0,342,0,0,0,3,0,0,0,0,6,10,0,0,0,4,0,3,0,0,0,7,0,0,0,4,5,4,3,0,0,16,0,0,10,89,12,17,7,5,0,146,0,0,0,34,4,0,8,3,0,58,0,0,0,0,0,0,0,0,0,0,0,4,7,43,9,7,3,4,0,70,0,0,5,31,5,0,5,0,0,55,0,0,15,55,9,8,14,4,0,100,0,0,0,12,0,0,0,0,0,21,0,4,3,40,4,0,0,0,0,55,5,3,11,284,44,13,4,3,0,366,0,0,0,20,3,5,0,0,0,27,4,3,17,158,29,12,3,3,0,242
POA2011,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,13,7,0,0,0,0,0,18,0,0,0,12,5,4,4,3,0,26,0,0,13,106,53,65,45,13,6,303,0,0,0,0,0,4,3,5,0,7,0,0,0,5,0,0,0,0,0,6,0,0,0,0,8,3,3,0,0,11,0,0,0,49,10,19,9,3,0,81,0,0,0,20,10,6,9,3,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,11,11,3,4,41,0,0,0,17,4,6,9,0,0,39,0,0,5,36,9,7,3,4,0,68,0,0,0,5,0,0,0,0,0,14,0,0,0,15,0,0,4,0,0,21,0,3,0,60,15,15,0,0,0,98,0,0,0,15,3,3,3,3,0,27,4,4,5,98,24,15,7,9,3,164
POA2015,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,0,0,0,3,0,0,3,4,0,0,0,0,0,8,0,3,12,85,43,20,13,10,0,181,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,5,0,4,5,43,10,4,0,0,0,72,0,0,3,12,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,4,0,3,0,33,0,3,11,17,0,0,0,0,0,46,0,0,3,27,6,0,7,0,0,45,0,0,6,12,0,0,0,0,0,16,0,0,0,14,0,0,0,0,0,18,0,3,3,36,8,7,0,0,0,57,0,0,0,8,0,3,0,0,0,7,4,3,6,51,9,5,4,0,0,80
POA2016,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,4,0,0,0,0,0,16,0,0,0,11,0,3,0,0,0,16,0,0,11,67,26,31,6,8,0,151,0,0,0,4,0,0,0,0,0,8,0,0,3,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,4,38,8,3,9,4,0,76,0,0,0,8,0,4,4,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,0,0,0,0,26,0,0,6,9,6,0,0,0,0,20,0,0,7,21,8,0,3,0,0,38,0,0,0,16,0,5,0,0,0,16,0,0,3,12,0,0,3,0,0,18,0,0,9,57,10,5,3,0,0,86,0,0,0,7,3,3,4,0,0,17,5,5,17,52,10,4,4,0,0,86
POA2017,0,0,0,0,0,3,3,0,0,6,0,0,0,11,0,0,0,0,0,13,0,0,4,11,4,0,3,0,0,21,0,0,7,9,5,0,0,0,0,17,0,0,5,11,0,0,3,0,0,18,3,0,36,156,38,25,5,7,0,274,0,0,0,5,0,0,0,0,0,7,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,22,120,27,11,15,4,0,197,0,0,0,53,4,3,10,3,0,73,0,0,0,0,0,0,0,0,0,5,0,4,0,62,0,3,4,0,0,72,0,0,15,49,6,4,4,0,0,81,0,0,19,53,14,9,10,0,0,102,0,0,4,13,0,0,0,0,0,25,0,0,11,77,7,6,6,0,0,109,0,3,15,101,15,10,4,0,0,153,0,0,5,15,3,3,5,0,0,31,4,4,19,70,7,0,3,3,0,108
POA2018,0,0,0,6,0,0,8,8,5,27,0,0,0,5,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,12,0,3,9,82,28,22,8,0,4,168,0,0,0,7,0,0,3,3,0,12,0,3,3,14,7,0,3,0,0,33,0,0,0,3,0,0,0,0,0,5,0,9,7,99,33,25,24,9,0,217,0,0,0,21,0,3,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,5,0,0,0,31,0,0,8,20,4,4,7,0,0,33,0,0,4,22,13,0,3,0,0,43,0,0,8,13,0,3,4,0,0,26,0,0,0,28,4,0,0,0,0,29,0,3,6,55,19,10,11,0,0,95,0,0,0,21,36,20,19,21,7,123,0,0,4,30,0,0,0,0,0,40
