POA_CODE_2021,A25_34_UOLSE_T_11_15,A25_34_UOLSE_T_16,A25_34_UOLSE_T_17,A25_34_UOLSE_T_18,A25_34_UOLSE_T_19,A25_34_UOLSE_T_20,A25_34_UOLSE_T_21,A25_34_UOLSE_T_YNS,A25_34_UOLSE_T_T,A25_34_L_PinE_NS_B_05,A25_34_L_PinE_NS_05_10,A25_34_L_PinE_NS_11_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_17,A25_34_L_PinE_NS_18,A25_34_L_PinE_NS_19,A25_34_L_PinE_NS_20,A25_34_L_PinE_NS_21,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B_05,A25_34_T_05_10,A25_34_T_11_15,A25_34_T_16,A25_34_T_17,A25_34_T_18,A25_34_T_19,A25_34_T_20,A25_34_T_21,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B_05,A35_44_SEO_05_10,A35_44_SEO_11_15,A35_44_SEO_16,A35_44_SEO_17,A35_44_SEO_18,A35_44_SEO_19,A35_44_SEO_20,A35_44_SEO_21,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_UOLSE_VWW_B_05,A35_44_UOLSE_VWW_05_10,A35_44_UOLSE_VWW_11_15,A35_44_UOLSE_VWW_16,A35_44_UOLSE_VWW_17,A35_44_UOLSE_VWW_18,A35_44_UOLSE_VWW_19,A35_44_UOLSE_VWW_20,A35_44_UOLSE_VWW_21,A35_44_UOLSE_VWW_YNS,A35_44_UOLSE_VWW_T,A35_44_UOLSE_NWNAA_B_05,A35_44_UOLSE_NWNAA_05_10,A35_44_UOLSE_NWNAA_11_15,A35_44_UOLSE_NWNAA_16,A35_44_UOLSE_NWNAA_17,A35_44_UOLSE_NWNAA_18,A35_44_UOLSE_NWNAA_19,A35_44_UOLSE_NWNAA_20,A35_44_UOLSE_NWNAA_21,A35_44_UOLSE_NWNAA_YNS,A35_44_UOLSE_NWNAA_T,A35_44_UOLSE_PinE_NS_B_05,A35_44_UOLSE_PinE_NS_05_10,A35_44_UOLSE_PinE_NS_11_15,A35_44_UOLSE_PinE_NS_16,A35_44_UOLSE_PinE_NS_17,A35_44_UOLSE_PinE_NS_18,A35_44_UOLSE_PinE_NS_19,A35_44_UOLSE_PinE_NS_20,A35_44_UOLSE_PinE_NS_21,A35_44_UOLSE_PinE_NS_YNS,A35_44_UOLSE_PinE_NS_T,A35_44_UOLSE_T_B_05,A35_44_UOLSE_T_05_10,A35_44_UOLSE_T_11_15,A35_44_UOLSE_T_16,A35_44_UOLSE_T_17,A35_44_UOLSE_T_18,A35_44_UOLSE_T_19,A35_44_UOLSE_T_20,A35_44_UOLSE_T_21,A35_44_UOLSE_T_YNS,A35_44_UOLSE_T_T,A35_44_L_PinE_NS_B_05,A35_44_L_PinE_NS_05_10,A35_44_L_PinE_NS_11_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_17,A35_44_L_PinE_NS_18,A35_44_L_PinE_NS_19,A35_44_L_PinE_NS_20,A35_44_L_PinE_NS_21,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B_05,A35_44_T_05_10,A35_44_T_11_15,A35_44_T_16,A35_44_T_17,A35_44_T_18,A35_44_T_19,A35_44_T_20,A35_44_T_21,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B_05,A45_54_SEO_05_10,A45_54_SEO_11_15,A45_54_SEO_16,A45_54_SEO_17,A45_54_SEO_18,A45_54_SEO_19,A45_54_SEO_20,A45_54_SEO_21,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_UOLSE_VWW_B_05,A45_54_UOLSE_VWW_05_10,A45_54_UOLSE_VWW_11_15,A45_54_UOLSE_VWW_16,A45_54_UOLSE_VWW_17,A45_54_UOLSE_VWW_18,A45_54_UOLSE_VWW_19,A45_54_UOLSE_VWW_20,A45_54_UOLSE_VWW_21,A45_54_UOLSE_VWW_YNS,A45_54_UOLSE_VWW_T,A45_54_UOLSE_NWNAA_B_05,A45_54_UOLSE_NWNAA_05_10,A45_54_UOLSE_NWNAA_11_15,A45_54_UOLSE_NWNAA_16,A45_54_UOLSE_NWNAA_17,A45_54_UOLSE_NWNAA_18,A45_54_UOLSE_NWNAA_19,A45_54_UOLSE_NWNAA_20,A45_54_UOLSE_NWNAA_21,A45_54_UOLSE_NWNAA_YNS,A45_54_UOLSE_NWNAA_T,A45_54_UOLSE_PinE_NS_B_05,A45_54_UOLSE_PinE_NS_05_10,A45_54_UOLSE_PinE_NS_11_15,A45_54_UOLSE_PinE_NS_16,A45_54_UOLSE_PinE_NS_17,A45_54_UOLSE_PinE_NS_18,A45_54_UOLSE_PinE_NS_19,A45_54_UOLSE_PinE_NS_20,A45_54_UOLSE_PinE_NS_21,A45_54_UOLSE_PinE_NS_YNS,A45_54_UOLSE_PinE_NS_T,A45_54_UOLSE_T_B_05,A45_54_UOLSE_T_05_10,A45_54_UOLSE_T_11_15,A45_54_UOLSE_T_16,A45_54_UOLSE_T_17,A45_54_UOLSE_T_18,A45_54_UOLSE_T_19,A45_54_UOLSE_T_20,A45_54_UOLSE_T_21,A45_54_UOLSE_T_YNS,A45_54_UOLSE_T_T,A45_54_L_PinE_NS_B_05,A45_54_L_PinE_NS_05_10,A45_54_L_PinE_NS_11_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_17,A45_54_L_PinE_NS_18,A45_54_L_PinE_NS_19,A45_54_L_PinE_NS_20,A45_54_L_PinE_NS_21,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B_05,A45_54_T_05_10,A45_54_T_11_15,A45_54_T_16,A45_54_T_17,A45_54_T_18,A45_54_T_19,A45_54_T_20,A45_54_T_21,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B_05,A55_64_SEO_05_10,A55_64_SEO_11_15,A55_64_SEO_16,A55_64_SEO_17,A55_64_SEO_18,A55_64_SEO_19,A55_64_SEO_20,A55_64_SEO_21,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_UOLSE_VWW_B_05,A55_64_UOLSE_VWW_05_10,A55_64_UOLSE_VWW_11_15,A55_64_UOLSE_VWW_16
POA2000,2096,712,760,774,1026,321,84,165,7084,0,0,0,0,0,0,5,4,0,15,24,621,832,2348,819,864,908,1250,421,116,215,8404,316,147,181,29,42,32,44,31,17,15,854,706,640,621,136,130,111,154,61,47,47,2651,41,141,218,71,43,44,52,16,8,30,672,0,0,0,0,0,0,0,0,0,0,0,748,786,838,213,171,150,207,82,50,78,3321,0,0,5,0,0,0,0,0,0,4,16,1063,935,1026,241,219,182,247,118,63,96,4193,299,65,40,3,3,12,16,9,6,12,476,432,148,82,12,18,20,32,24,26,23,819,50,35,54,12,24,21,29,12,0,8,243,0,0,0,0,0,0,0,0,0,0,0,480,187,137,21,45,43,61,42,27,29,1062,0,0,0,0,0,0,0,0,0,4,11,778,255,177,29,51,53,79,48,30,51,1545,341,37,14,8,4,0,12,17,8,7,445,347,26,14,5
POA2007,339,154,172,214,342,121,6,33,1561,0,0,0,0,0,0,5,0,0,4,5,134,146,410,193,197,261,419,149,5,41,1955,73,50,33,8,12,5,3,7,7,5,197,155,147,144,38,29,25,40,14,9,8,597,11,25,50,10,13,10,16,12,0,5,146,0,0,0,0,0,0,0,0,0,0,3,163,170,192,44,44,35,51,28,9,13,746,0,0,0,0,0,0,0,0,0,3,3,239,221,218,53,52,44,52,33,11,14,946,84,14,7,0,4,3,0,0,0,4,119,109,37,24,7,3,4,0,0,0,6,192,24,17,12,4,4,7,10,3,0,5,80,0,0,0,0,0,0,0,0,0,0,0,140,52,28,4,8,7,13,5,0,9,272,0,0,0,0,0,0,0,0,0,0,0,227,66,41,4,12,11,18,4,0,14,390,67,4,0,0,0,0,0,0,0,0,77,76,10,3,0
POA2008,446,172,178,225,310,115,13,21,1757,0,0,0,0,0,0,0,0,0,0,3,237,222,550,199,231,288,374,146,24,29,2309,107,48,62,11,11,11,10,0,6,7,282,133,127,95,30,28,19,23,17,3,10,483,4,12,12,3,3,0,5,3,0,0,47,0,0,0,0,0,0,0,0,0,0,0,136,140,104,38,29,24,35,16,3,10,534,4,0,0,0,0,0,0,0,0,0,3,250,191,166,49,48,32,42,15,10,12,819,113,22,9,0,3,3,7,0,0,0,160,74,13,20,5,5,7,0,6,0,4,125,7,3,10,4,4,0,7,3,0,3,44,0,0,0,0,0,0,0,0,0,0,0,81,20,29,7,10,8,7,5,3,3,170,0,0,0,0,0,0,0,0,0,0,0,196,40,40,8,10,14,11,7,3,3,332,109,0,0,0,0,0,0,0,0,0,116,81,4,4,0
POA2009,294,131,126,186,301,80,12,17,1398,0,0,0,0,0,0,0,0,0,7,5,209,188,436,170,180,245,375,107,22,30,1961,207,146,128,21,13,25,20,9,0,3,588,328,255,232,44,50,63,61,25,0,7,1058,10,20,21,9,0,4,5,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,340,273,252,57,44,65,62,22,0,7,1129,0,0,0,0,0,0,0,0,0,0,0,549,421,379,76,65,94,84,34,6,14,1719,260,67,31,9,0,10,5,8,7,4,389,260,57,38,10,4,4,9,5,0,7,391,22,12,6,0,5,0,7,3,0,0,55,0,0,0,0,0,0,0,0,0,0,0,278,73,43,10,12,4,14,11,0,3,444,0,0,0,0,0,0,0,0,0,5,5,532,136,77,15,10,12,15,19,8,13,830,266,19,12,0,3,5,3,5,0,5,320,222,17,6,6
POA2010,472,195,221,229,337,112,23,30,1915,0,0,0,0,0,0,0,0,0,4,9,499,267,858,365,393,469,622,235,71,63,3846,449,326,339,63,50,54,44,30,13,11,1390,279,276,286,77,57,70,63,25,4,18,1163,11,28,42,7,3,5,12,3,0,8,122,0,0,0,0,0,0,0,0,0,0,3,291,301,334,85,60,73,84,32,4,22,1283,0,0,0,0,0,0,0,0,0,4,8,742,626,674,146,111,132,129,60,22,40,2684,655,145,56,12,8,10,8,4,0,7,902,300,77,39,8,6,4,7,5,3,7,457,38,16,15,0,4,3,7,0,3,0,82,0,0,0,0,0,0,0,0,0,0,0,340,93,49,5,6,6,6,5,8,7,537,0,0,0,0,0,0,0,0,0,0,0,998,235,102,21,18,12,20,13,8,13,1445,644,34,28,4,9,5,5,3,0,4,746,257,12,11,0
POA2011,208,111,111,134,161,60,3,8,991,0,0,0,0,0,0,0,0,0,0,3,335,185,468,185,217,248,287,117,28,22,2087,258,202,219,37,36,27,37,18,7,12,843,122,170,172,46,40,33,33,15,0,4,642,3,6,3,3,3,5,5,0,0,4,35,0,0,0,0,0,0,0,0,0,0,0,125,179,178,48,42,37,41,16,0,8,681,0,0,0,0,0,0,0,0,0,0,0,381,381,395,89,75,59,76,32,10,18,1522,446,105,38,4,11,7,9,0,3,12,643,184,45,24,5,3,3,0,4,3,0,280,9,5,5,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,194,48,28,0,3,3,4,9,3,0,305,0,0,0,0,0,0,0,0,0,0,0,645,156,66,9,10,11,12,14,3,20,944,505,31,13,9,0,0,13,0,4,9,585,153,12,6,0
POA2015,168,62,78,74,66,37,4,13,663,0,0,0,0,0,0,0,0,0,0,5,275,131,340,107,134,142,128,53,14,24,1343,261,168,121,24,17,11,4,9,4,4,621,182,126,116,28,21,20,4,10,0,3,513,0,0,5,0,0,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,189,127,125,32,23,18,5,9,0,3,532,0,0,0,0,0,0,0,0,0,0,0,450,288,247,60,40,33,15,12,8,8,1156,273,56,33,0,8,0,3,4,3,3,386,120,34,24,3,0,3,0,0,0,7,188,8,10,9,0,0,0,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,132,36,27,5,0,3,6,0,0,8,214,0,0,0,0,0,0,0,0,0,0,0,401,94,58,12,8,10,4,4,5,12,597,189,8,6,0,0,0,0,0,0,0,211,93,14,0,0
POA2016,150,69,87,106,172,52,6,21,802,0,0,0,0,0,0,0,0,0,4,4,257,108,306,110,139,194,267,87,21,41,1539,186,134,132,20,19,13,11,0,4,12,540,118,109,104,26,21,36,26,9,0,6,453,8,5,3,0,0,0,5,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,123,110,105,31,25,31,29,12,0,6,481,0,0,0,0,0,0,0,0,0,0,0,307,250,241,50,45,50,38,12,7,18,1016,291,48,26,4,3,4,8,0,3,7,389,131,31,17,8,0,0,9,5,0,4,206,13,12,3,0,5,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,152,50,18,10,5,0,6,5,0,4,251,0,0,0,0,0,0,0,0,0,0,3,437,93,44,14,6,6,15,3,3,9,637,279,9,3,0,0,5,0,0,0,0,300,152,4,3,0
POA2017,1192,419,453,541,590,182,33,46,4420,0,0,0,3,0,0,0,0,0,4,11,633,826,1879,733,787,939,1025,314,57,83,7293,389,338,362,60,32,29,26,17,9,17,1274,581,465,414,92,92,88,78,31,19,20,1879,8,22,28,7,16,10,21,5,0,3,129,0,0,0,0,0,0,0,0,0,0,0,591,489,439,93,112,99,99,41,14,22,2004,0,0,0,0,0,0,0,0,0,0,0,983,824,806,153,143,128,131,56,25,40,3282,322,80,37,9,5,7,6,5,0,4,481,350,84,59,6,12,10,9,9,7,11,564,39,18,29,4,10,5,8,4,0,3,119,0,0,0,0,0,0,0,0,0,0,0,396,104,94,12,19,20,16,14,7,13,682,0,0,0,0,0,0,0,0,0,0,4,716,185,133,14,26,24,23,18,8,17,1174,312,9,3,4,0,4,5,0,0,3,334,234,24,22,3
POA2018,550,155,201,188,203,60,9,19,1819,0,0,0,0,3,0,0,0,0,0,3,306,357,861,250,294,302,309,101,18,33,2835,234,175,161,21,16,14,11,13,0,3,652,424,343,238,55,45,34,55,15,3,7,1220,8,20,19,0,4,11,10,0,0,3,85,0,0,4,0,0,0,0,0,0,0,4,431,357,260,58,55,48,59,21,3,12,1309,0,0,0,0,5,0,0,0,0,5,9,667,539,420,76,70,67,77,33,3,20,1960,284,44,24,0,3,0,0,0,0,4,362,534,85,48,4,7,6,7,4,0,9,705,46,20,13,5,4,8,3,3,0,3,99,0,0,0,0,0,0,0,0,0,0,0,578,105,62,10,9,9,13,0,0,18,799,0,0,0,0,0,0,0,0,0,0,4,861,151,79,17,9,9,11,0,0,16,1166,265,5,0,0,0,0,0,5,0,5,289,535,22,17,0
