POA_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
POA2000,0,4,8,40,10,6,6,6,0,82,0,0,5,36,11,14,19,0,0,83,0,4,0,13,9,4,6,0,0,32,0,0,23,104,6,8,9,0,0,141,0,8,106,1144,90,9,0,0,0,1369,0,0,0,33,8,9,6,0,0,56,4,10,8,75,20,20,11,6,0,155,0,9,54,90,19,12,6,5,0,194,0,0,0,8,0,3,0,0,0,15,0,0,0,3,0,3,0,0,0,14,3,15,93,514,67,44,24,20,6,782,18,18,167,626,107,87,43,18,4,1083,339,373,1982,8118,1297,1009,702,316,88,14223,4,0,0,10,0,3,0,0,0,15,301,241,382,831,242,239,199,126,43,2611,0,0,6,14,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,3,102,5,5,0,0,0,117,0,0,3,11,0,0,0,0,0,17,0,0,8,27,5,0,0,0,0,42
POA2007,0,0,3,9,0,5,0,0,0,18,0,0,0,4,0,0,0,0,0,6,0,0,6,5,3,0,0,0,0,16,0,0,7,30,0,0,0,0,0,45,0,0,15,160,16,10,0,0,0,202,0,0,0,30,4,0,0,0,0,36,4,3,5,12,0,5,0,0,0,26,0,0,18,26,5,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5,3,32,222,23,7,0,3,0,291,11,14,59,134,16,18,8,4,4,271,113,121,735,2043,322,194,155,59,23,3763,0,0,0,0,0,0,0,0,0,0,91,96,206,333,63,28,32,9,3,869,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,9,39,4,0,0,0,0,49,0,0,8,9,4,0,0,0,0,19,0,0,0,12,4,0,0,0,0,14
POA2008,0,0,16,21,4,5,5,0,0,48,0,0,0,20,3,0,5,0,0,25,0,0,7,12,0,0,0,0,0,21,0,0,12,32,0,0,0,0,0,48,0,0,12,88,11,0,0,0,0,113,0,0,4,17,0,0,0,0,0,18,0,0,7,30,8,7,0,0,0,63,0,0,18,38,3,6,0,0,0,67,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,6,48,172,22,10,8,3,0,264,6,0,123,215,28,13,19,0,0,411,119,103,1435,2757,389,282,181,43,12,5315,0,0,0,0,0,0,0,0,0,0,81,80,478,744,133,99,46,20,4,1684,0,0,10,7,0,0,0,0,0,22,0,0,0,4,0,0,0,0,0,4,0,0,6,23,0,0,0,0,0,33,0,0,3,3,0,0,0,0,0,11,0,0,4,20,0,0,0,0,0,25
POA2009,0,5,0,25,6,4,0,0,0,50,0,0,0,28,8,7,9,0,0,49,0,0,0,15,0,0,4,0,0,19,0,0,0,19,3,0,0,0,0,27,0,3,0,81,10,5,0,0,0,107,0,0,0,15,0,3,0,0,0,21,4,3,8,37,5,15,6,8,0,83,0,0,9,37,16,9,9,4,0,78,0,0,0,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,11,4,18,31,280,64,26,38,14,3,470,21,37,41,220,54,51,49,13,6,493,312,349,522,2991,751,647,532,235,49,6391,0,0,0,3,0,0,0,0,0,3,255,254,250,797,262,249,227,100,29,2413,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,4,0,0,13,0,0,9,98,6,3,0,0,0,117,0,0,0,3,0,0,0,0,0,5,0,0,0,13,6,6,7,0,0,25
POA2010,0,0,5,42,16,12,8,0,0,78,0,3,8,97,20,17,19,8,0,174,0,0,4,23,5,6,0,0,0,36,0,0,0,34,6,0,0,0,0,44,0,6,19,235,48,20,6,0,0,326,0,0,0,29,13,4,0,0,4,47,5,20,9,162,41,40,18,4,0,299,0,0,11,54,16,16,11,0,0,116,0,0,3,16,0,8,5,0,0,35,0,0,0,7,0,4,0,0,0,14,4,6,35,527,115,67,59,37,15,874,22,26,79,556,173,150,65,55,19,1140,330,422,1134,7884,2246,1766,968,462,138,15356,0,0,0,0,0,0,0,0,0,0,257,325,781,2549,581,470,320,157,82,5519,0,0,0,14,0,0,0,0,0,17,0,0,0,5,0,0,0,0,0,7,0,0,9,62,4,3,3,0,0,80,0,0,0,0,0,0,0,0,0,6,0,0,3,59,8,6,5,0,0,84
POA2011,0,0,5,23,9,3,0,0,0,38,0,0,5,54,27,13,8,10,3,109,0,0,0,8,0,0,3,0,0,18,0,0,0,18,3,4,0,0,0,22,0,4,0,42,5,0,0,0,0,57,0,0,3,31,7,5,0,0,0,37,7,0,7,90,32,27,16,10,0,187,0,0,0,18,8,6,0,0,0,44,0,0,0,10,3,3,4,0,0,15,0,0,3,3,3,3,0,0,0,12,0,6,15,375,83,56,50,47,12,645,18,17,128,461,133,77,47,24,8,910,178,207,608,4759,1413,1164,832,445,152,9758,0,0,0,0,0,0,0,0,0,0,158,171,394,1959,575,546,467,237,169,4673,0,0,5,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,9,0,0,0,94,7,3,5,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4,9,9,0,0,56
POA2015,0,6,0,14,10,0,0,0,0,32,0,0,0,43,7,9,0,0,0,61,0,0,0,11,0,0,0,0,0,14,0,0,0,15,0,0,0,0,0,20,0,5,3,25,4,3,0,0,0,43,0,0,0,9,0,0,0,0,0,7,3,3,0,46,8,7,0,3,0,64,0,0,6,20,8,0,7,0,0,48,0,0,0,4,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,6,12,192,48,21,17,5,0,308,3,23,21,171,27,14,17,4,4,291,308,376,452,3152,798,470,239,83,21,5906,0,0,0,0,0,0,0,0,0,0,248,306,367,1570,362,222,140,49,17,3267,0,0,0,7,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,5,0,0,0,34,3,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,3,0,29
POA2016,4,0,3,5,7,3,0,4,0,30,0,0,3,42,9,6,3,0,0,65,0,0,0,10,0,0,4,0,0,14,0,0,0,6,0,0,0,0,0,9,0,0,6,39,10,6,3,0,0,71,0,0,0,17,4,5,0,4,0,27,0,0,4,55,17,13,0,0,0,87,0,0,6,17,6,12,10,4,0,53,0,0,0,5,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,9,0,10,28,237,64,46,47,32,24,486,8,30,43,241,104,76,48,26,17,587,219,313,650,3167,1050,843,532,264,92,7123,0,0,0,0,0,0,0,0,0,0,208,255,431,1340,328,258,173,77,24,3085,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,3,0,3,0,9,0,0,3,30,3,0,0,0,0,40,0,0,0,3,0,0,0,0,0,5,0,0,4,31,4,8,0,0,0,47
POA2017,4,0,18,50,17,5,0,4,0,94,0,0,10,77,13,9,3,6,0,121,0,0,3,15,5,0,0,0,0,20,0,0,12,90,4,0,5,0,0,111,0,4,11,57,15,6,0,0,0,92,0,0,0,28,5,0,6,0,0,40,0,8,10,80,18,7,0,4,0,134,0,0,8,58,13,14,16,3,6,125,0,0,4,29,3,0,3,0,0,38,0,0,3,10,4,4,0,0,0,20,4,47,84,807,113,51,70,59,31,1272,19,45,127,560,101,109,77,57,17,1101,638,519,1990,8771,1338,956,667,344,106,15333,0,0,0,5,0,0,0,0,0,5,540,367,607,2101,342,291,144,59,30,4475,0,0,7,12,0,0,0,0,0,15,0,0,0,6,0,3,0,0,0,12,0,0,18,222,7,0,0,0,0,256,0,0,0,4,0,0,0,0,0,9,3,0,6,52,4,3,0,0,0,74
POA2018,0,0,4,20,4,3,3,0,0,42,0,0,5,34,3,11,3,0,0,63,0,0,0,15,0,4,0,0,0,23,0,0,7,18,5,3,7,0,0,36,0,3,0,22,6,4,0,0,0,38,0,0,4,28,27,22,18,18,3,127,0,3,5,26,3,6,4,0,0,46,0,0,11,22,10,0,7,0,0,54,0,0,4,10,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,9,10,19,24,294,105,108,117,87,22,785,33,38,78,245,67,45,36,30,12,578,607,759,1243,4136,1170,838,632,432,140,9958,0,0,0,4,0,0,0,0,0,5,503,600,707,1439,429,287,142,83,33,4226,3,6,13,135,39,15,4,0,0,215,0,0,0,9,0,7,6,0,0,17,0,0,0,84,7,7,3,0,0,113,0,0,3,0,0,3,0,0,0,13,0,0,0,18,7,0,0,0,0,27
