POA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
POA2000,2556,3391,5953,524,467,988,0,0,3,129,129,256,0,0,3,1839,1759,3595,0,0,4,136,128,259,6,4,11,0,3,4,18,9,25,10,7,15,63,61,124,83,129,208,145,167,313,4,3,9,14,7,21,128,126,248,433,458,894,6,0,9,3536,3459,6989,470,333,800,318,230,549,63,45,106,0,0,0,22,16,33,63,53,121,83,69,155,5689,4918,10606,54,41,97,23,22,44,5768,4977,10744,1421,1220,2640,14223,13713,27936
POA2007,367,559,920,83,67,151,0,0,0,27,28,52,0,0,0,466,412,876,0,0,0,28,26,56,3,5,10,9,4,8,0,0,5,0,6,6,9,8,20,20,27,42,15,27,46,0,0,0,0,0,0,20,22,43,65,99,161,5,0,7,747,729,1473,177,114,288,152,76,226,10,7,22,0,0,0,11,8,17,16,16,31,28,23,51,1906,1743,3645,14,18,34,14,7,21,1935,1770,3700,367,367,731,3763,3644,7410
POA2008,327,465,794,137,144,279,0,0,0,35,25,58,0,0,0,486,542,1032,0,0,0,28,26,58,0,0,4,0,0,0,3,8,8,4,0,6,13,22,37,17,36,58,34,38,75,0,0,0,7,6,6,32,38,66,92,118,208,3,3,7,896,1007,1908,134,87,222,128,95,220,25,20,50,0,0,0,13,3,12,16,22,41,31,24,57,3138,2825,5962,53,40,94,9,18,32,3205,2887,6089,567,498,1062,5315,5083,10400
POA2009,298,489,793,332,377,702,0,4,3,42,43,86,0,0,0,1131,1225,2354,0,0,0,146,149,291,7,10,14,0,3,7,6,13,25,14,15,26,34,18,45,29,42,73,67,71,136,5,0,6,8,10,14,63,66,132,118,180,301,6,3,7,2002,2221,4225,260,207,470,138,105,238,32,34,67,0,0,0,12,13,26,30,32,62,35,44,88,2922,2596,5523,40,18,58,8,13,26,2978,2627,5602,638,537,1181,6391,6267,12658
POA2010,562,569,1129,809,613,1421,0,0,3,59,60,119,0,0,0,2119,1690,3812,3,0,3,243,242,481,4,4,6,4,0,4,39,32,70,6,12,16,30,26,61,35,34,70,120,90,205,9,5,10,10,5,15,97,91,191,172,175,347,12,11,18,3768,3086,6855,180,130,306,237,134,368,235,173,401,0,0,0,22,12,29,64,40,103,81,47,127,8632,5899,14530,146,86,233,55,47,101,8832,6028,14866,1477,920,2390,15356,11082,26443
POA2011,188,263,448,642,624,1271,0,0,0,35,43,75,0,0,0,1544,1479,3020,0,0,0,153,169,325,0,4,6,6,5,12,24,27,50,5,3,12,36,22,58,23,25,43,102,88,184,3,0,3,7,5,10,77,71,153,98,108,211,4,4,10,2757,2688,5441,111,74,186,124,83,206,176,153,328,4,7,8,0,7,4,27,30,59,33,42,76,5094,4053,9146,78,59,138,43,70,107,5215,4180,9393,1158,947,2101,9758,8424,18187
POA2015,152,207,354,291,281,569,0,0,0,24,23,50,0,0,0,931,1012,1947,0,5,3,122,112,240,3,8,11,8,3,16,11,8,20,8,9,10,17,19,33,29,35,60,53,38,85,3,0,0,0,0,8,43,48,90,71,99,173,0,0,4,1619,1705,3323,57,44,107,93,63,152,56,64,126,4,0,8,3,3,6,20,18,38,27,25,48,3428,2982,6411,45,51,96,13,24,33,3489,3053,6541,418,357,776,5906,5515,11422
POA2016,216,252,461,355,272,629,3,6,4,31,32,64,0,0,0,987,871,1860,0,0,5,185,171,360,3,5,7,3,5,8,11,11,23,4,9,12,21,22,38,10,21,37,50,52,108,3,3,8,6,5,16,61,52,114,86,93,186,0,5,3,1835,1641,3473,123,72,195,123,64,188,93,93,185,0,5,10,9,7,16,23,22,49,33,37,67,3844,3170,7015,79,44,125,17,20,38,3947,3230,7173,762,552,1311,7123,5943,13072
POA2017,554,741,1294,550,554,1106,0,0,0,80,81,160,0,0,0,2440,2430,4869,0,6,5,259,292,553,15,14,25,8,6,9,15,5,27,9,11,21,49,52,96,109,134,243,155,130,286,4,6,8,18,26,42,110,95,196,279,312,599,10,6,15,4108,4158,8266,261,232,492,356,264,615,174,197,373,4,3,7,22,26,44,49,55,111,77,83,161,8275,6791,15066,99,63,164,26,31,57,8403,6885,15283,1396,1113,2511,15333,13669,29003
POA2018,301,408,711,414,419,828,44,46,96,63,58,122,0,0,4,2210,2480,4696,3,5,8,949,1062,2008,8,16,26,8,5,19,7,16,25,57,48,100,36,34,71,73,96,170,119,131,250,0,5,8,8,11,22,66,73,141,236,254,483,3,5,10,4321,4762,9080,199,173,374,770,680,1450,142,134,272,0,0,0,14,9,27,32,33,58,49,35,86,3359,2988,6348,35,32,69,19,14,33,3415,3034,6452,766,686,1446,9958,9919,19878
