POA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA2000,111,376,955,460,242,162,97,60,19,2482,1418,4036,10684,5424,2398,1872,1310,625,165,27932
POA2007,44,141,191,119,43,42,29,13,12,634,485,1528,2654,1281,600,389,292,122,56,7407
POA2008,25,279,337,132,66,52,30,11,4,936,409,3142,3861,1384,686,504,295,97,25,10403
POA2009,122,79,295,243,130,111,106,28,10,1124,1298,1003,3197,2708,1489,1325,1087,447,98,12652
POA2010,112,213,713,458,365,278,152,106,39,2436,1434,2358,8431,5247,3422,2706,1653,863,330,26444
POA2011,80,271,594,325,248,196,149,94,78,2035,770,1238,5205,3462,2440,2119,1651,872,418,18175
POA2015,75,73,241,166,97,55,34,15,8,764,1305,959,3634,2464,1455,884,493,179,44,11417
POA2016,84,114,300,218,181,143,103,54,29,1226,1074,1327,3578,2286,1649,1391,978,569,211,13063
POA2017,182,321,843,408,222,205,130,100,41,2452,2294,4046,11184,5261,2272,1779,1293,634,233,28996
POA2018,188,196,363,235,138,131,106,66,37,1460,2634,2448,4905,3264,2238,1724,1359,959,339,19870
POA2019,179,114,210,201,140,104,64,39,9,1060,2540,1457,2296,2304,1907,1381,925,499,155,13464
POA2020,158,287,546,215,106,115,77,33,16,1553,2537,3579,7408,3256,1794,1394,917,522,190,21597
POA2021,83,112,203,170,118,87,84,63,87,1007,1948,1469,3288,2406,2051,1549,1195,772,267,14945
POA2022,96,118,307,182,118,93,97,73,39,1123,1958,1244,3211,2222,1628,1206,1046,688,306,13509
POA2023,97,93,120,85,78,66,62,33,12,646,1821,1246,1593,1449,1409,1257,1083,555,177,10590
POA2024,141,76,173,111,102,89,57,44,47,840,2055,1070,1909,1765,1630,1199,813,542,401,11384
POA2025,85,45,71,55,59,50,54,59,95,573,1101,645,1143,983,886,768,789,589,284,7188
POA2026,341,236,835,499,311,196,135,113,74,2740,4669,2661,9669,5951,3931,2496,1791,1079,449,32696
POA2027,71,51,107,100,86,73,69,63,27,647,852,615,1257,1048,882,954,1025,831,341,7805
POA2028,36,24,74,42,24,35,21,29,14,299,579,426,1005,663,509,488,532,365,144,4711
