POA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
POA2866,44,323,434,190,122,1107,25,1124
POA2867,10,52,90,42,22,216,6,222
POA2868,4,69,78,25,24,205,0,209
POA2869,48,181,197,81,47,546,17,571
POA2870,285,1587,1658,542,388,4450,84,4533
POA2871,183,1204,1245,465,249,3350,87,3434
POA2873,3,70,67,47,30,221,0,223
POA2874,10,38,38,34,19,129,0,133
POA2875,13,95,91,62,49,304,5,313
POA2876,5,37,38,38,38,151,0,155
POA2877,80,434,449,176,115,1250,22,1275
POA2878,11,26,25,12,16,93,3,98
POA2879,29,93,66,17,22,225,13,234
POA2880,708,3100,2406,752,340,7309,161,7467
POA2898,33,83,29,3,0,159,3,161
POA3000,15272,5385,529,53,44,21278,466,21750
POA3002,452,1263,539,71,44,2373,24,2396
POA3003,1383,1943,401,55,19,3799,63,3853
POA3004,1178,3533,835,93,27,5667,59,5728
POA3006,4766,5947,941,79,32,11763,156,11920
POA3008,3044,3514,765,96,36,7452,92,7540
POA3011,1787,5110,1949,348,122,9314,140,9450
POA3012,1115,4899,3378,724,278,10395,154,10550
POA3013,569,2732,2134,430,142,6007,55,6060
POA3015,376,2847,2810,563,241,6837,60,6897
POA3016,513,2409,2262,598,268,6056,57,6118
POA3018,451,2377,2008,472,229,5532,60,5591
POA3019,425,1399,1052,314,136,3331,80,3412
POA3020,1524,5951,4900,1696,825,14884,327,15211
POA3021,1583,6675,5978,2251,1042,17523,410,17935
POA3022,99,489,356,115,57,1118,26,1143
POA3023,727,5674,8340,3048,1616,19404,287,19696
POA3024,353,4130,4188,1111,558,10331,156,10489
POA3025,471,1765,1711,449,213,4616,84,4697
POA3026,62,519,1160,395,198,2333,38,2368
POA3027,77,996,1238,312,149,2772,50,2823
POA3028,633,4125,3855,1156,589,10353,167,10524
POA3029,1183,12747,16257,4733,2376,37295,672,37971
POA3030,1650,13705,16233,4483,2112,38172,534,38707
POA3031,1495,4167,1692,277,82,7718,119,7842
POA3032,1235,5740,3691,899,355,11924,154,12080
POA3033,260,1751,2369,672,337,5388,64,5447
POA3034,298,1580,1743,524,274,4421,69,4491
POA3036,97,520,937,308,252,2116,36,2156
POA3037,499,4106,6346,2740,1893,15584,210,15793
POA3038,320,2182,3497,1674,1136,8815,117,8933
POA3039,1042,3146,1930,436,215,6772,85,6862
POA3040,842,4386,3480,1055,617,10380,84,10466
POA3041,266,1710,1912,551,324,4763,55,4811
POA3042,388,2527,2614,720,353,6594,69,6668
POA3043,364,2579,2654,803,371,6775,87,6857
POA3044,807,4582,3955,969,490,10800,130,10928
POA3045,0,0,0,0,0,0,0,0
POA3046,1259,5931,4425,1098,617,13327,215,13545
POA3047,794,2569,1959,675,375,6363,168,6533
POA3048,345,1776,1878,737,411,5150,140,5283
POA3049,154,1048,1459,531,283,3474,52,3535
POA3051,2095,3249,879,126,43,6393,98,6486
POA3052,381,1203,431,80,32,2127,22,2148
POA3053,3294,2708,624,103,46,6776,143,6915
POA3054,555,1745,892,171,66,3430,33,3461
POA3055,992,3457,1585,344,156,6532,76,6612
POA3056,2339,5708,2203,510,187,10944,111,11056
POA3057,1191,3633,1142,246,90,6302,54,6351
POA3058,1645,6064,3912,1054,461,13143,160,13302
POA3059,94,1188,2860,1225,889,6255,86,6346
POA3060,478,1929,1485,470,257,4615,87,4704
POA3061,132,594,504,199,126,1554,38,1594
POA3062,0,0,0,0,0,0,0,0
POA3063,0,19,47,40,55,164,3,169
POA3064,952,9519,14254,4696,2577,32002,529,32529
POA3065,1233,2372,724,114,46,4486,79,4565
POA3066,1274,2389,630,90,34,4418,77,4489
POA3067,928,2482,792,126,36,4358,45,4403
POA3068,1334,4195,1984,408,134,8054,90,8148
POA3070,1371,5136,2789,595,258,10154,84,10237
POA3071,1148,3771,2283,506,207,7917,79,7996
POA3072,1744,6449,3887,951,435,13475,172,13645
POA3073,2243,8984,6182,1621,852,19888,373,20261
POA3074,666,2903,2469,802,394,7237,108,7347
POA3075,661,2875,2800,971,461,7767,139,7905
POA3076,459,3580,4354,1399,732,10526,170,10704
POA3078,524,2345,1569,339,172,4948,39,4987
POA3079,441,2657,2468,668,348,6588,52,6641
POA3081,624,2343,1923,415,168,5476,93,5570
POA3082,363,3108,3923,1588,939,9922,136,10057
POA3083,817,4096,4145,1378,761,11194,163,11354
POA3084,598,3902,4036,1045,441,10024,85,10112
POA3085,258,1924,2117,582,240,5125,46,5172
POA3087,213,1225,1442,375,183,3444,38,3478
POA3088,385,3264,4378,1249,680,9957,86,10049
POA3089,75,854,1873,763,554,4121,30,4158
POA3090,4,80,286,176,184,733,6,740
POA3091,6,45,158,123,148,480,9,485
POA3093,37,457,635,170,160,1457,14,1468
POA3094,110,1276,1522,393,214,3520,32,3543
POA3095,179,2317,4505,1545,1041,9582,55,9631
POA3096,11,99,255,123,116,602,3,609
POA3097,0,59,172,89,106,445,6,456
POA3099,37,356,652,338,307,1683,19,1702
POA3101,553,3667,3398,905,444,8969,107,9069
POA3102,100,825,1008,256,141,2337,24,2357
POA3103,409,2319,2253,588,259,5831,51,5877
POA3104,292,2152,3082,1002,503,7032,61,7090
POA3105,256,1374,1748,514,284,4173,38,4209
POA3106,166,1488,2546,907,550,5662,53,5717
POA3107,180,1668,2261,621,315,5033,37,5068
POA3108,696,4346,3560,846,380,9826,121,9944
POA3109,458,3951,4608,1205,616,10839,102,10939
POA3111,141,1220,1850,651,417,4277,39,4321
POA3113,24,479,1237,582,437,2756,13,2771
POA3114,9,149,476,259,257,1154,6,1164
POA3115,11,155,509,281,268,1227,4,1229
POA3116,92,1051,1863,630,406,4042,30,4071
POA3121,2793,7853,3082,587,147,14472,168,14639
POA3122,1368,4874,2541,570,247,9607,107,9706
POA3123,674,3031,1879,404,206,6198,53,6251
POA3124,478,3102,3031,833,403,7856,57,7908
POA3125,585,2148,1940,514,203,5392,67,5462
POA3126,144,978,1125,341,172,2757,25,2780
POA3127,356,2634,2834,720,338,6877,38,6914
POA3128,1620,4252,2278,570,245,8964,132,9096
POA3129,449,2578,2569,643,277,6520,79,6598
POA3130,847,4743,4782,1138,634,12147,137,12285
POA3131,603,3456,3288,788,368,8502,164,8660
POA3132,393,2661,2488,578,301,6415,49,6468
POA3133,249,2397,3666,1024,492,7825,65,7891
POA3134,745,4511,4977,1462,886,12586,172,12759
POA3135,320,2838,3172,837,439,7607,56,7657
POA3136,768,6282,7260,1952,1165,17430,152,17576
POA3137,211,1774,2231,743,499,5460,57,5513
POA3138,259,2306,3454,1277,697,7992,51,8040
POA3139,87,1003,1948,941,877,4845,75,4921
POA3140,290,2073,2581,901,648,6490,62,6550
POA3141,3614,6920,1945,326,132,12933,144,13082
POA3142,479,2379,1760,503,298,5420,63,5481
POA3143,581,2209,1226,205,101,4316,45,4361
POA3144,345,1878,1500,367,178,4267,47,4312
POA3145,809,3485,3247,845,403,8790,98,8883
POA3146,547,3975,3803,992,469,9787,110,9894
POA3147,421,2015,2125,530,245,5331,69,5405
POA3148,247,1433,1388,357,150,3567,59,3623
POA3149,530,4402,5236,1508,689,12363,120,12481
POA3150,1282,7063,9040,2805,1288,21483,231,21719
POA3151,277,1557,1552,390,196,3970,50,4021
POA3152,508,3577,5430,1672,855,12044,126,12166
POA3153,429,3128,3209,946,428,8140,116,8257
POA3154,42,361,714,249,164,1529,18,1545
POA3155,457,3604,3676,1046,462,9239,108,9347
POA3156,519,4028,5734,2068,1367,13716,136,13853
POA3158,55,582,1117,397,237,2395,22,2413
POA3159,9,179,370,152,132,842,11,852
POA3160,75,864,1372,535,344,3189,25,3218
POA3161,659,3017,2283,480,249,6687,86,6773
POA3162,409,2562,2814,591,297,6679,65,6741
POA3163,1742,6967,4064,793,382,13951,160,14112
POA3165,502,3757,4761,1165,535,10723,82,10802
POA3166,851,3804,3330,864,406,9254,120,9378
POA3167,224,1307,1426,395,195,3541,36,3579
POA3168,1124,3242,1966,449,243,7024,121,7150
POA3169,609,2892,2512,858,362,7230,125,7364
POA3170,258,2032,3090,916,460,6759,92,6856
POA3171,719,2724,2257,829,467,7002,166,7165
POA3172,337,2225,3140,1200,619,7519,108,7627
POA3173,338,2235,4035,1538,860,9009,94,9102
POA3174,1182,5458,4541,1487,744,13416,267,13683
POA3175,1724,7069,5670,1882,1080,17428,425,17855
POA3177,378,1571,1359,396,229,3927,114,4045
POA3178,247,2740,5101,1965,1259,11314,78,11398
POA3179,52,570,943,318,168,2049,16,2074
POA3180,69,929,1259,372,189,2820,20,2838
POA3181,2207,5239,1845,299,110,9705,126,9829
POA3182,2835,6503,1872,278,121,11611,172,11779
POA3183,1355,4125,1907,289,120,7793,140,7932
POA3184,812,4009,1917,319,130,7186,74,7264
POA3185,620,2769,1748,332,131,5598,58,5662
POA3186,449,3493,3512,951,491,8894,88,8981
POA3187,311,2052,2572,685,322,5948,61,6009
POA3188,474,2687,2732,738,316,6949,71,7016
POA3189,175,940,944,242,79,2380,36,2415
POA3190,305,2153,1842,329,144,4771,54,4828
POA3191,282,1710,1643,392,185,4218,45,4266
POA3192,646,3962,3645,795,365,9415,99,9517
POA3193,220,2253,3410,977,516,7376,63,7444
POA3194,421,2493,2029,430,225,5603,39,5638
POA3195,696,4670,5781,1655,833,13631,95,13726
POA3196,663,4463,4338,942,398,10801,117,10917
POA3197,286,1662,1992,570,285,4801,72,4877
POA3198,518,2939,2662,662,284,7071,116,7191
POA3199,1619,8390,8235,2347,1108,21700,329,22026
POA3200,239,926,678,185,81,2108,40,2148
POA3201,375,3007,3286,1030,500,8203,98,8307
POA3202,31,297,466,110,47,953,12,965
POA3204,833,5191,4628,1092,459,12205,124,12329
POA3205,1281,3051,973,120,49,5482,67,5547
POA3206,435,2019,1332,240,93,4114,34,4147
POA3207,930,4152,2177,353,111,7724,108,7830
POA3211,6,45,161,75,103,398,8,406
POA3212,160,1817,2752,1006,639,6368,60,6427
POA3213,17,281,587,311,321,1517,16,1537
POA3214,1108,3882,2781,888,429,9087,223,9312
POA3215,557,3427,3356,925,466,8736,133,8867
POA3216,1066,7827,9236,2661,1451,22239,245,22490
POA3217,76,1840,3614,904,448,6878,59,6939
POA3218,525,2596,2344,553,256,6277,65,6345
POA3219,729,3647,2853,812,454,8500,146,8645
POA3220,547,2808,2562,646,309,6875,62,6934
POA3221,3,27,119,61,52,258,5,261
POA3222,162,2375,2958,1016,600,7104,78,7182
POA3223,117,1581,1670,474,226,4069,66,4135
POA3224,158,1860,2321,789,513,5632,65,5699
POA3225,64,887,971,212,109,2255,26,2273
POA3226,147,2072,3048,852,376,6488,82,6567
POA3227,31,526,980,285,112,1930,26,1959
POA3228,128,2279,4060,1135,622,8222,65,8292
POA3230,37,413,576,149,58,1228,22,1245
POA3231,13,247,261,71,39,632,9,637
POA3232,21,205,168,71,33,494,5,502
POA3233,39,446,327,109,25,946,18,963
POA3234,0,40,34,15,4,91,0,90
POA3235,0,43,73,29,21,167,5,171
POA3236,3,27,43,8,4,90,0,96
POA3237,0,25,45,18,13,101,6,102
POA3238,3,42,39,11,10,104,3,108
POA3239,3,54,73,32,26,177,0,184
POA3240,0,74,285,173,157,692,19,711
POA3241,30,307,467,179,156,1143,28,1169
POA3242,5,106,165,39,40,361,3,363
POA3243,0,28,60,26,31,142,7,146
POA3249,4,237,468,267,221,1207,28,1231
POA3250,389,1881,1796,611,334,5013,115,5127
POA3251,5,55,90,38,35,224,4,228
POA3254,0,27,45,31,19,121,0,121
POA3260,107,609,693,288,214,1910,31,1939
POA3264,48,320,308,140,88,899,25,926
POA3265,10,173,381,217,190,965,12,977
POA3266,39,319,408,212,168,1144,16,1161
POA3267,5,11,24,13,22,72,7,73
POA3268,24,247,353,178,138,934,18,956
POA3269,6,56,89,50,34,236,5,243
POA3270,4,48,58,18,10,137,0,137
POA3271,0,20,20,23,8,72,0,72
POA3272,25,214,248,104,64,649,14,664
POA3273,0,11,11,13,14,45,0,45
POA3274,3,22,31,24,13,96,0,96
POA3275,0,17,58,32,40,145,4,147
POA3276,6,30,75,32,27,166,0,166
POA3277,12,142,261,123,107,641,8,654
POA3278,0,22,51,24,22,111,5,120
POA3279,0,7,41,17,21,84,0,86
POA3280,764,5005,5067,1497,739,13076,192,13266
POA3281,5,71,255,159,122,605,3,608
POA3282,21,243,416,161,81,925,19,941
POA3283,0,77,205,126,82,494,15,508
POA3284,69,503,649,170,85,1470,20,1492
POA3285,4,93,189,104,70,457,7,468
POA3286,5,52,79,39,46,216,12,227
POA3287,3,32,70,29,28,155,0,150
POA3289,8,94,99,58,45,304,7,313
POA3292,0,23,32,15,7,77,0,76
POA3293,0,41,44,28,24,131,5,139
POA3294,9,104,136,78,57,388,8,390
POA3300,278,1588,1554,565,326,4316,71,4387
POA3301,6,80,167,107,106,464,4,469
POA3302,3,30,50,34,24,139,0,139
POA3303,0,20,38,32,23,115,5,116
POA3304,33,333,387,191,151,1091,27,1117
POA3305,273,1770,2011,799,432,5285,94,5377
POA3309,0,9,14,11,7,42,0,48
POA3310,0,41,49,18,16,131,0,128
POA3311,47,279,244,103,77,749,20,772
POA3312,8,72,119,99,94,385,7,392
POA3314,0,43,77,51,35,212,3,222
POA3315,31,213,219,136,110,706,13,714
POA3317,0,13,39,9,15,74,8,77
POA3318,20,162,195,79,64,520,13,534
POA3319,3,46,54,31,33,158,3,158
POA3321,4,78,235,141,107,564,9,573
POA3322,4,28,25,13,6,87,3,91
POA3323,0,4,11,8,10,38,0,41
POA3324,13,81,70,46,38,247,11,258
POA3325,5,54,72,36,27,192,7,200
POA3328,3,93,320,172,124,710,4,718
POA3329,3,13,44,26,17,108,0,106
POA3330,0,18,31,12,13,74,4,79
POA3331,25,417,1018,430,386,2275,16,2294
POA3332,4,52,140,95,75,368,5,377
POA3333,0,66,120,62,67,308,5,315
POA3334,3,48,88,33,35,203,3,209
POA3335,51,669,919,262,128,2029,49,2077
POA3336,59,1263,2665,761,296,5050,52,5104
POA3337,575,4492,5242,1864,1172,13351,226,13577
POA3338,513,3848,4823,1464,657,11307,210,11514
POA3340,335,2740,3516,1437,1011,9025,121,9148
POA3341,4,75,221,115,123,538,13,553
POA3342,48,468,547,255,175,1487,17,1507
POA3345,6,102,207,112,55,478,6,486
POA3350,1589,10183,9865,2797,1408,25841,291,26129
POA3351,39,522,1241,676,620,3099,55,3155
POA3352,60,1207,2604,1323,1091,6273,78,6351
POA3355,512,2432,1716,536,232,5427,120,5546
POA3356,486,2659,2139,709,341,6338,116,6450
POA3357,32,348,594,244,137,1356,13,1368
POA3358,6,301,582,184,87,1168,8,1179
POA3360,13,101,116,65,48,341,10,346
POA3361,11,99,91,51,24,278,6,290
POA3363,66,496,498,226,125,1404,17,1421
POA3364,12,192,348,165,127,850,12,864
POA3370,26,276,293,137,83,814,10,823
POA3371,12,122,171,84,56,446,6,451
POA3373,42,282,390,164,134,1011,11,1018
POA3374,5,45,74,29,24,173,6,182
POA3375,5,15,38,20,23,92,0,93
POA3377,249,1291,1235,478,315,3569,78,3650
POA3378,0,5,13,14,14,43,0,43
POA3379,5,91,115,34,54,307,8,313
POA3380,160,981,885,314,193,2539,45,2584
POA3381,9,132,195,88,56,483,9,490
POA3384,0,39,82,52,34,219,3,222
POA3385,4,49,79,41,33,212,11,216
POA3387,0,25,39,26,23,119,0,116
POA3388,6,61,87,26,31,219,6,223
POA3390,12,147,152,63,32,398,9,408
POA3391,0,9,22,12,17,58,4,63
POA3392,5,92,82,36,29,241,6,241
POA3393,72,376,387,131,102,1072,33,1104
POA3395,6,30,57,29,24,146,0,148
POA3396,12,111,104,48,25,299,9,309
POA3400,465,2419,2323,740,283,6229,105,6331
POA3401,8,195,576,412,362,1557,22,1581
POA3407,0,40,55,44,35,169,4,173
POA3409,8,98,128,82,78,391,14,400
POA3412,7,46,41,17,14,125,5,129
POA3413,0,11,21,17,26,75,0,75
POA3414,48,245,266,110,81,744,14,758
POA3415,0,3,4,3,0,13,0,13
POA3418,57,331,367,186,158,1102,17,1121
POA3419,20,125,137,65,38,388,3,395
POA3420,6,11,33,19,26,88,3,98
POA3423,11,74,62,31,26,204,3,209
POA3424,13,88,107,64,48,318,4,320
POA3427,39,636,912,266,182,2031,28,2056
POA3428,3,33,82,53,52,218,0,218
POA3429,535,4213,5834,2140,1311,14034,147,14182
POA3430,0,24,20,21,32,97,5,96
POA3431,20,306,627,314,232,1498,13,1507
POA3432,0,9,20,21,20,68,0,68
POA3433,0,8,29,18,10,69,0,69
POA3434,25,423,874,463,310,2091,37,2127
POA3435,15,245,481,226,179,1140,15,1156
POA3437,64,864,1780,687,525,3915,32,3949
POA3438,16,189,335,153,106,793,0,803
POA3440,10,142,327,110,100,693,4,697
POA3441,4,106,248,105,39,511,8,515
POA3442,71,904,1289,493,297,3053,37,3094
POA3444,145,1107,1490,585,421,3757,50,3809
POA3446,8,123,188,65,38,424,9,427
POA3447,3,42,96,43,25,203,6,208
POA3448,0,95,166,69,57,389,0,392
POA3450,276,1499,955,274,133,3142,62,3204
POA3451,30,721,979,344,238,2305,24,2338
POA3453,11,150,276,125,111,677,9,686
POA3458,14,306,371,136,96,925,5,935
POA3460,79,579,426,116,46,1247,23,1273
POA3461,40,555,782,325,163,1861,19,1884
POA3462,9,173,194,89,65,527,3,533
POA3463,19,372,417,192,127,1131,19,1148
POA3464,14,118,169,76,64,440,12,449
POA3465,285,1729,1442,501,311,4267,104,4368
POA3467,22,187,190,95,56,543,15,559
POA3468,0,38,43,25,23,123,0,125
POA3469,6,36,35,12,20,110,0,108
POA3472,20,230,230,97,70,645,17,661
POA3475,4,53,61,22,15,156,3,162
POA3477,9,61,113,74,57,315,8,322
POA3478,92,404,390,140,102,1129,31,1160
POA3480,31,219,254,111,90,698,20,720
POA3482,3,18,24,12,9,69,0,68
POA3483,19,105,118,57,55,350,10,359
POA3485,6,30,44,24,14,121,3,127
POA3487,0,3,3,10,5,25,0,25
POA3488,5,6,16,9,7,37,0,37
POA3489,0,8,4,3,11,21,0,21
POA3490,38,153,190,78,52,507,16,528
POA3491,0,18,18,11,8,53,0,52
POA3494,10,68,73,41,33,232,16,252
POA3496,113,656,841,394,272,2282,46,2329
POA3498,37,477,825,384,274,2001,52,2058
POA3500,990,5007,4772,1500,740,13007,308,13319
POA3501,9,126,275,162,121,695,15,710
POA3505,60,435,673,327,221,1718,43,1764
POA3506,0,3,5,0,0,10,0,10
POA3507,0,27,19,14,6,64,0,64
POA3509,3,21,34,18,14,90,4,96
POA3512,4,43,51,23,26,143,6,146
POA3515,3,136,384,173,117,816,12,829
POA3516,10,62,84,63,51,265,0,270
POA3517,19,165,208,104,77,568,23,587
POA3518,19,167,186,96,66,531,14,547
POA3520,0,32,15,12,5,67,5,71
POA3521,3,38,102,62,53,251,7,258
POA3522,5,22,54,22,28,130,0,130
POA3523,45,551,628,244,146,1622,55,1676
POA3525,32,176,193,96,60,553,15,572
POA3527,14,108,108,52,35,325,7,329
POA3529,0,11,10,9,14,42,0,40
POA3530,0,15,14,11,12,54,0,55
POA3531,0,20,27,15,17,77,0,82
POA3533,16,114,92,64,31,305,14,322
POA3537,16,108,149,70,31,379,6,388
POA3540,4,42,32,14,18,118,0,119
POA3542,3,12,13,11,19,53,3,58
POA3544,0,29,23,16,26,94,0,94
POA3546,5,35,48,18,23,141,0,140
POA3549,86,310,389,182,136,1106,46,1154
POA3550,1252,7144,5987,1756,906,17046,197,17240
POA3551,117,2445,5357,2233,1602,11756,105,11861
POA3555,531,3412,3044,1008,454,8441,145,8582
POA3556,328,1947,1954,761,461,5453,112,5561
POA3557,0,63,128,58,55,298,3,306
POA3558,14,137,137,62,42,392,8,399
POA3559,0,45,76,45,38,205,3,218
POA3561,65,534,632,285,200,1717,39,1753
POA3562,4,10,38,23,11,90,0,90
POA3563,10,77,116,60,45,311,3,311
POA3564,379,2184,2446,928,556,6493,133,6626
POA3565,0,11,19,13,8,44,0,43
