POA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
POA2000,0,0,91,0,0,98,0,0,9,0,0,12,0,0,7,0,0,7,0,0,14,0,0,14,0,0,27,0,0,28,0,0,89,0,0,90,0,0,79,0,0,81,0,4,162,0,0,164,0,0,146,0,0,144,0,4,187,0,0,189,0,24,347,0,0,370,0,5,78,0,0,86,5,45,1233,0,4,1286
POA2007,0,5,15,0,0,19,0,0,9,0,0,9,0,0,0,0,0,0,0,0,3,0,0,3,0,3,7,0,0,11,0,4,22,0,0,26,0,7,26,0,0,26,0,5,56,0,0,67,0,3,56,0,0,60,0,0,65,0,0,69,0,11,40,0,0,53,0,0,18,0,0,18,5,36,320,0,0,358
POA2008,0,15,34,0,0,51,0,0,0,0,0,6,0,0,4,0,0,4,0,3,4,0,0,11,0,4,4,0,0,12,0,11,22,0,0,29,0,11,42,0,0,50,0,17,92,0,0,115,4,21,57,0,0,80,0,39,64,0,0,100,9,73,63,3,0,148,0,13,28,0,0,42,12,211,413,0,0,644
POA2009,0,4,70,0,0,75,0,0,3,0,0,3,0,0,7,0,0,7,0,0,10,0,0,8,0,0,26,0,0,26,0,3,54,0,0,58,0,0,64,0,0,62,0,5,123,0,0,130,0,5,114,0,0,124,0,20,170,0,0,193,0,19,235,0,0,252,0,6,58,0,0,66,0,70,935,0,0,1004
POA2010,0,43,84,0,0,130,0,12,8,0,0,20,0,0,25,0,0,27,0,11,37,0,0,47,0,19,37,0,0,49,3,33,111,0,0,149,5,50,139,0,0,186,3,67,258,0,3,326,3,55,198,0,0,261,0,137,287,0,0,432,23,337,342,3,0,711,0,39,96,0,0,139,39,795,1619,5,8,2473
POA2011,0,12,92,0,0,100,0,4,18,0,0,19,0,0,13,0,0,16,0,0,33,0,0,33,0,6,32,0,0,39,0,8,114,0,0,122,0,4,113,0,0,123,0,18,225,0,0,249,0,14,158,0,0,173,0,15,239,0,3,255,3,53,295,0,3,353,0,12,90,0,0,97,10,143,1421,5,8,1581
POA2015,3,29,33,0,0,60,0,0,11,0,0,17,0,3,3,0,0,7,5,9,10,0,0,24,0,9,13,0,0,17,11,22,71,0,0,106,4,23,100,0,0,133,7,58,201,3,0,269,8,54,238,0,0,299,20,100,218,0,4,342,56,214,136,7,0,406,6,34,41,0,0,83,119,555,1068,15,6,1755
POA2016,0,27,35,0,0,67,0,10,4,0,0,19,0,9,4,0,0,15,0,5,8,0,0,17,0,11,18,0,0,28,0,15,40,0,0,57,0,16,54,0,0,72,0,50,115,0,0,162,0,46,103,0,0,155,3,80,139,0,0,226,13,200,101,0,0,314,0,22,44,4,0,67,25,493,675,7,0,1201
POA2017,0,10,99,0,0,110,0,0,15,0,0,15,0,0,9,0,0,13,0,0,27,0,0,27,0,4,20,0,0,27,0,11,144,0,0,162,0,22,156,0,0,183,0,36,473,0,0,510,0,26,470,0,0,498,0,47,524,0,0,568,7,71,308,0,0,389,4,12,118,0,0,132,12,246,2371,0,0,2630
POA2018,30,8,58,0,0,98,9,0,15,0,0,26,4,0,8,0,0,12,15,5,16,0,0,30,14,0,24,0,0,43,28,3,113,0,0,143,38,5,110,0,0,153,63,10,324,0,0,399,47,7,244,0,0,299,114,30,220,0,0,366,185,32,120,0,0,337,51,6,68,0,0,128,606,112,1316,0,5,2033
POA2019,34,22,18,0,0,73,0,0,3,0,0,10,5,8,3,0,0,10,8,0,9,0,0,15,10,10,7,0,0,25,30,17,53,0,0,97,40,25,66,0,0,129,77,67,212,0,0,354,65,46,190,0,0,297,104,108,193,0,0,405,197,150,91,0,0,429,48,28,50,0,0,125,604,466,900,3,0,1981
POA2020,26,6,45,0,0,77,6,0,5,0,0,15,4,0,0,0,0,9,17,0,9,0,0,23,9,0,22,0,0,39,38,11,72,0,0,114,44,11,98,0,0,150,55,11,268,0,0,336,75,14,237,0,0,326,112,29,284,0,0,429,171,27,149,0,0,339,40,11,77,0,0,130,596,114,1261,5,3,1978
POA2021,9,47,19,0,0,76,0,6,4,0,0,13,0,14,5,0,0,16,0,13,9,0,0,24,0,10,10,0,0,28,0,41,38,0,0,80,0,28,31,0,0,69,17,78,72,0,0,158,4,56,45,0,0,109,16,139,65,0,0,219,112,571,62,7,0,755,12,64,15,0,0,103,182,1070,371,9,0,1635
POA2022,21,24,31,8,0,86,4,4,4,0,0,13,0,5,4,0,0,11,5,4,3,0,0,11,8,3,6,0,0,17,3,17,27,0,0,50,4,16,33,0,0,57,19,34,74,3,0,130,12,25,46,3,0,94,16,68,72,0,0,166,108,287,77,0,0,477,21,34,33,6,0,93,216,535,414,26,0,1195
POA2023,58,5,33,0,0,95,0,0,4,0,0,9,0,0,9,0,0,6,4,0,3,0,0,7,7,0,7,0,0,18,10,4,29,0,0,42,11,0,27,0,0,40,20,0,62,0,0,89,9,0,77,0,0,90,28,6,122,0,0,156,308,28,193,0,0,527,46,9,45,0,0,93,497,51,615,0,0,1159
POA2024,27,24,18,0,0,75,0,0,6,0,0,6,0,0,4,0,0,4,8,3,3,0,0,17,7,7,11,0,0,25,15,7,20,0,0,42,9,17,19,0,0,48,16,21,54,0,0,96,14,20,50,0,0,82,40,52,84,0,0,166,232,210,79,0,0,521,42,26,23,0,0,92,414,378,374,3,0,1171
POA2025,23,26,22,0,0,71,0,3,0,0,0,3,0,0,3,0,0,3,0,0,6,0,0,6,0,3,7,0,0,11,6,7,15,0,0,29,0,7,18,0,0,29,5,14,28,0,0,48,0,9,33,0,0,36,13,18,57,0,0,94,111,139,90,5,0,336,15,17,24,0,0,52,174,247,302,5,0,723
POA2026,30,42,83,0,0,154,7,10,9,0,0,29,4,8,11,0,0,17,0,14,18,0,0,35,7,15,28,0,0,50,9,38,80,0,0,132,12,29,103,0,0,151,24,49,191,0,0,266,27,51,175,0,0,251,49,108,306,0,0,464,282,429,392,4,0,1104,53,63,108,5,0,227,492,850,1517,14,0,2876
POA2027,12,9,44,0,0,60,0,0,10,0,0,9,0,0,4,0,0,5,0,0,9,0,0,16,0,0,3,0,0,0,0,0,28,0,0,26,0,5,19,0,0,23,5,9,43,0,0,58,0,8,39,0,0,45,0,10,68,0,0,80,64,53,153,0,5,268,11,9,31,0,0,49,94,109,438,0,5,646
POA2028,8,6,28,0,0,40,0,0,5,0,0,5,0,0,3,0,0,9,0,0,4,0,0,6,0,4,0,0,0,9,3,4,16,0,0,18,0,0,22,0,0,21,0,0,21,0,0,27,8,0,36,0,0,46,3,7,47,0,0,54,35,23,83,0,0,148,12,4,18,0,0,34,70,59,285,0,0,412
POA2029,30,8,33,0,0,70,7,3,8,0,0,14,0,0,6,0,0,7,0,0,0,0,0,5,6,0,6,0,0,15,17,6,24,0,0,47,3,3,34,0,0,46,15,10,58,0,0,80,15,17,75,5,0,103,16,19,98,3,0,131,149,73,135,4,0,361,41,7,30,0,0,86,289,144,501,12,0,954
POA2030,77,10,24,0,0,111,5,0,4,0,0,6,5,3,3,0,0,7,5,0,5,0,0,3,16,3,7,0,0,25,25,3,26,0,0,54,15,6,34,0,0,57,49,21,54,0,0,128,16,8,53,0,0,72,68,19,83,0,0,174,534,110,128,3,4,784,105,20,39,0,0,163,919,201,458,14,4,1586
POA2031,52,56,78,0,0,193,3,13,9,0,0,19,8,10,18,0,0,33,6,7,21,0,0,40,8,12,34,0,0,53,24,34,105,0,0,162,23,41,121,3,0,187,46,62,248,3,0,359,32,57,214,5,0,306,82,100,369,3,0,551,421,469,276,10,0,1177,64,52,91,0,0,210,771,914,1585,30,4,3297
POA2032,41,5,19,0,0,63,7,4,6,0,0,15,8,0,3,0,0,12,9,6,8,0,0,19,14,5,12,0,0,28,32,7,26,0,0,61,31,7,23,0,0,65,40,25,55,0,0,117,45,10,37,0,0,91,55,46,47,0,0,149,235,83,30,0,0,347,38,8,24,0,0,65,548,206,288,3,0,1045
POA2033,27,9,16,0,0,52,3,0,3,0,0,8,0,0,7,0,0,8,0,0,4,0,0,7,0,0,16,0,0,14,14,0,33,0,0,46,11,3,45,0,0,59,18,5,89,0,0,116,19,4,80,0,0,103,30,11,82,0,0,118,145,26,62,0,0,230,24,9,18,0,0,54,280,69,454,0,0,812
POA2034,47,17,34,0,0,100,6,5,16,0,0,22,6,0,7,0,0,14,4,8,6,0,0,18,6,9,19,0,0,38,24,11,41,0,0,75,20,17,49,0,0,80,26,25,101,0,0,156,21,20,113,0,0,161,63,44,194,0,0,300,277,168,219,0,0,666,59,29,55,0,0,143,551,349,867,4,0,1768
POA2035,95,59,55,0,0,204,12,7,11,0,0,33,9,6,3,0,0,26,17,16,22,0,0,47,21,11,34,0,0,67,68,49,54,0,0,173,63,53,82,0,0,202,118,84,158,4,0,367,94,86,150,3,0,341,202,180,158,0,5,541,614,343,128,0,0,1084,125,65,54,0,0,247,1448,965,908,8,4,3334
POA2036,86,27,44,0,0,158,8,10,13,0,0,27,10,8,12,0,0,29,27,17,20,0,0,63,33,10,24,0,0,68,75,34,73,0,0,184,91,41,115,0,0,248,149,73,252,0,0,470,115,74,230,0,0,418,256,124,170,0,0,548,584,181,127,0,0,894,120,44,80,0,0,248,1554,652,1154,0,5,3356
POA2037,12,39,28,0,0,77,0,8,4,0,0,12,5,10,3,0,0,15,0,8,11,0,0,12,0,12,16,0,0,28,0,27,34,0,0,63,4,34,52,0,0,91,5,52,83,0,0,135,4,55,64,0,0,118,15,116,87,3,0,222,39,281,94,0,0,422,7,28,36,0,0,69,86,662,507,11,0,1271
POA2038,20,27,7,0,0,53,3,4,0,0,0,8,0,5,0,0,0,5,5,12,3,0,0,20,3,10,6,0,0,16,14,38,17,0,0,70,6,18,15,0,0,41,32,56,38,0,0,117,11,51,38,0,0,106,48,131,33,0,0,214,144,277,26,3,0,452,22,37,6,0,0,63,308,671,188,5,0,1164
POA2039,24,18,8,0,0,54,3,0,4,0,0,9,7,0,0,0,0,8,3,0,0,0,0,5,0,8,0,0,0,18,20,24,15,0,0,60,21,28,15,0,0,63,18,55,29,0,0,108,27,46,36,0,0,107,65,84,58,0,0,212,189,253,39,0,0,479,18,32,11,0,0,60,393,554,219,5,0,1170
POA2040,46,49,15,0,0,107,10,11,0,0,0,19,5,0,7,0,0,22,14,7,6,0,0,35,23,16,9,0,0,45,58,33,41,0,0,135,62,48,44,0,0,153,123,113,77,0,0,320,121,83,72,0,0,281,248,245,105,0,0,596,677,412,79,4,0,1182,79,46,17,0,0,142,1473,1067,478,4,3,3024
POA2041,30,69,16,0,0,115,3,9,4,0,0,17,3,11,4,0,0,21,9,11,4,0,0,16,4,19,11,0,0,28,24,35,13,0,0,67,8,30,15,0,0,53,27,66,41,0,0,132,33,49,43,0,0,125,67,120,74,0,0,257,288,498,88,0,0,867,37,59,28,0,0,124,535,963,337,0,0,1828
POA2042,12,53,26,0,0,93,5,24,7,0,0,34,0,15,9,0,0,25,0,14,8,0,0,24,4,29,22,0,0,55,10,56,33,0,0,95,9,72,65,0,0,150,23,137,104,3,0,262,21,133,73,0,0,231,32,256,77,0,0,368,99,461,45,4,0,597,6,57,24,0,0,81,225,1309,475,10,0,2019
POA2043,0,32,12,0,0,44,0,3,3,0,0,8,0,5,4,0,0,4,5,0,9,0,0,15,0,17,11,0,0,29,9,38,68,0,0,106,0,30,58,0,0,91,3,78,155,0,0,236,3,68,156,0,0,225,6,120,217,0,0,341,23,182,103,0,0,309,5,21,35,0,0,56,59,598,819,0,0,1476
POA2044,27,18,3,0,0,45,0,10,0,0,0,12,3,4,0,0,0,5,7,11,0,0,0,13,17,8,4,0,0,24,34,32,14,0,0,73,28,28,16,0,0,78,64,58,36,0,0,159,62,60,44,0,0,172,105,108,58,0,0,261,137,141,9,0,0,290,33,20,5,0,0,63,501,485,202,5,0,1189
