POA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA2207,5035,3309,3502,3889,3668,3383,2731,1799,1059,28382
POA2208,2325,1513,1417,1744,1802,1540,1285,852,406,12881
POA2209,2626,1799,2197,2230,1994,2037,1611,898,433,15825
POA2210,5583,3988,4139,4241,4256,4267,3334,2317,1132,33262
POA2211,2984,2160,2238,2305,2270,2407,1617,1023,604,17610
POA2212,3252,2138,2337,2385,2169,2066,1495,813,538,17184
POA2213,4598,2877,2726,3281,3208,2932,2062,1117,494,23290
POA2214,850,517,456,521,550,417,442,269,43,4074
POA2216,4023,3251,5469,4477,3368,2943,2370,1502,611,28027
POA2217,4422,3165,5196,4397,3567,3059,2251,1664,959,28673
POA2218,2419,1973,2888,2421,1972,1982,1476,763,292,16182
POA2219,2237,1363,1493,1751,2017,1859,1528,1076,443,13771
POA2220,4520,5183,7642,4433,3485,3724,2682,1432,672,33761
POA2221,2977,2240,1713,2062,2428,2294,1701,1066,587,17065
POA2222,1930,1589,2126,1762,1582,1598,1176,602,291,12660
POA2223,3810,2488,2539,3119,2896,2728,2140,1114,576,21403
POA2224,2491,1647,1291,1733,2068,1798,1543,1348,649,14559
POA2225,1254,716,385,784,929,619,536,257,83,5560
POA2226,2721,1447,1344,1898,1950,1534,1222,640,302,13054
POA2227,3015,1848,1605,2090,2284,1874,1370,908,377,15364
POA2228,3685,2262,2756,2982,2707,2287,1884,1492,941,21001
POA2229,5893,3540,3607,4014,4221,3679,3064,1873,1050,30943
POA2230,4444,3391,4508,3735,4088,4438,3578,1729,792,30690
POA2231,596,309,243,361,368,295,209,118,35,2528
POA2232,6377,3944,4831,5110,4801,3877,3072,2258,1025,35304
POA2233,6232,3677,2727,4184,4214,3337,2958,1916,707,29960
POA2234,5709,4141,3049,3616,4185,4725,3451,1299,479,30648
POA2250,12586,8241,8788,9066,9117,8942,7267,4713,2431,71168
POA2251,6094,3621,2715,3814,4493,4652,4356,2797,1173,33721
POA2256,2367,1486,1650,1807,2030,2295,2192,1555,653,16039
POA2257,5035,2820,2633,3642,3838,4244,4384,2789,1015,30403
POA2258,955,689,578,660,748,795,517,239,75,5253
POA2259,12638,8266,7432,7870,8500,7909,7168,4772,1678,66236
POA2260,4926,3037,2417,3248,3659,3332,3082,1663,467,25845
POA2261,9940,5870,6391,6600,6678,7161,6720,3917,1851,55129
POA2262,4202,2532,2846,2350,2637,2660,2239,1484,451,21411
POA2263,4121,2639,2953,2625,2833,3237,3153,2089,910,24554
POA2264,2631,1760,1726,1634,1834,2159,2167,1635,620,16162
POA2265,1465,835,975,814,807,841,813,568,344,7464
POA2267,422,234,231,302,319,482,560,304,79,2920
POA2278,476,325,335,343,333,378,296,62,15,2565
POA2280,4722,3068,2670,3087,3550,3668,3501,2098,820,27183
POA2281,2467,1511,1161,1662,2000,2379,2291,1364,494,15323
POA2282,2806,1848,1255,1948,2229,2131,2093,1389,450,16146
POA2283,3906,2668,2449,2447,3039,3507,3592,2054,746,24419
POA2284,2204,1380,1589,1541,1553,1675,1378,872,425,12612
POA2285,6978,4093,4962,4943,4153,3473,2895,1699,669,33869
POA2286,920,578,708,562,556,549,510,253,55,4690
POA2287,7766,5695,5982,5554,4909,4229,3567,2115,1027,40845
POA2289,4010,2589,2609,2898,2680,2181,1583,1188,521,20257
POA2290,6608,3854,4564,4520,4374,4142,3403,2282,1161,34912
POA2291,2421,1966,1888,1769,1990,1849,1372,692,325,14279
POA2292,401,395,498,378,331,298,199,94,42,2622
POA2293,397,451,763,448,370,427,294,115,34,3302
POA2294,310,227,432,295,243,264,184,75,30,2061
POA2295,1418,733,835,1006,895,1037,1258,678,233,8091
POA2296,264,280,450,316,294,218,135,52,15,2026
POA2297,299,239,333,273,250,225,117,56,21,1801
POA2298,1376,1511,1892,1230,1132,1031,782,625,569,10141
POA2299,2018,2000,2030,1503,1356,1244,872,569,310,11905
POA2300,1148,1740,2527,1496,1539,1574,1274,589,149,12058
POA2302,80,158,362,144,113,179,167,135,73,1411
POA2303,1382,1331,1310,1192,1313,1288,1065,552,281,9710
POA2304,2476,1773,3030,2214,1781,1799,1415,782,541,15807
POA2305,2505,1624,1367,1744,1887,1674,1316,683,316,13108
POA2306,758,399,457,380,422,426,353,186,42,3421
POA2307,709,729,942,499,362,396,438,352,120,4537
POA2308,0,1321,28,4,0,0,0,0,0,1358
POA2311,178,72,83,111,97,168,123,60,22,913
POA2312,255,148,119,154,200,272,221,107,21,1500
POA2315,2021,1367,1125,1369,1808,2418,2764,1769,653,15287
POA2316,965,648,471,563,841,1064,1181,713,124,6577
POA2317,831,553,473,513,735,1014,1150,960,329,6553
POA2318,2854,1593,1404,1680,1807,1735,1605,847,155,13667
POA2319,1093,670,624,644,806,1105,1158,627,163,6887
POA2320,8414,4715,5211,5214,4862,4419,3684,1936,712,39163
POA2321,4569,2238,3133,2722,2262,2064,1783,861,230,19857
POA2322,5296,3002,3935,3254,2875,2699,2042,1030,247,24373
POA2323,4815,3263,3346,3204,3375,3257,2766,1476,545,26051
POA2324,4270,2713,2592,2568,2978,3668,3799,2202,671,25443
POA2325,5792,3644,4107,3792,3915,3909,3439,1735,736,31073
POA2326,1673,937,980,950,965,1029,847,389,103,7871
POA2327,1438,966,1162,810,992,940,880,439,202,7830
POA2328,447,292,280,292,338,340,288,160,70,2506
POA2329,422,202,213,226,258,288,294,156,77,2138
POA2330,4569,2528,2956,2699,2900,2654,1874,930,340,21445
POA2331,3,446,87,9,14,10,8,0,0,581
POA2333,2995,1629,1988,1804,1778,1644,1177,585,189,13795
POA2334,779,432,544,476,407,314,250,125,20,3349
POA2335,1943,967,1190,1173,1020,885,650,240,55,8124
POA2336,473,296,311,291,340,396,282,150,56,2589
POA2337,1550,871,1017,1043,1001,1023,839,499,221,8060
POA2338,186,121,110,132,182,238,242,137,51,1403
POA2339,122,81,66,95,91,120,107,41,11,718
POA2340,10906,6378,6997,6265,6086,6010,5217,3288,1292,52436
POA2341,249,142,136,137,162,228,238,147,45,1478
POA2342,93,55,45,53,69,71,55,31,6,465
POA2343,881,482,470,506,635,703,672,377,128,4858
POA2344,99,86,45,76,101,128,89,44,6,674
POA2345,136,68,75,99,107,96,91,29,10,707
POA2346,494,313,280,288,386,454,465,280,79,3033
POA2347,282,115,141,159,216,337,304,236,73,1865
POA2350,4815,4453,3524,2944,2972,3243,2588,1735,628,26911
POA2352,624,350,323,334,376,365,360,178,39,2950
POA2353,187,101,113,122,153,182,157,111,68,1201
POA2354,578,310,304,307,434,555,557,353,86,3484
POA2355,91,50,46,54,92,117,107,41,17,627
POA2356,18,10,6,15,13,23,15,11,0,124
POA2357,680,361,374,358,480,613,638,372,196,4069
POA2358,660,366,349,376,454,602,570,258,87,3727
POA2359,133,64,65,66,102,121,92,53,13,710
POA2360,2926,1732,1726,1586,1784,1889,1765,1169,411,14995
POA2361,138,87,68,67,126,159,151,100,24,927
POA2365,694,383,360,399,495,568,468,305,105,3762
POA2369,151,116,79,71,107,136,114,74,20,871
POA2370,1247,764,776,757,922,1158,1163,721,265,7785
POA2371,125,82,80,77,162,240,230,121,37,1158
POA2372,681,397,331,405,529,787,993,491,166,4789
POA2379,45,49,31,27,49,40,26,17,8,291
POA2380,2519,1167,1521,1326,1171,1293,1066,752,308,11118
POA2381,262,135,156,133,142,217,168,71,21,1302
POA2382,254,147,164,148,190,165,153,109,48,1381
POA2386,46,16,27,35,45,47,35,24,7,293
POA2387,38,28,42,11,21,35,12,5,6,201
POA2388,546,276,312,263,290,407,251,150,53,2554
POA2390,1703,954,1067,958,1039,1209,895,508,194,8540
POA2395,105,60,60,62,90,126,155,64,7,725
POA2396,150,72,75,75,90,128,135,81,32,834
POA2397,58,29,26,36,31,42,47,14,4,286
POA2398,55,32,28,27,41,41,22,6,3,248
POA2399,130,47,91,59,68,111,68,41,3,623
POA2400,2012,1113,1323,1163,1212,1265,932,528,156,9708
POA2401,63,34,27,34,41,48,30,22,7,299
POA2402,308,151,162,160,210,257,259,178,58,1745
POA2403,152,72,52,88,94,109,88,48,14,719
POA2404,230,119,91,142,198,270,323,226,96,1676
POA2405,81,58,66,53,60,58,77,36,9,500
POA2406,132,76,81,94,94,111,58,39,11,705
POA2408,73,16,40,41,51,49,31,9,0,310
POA2409,242,162,118,123,150,153,93,33,9,1072
POA2410,42,14,35,28,32,39,44,20,0,240
POA2411,16,6,15,14,18,16,9,0,0,104
POA2415,65,40,47,33,72,74,62,31,7,429
POA2420,636,412,299,405,520,664,576,379,125,4016
POA2421,424,230,175,282,277,300,250,109,22,2069
POA2422,776,442,383,491,679,980,1056,581,222,5608
POA2423,452,276,218,274,424,638,626,289,93,3297
POA2424,71,58,44,44,69,98,70,30,6,480
POA2425,363,196,197,198,301,315,254,151,47,2018
POA2426,150,98,66,87,109,142,125,60,11,850
POA2427,277,178,177,197,277,650,1050,511,141,3463
POA2428,3143,1909,1739,2132,2671,3875,4991,3318,1416,25187
POA2429,1575,854,869,861,1196,1690,1560,809,237,9650
POA2430,6238,3471,3376,3466,4189,5423,5889,3471,1319,36841
POA2431,724,378,440,445,556,932,1237,678,233,5628
POA2439,602,352,277,323,480,627,821,445,99,4031
POA2440,4064,2607,2470,2393,2768,3469,3139,1645,595,23166
POA2441,704,414,338,427,571,821,742,213,56,4288
POA2443,914,596,469,566,898,1504,1894,1328,580,8739
POA2444,8194,5479,4893,5434,6164,6635,7112,5029,2183,51117
POA2445,1143,710,448,700,981,1139,1315,768,145,7350
POA2446,2899,1639,1497,1554,1919,2067,1957,1125,398,15054
POA2447,1347,674,677,744,884,1317,1259,661,255,7809
POA2448,1351,776,734,824,1036,1579,1769,1129,422,9618
POA2449,374,245,202,177,272,405,317,134,33,2165
POA2450,8322,5121,5120,5546,6038,6371,5926,3481,1408,47335
POA2452,2732,1538,1636,1707,1902,2014,1952,1232,544,15260
POA2453,425,174,218,247,329,547,492,270,88,2787
POA2454,1470,751,611,867,1162,1301,1101,480,196,7953
POA2455,444,220,264,265,376,547,618,337,119,3185
POA2456,3137,1551,2153,2113,2023,2305,2418,1053,379,17141
POA2460,5323,3286,3472,3275,3855,4524,4072,2349,936,31079
POA2462,356,214,177,249,316,442,490,216,62,2529
POA2463,1302,702,615,767,1001,1395,1426,774,322,8304
POA2464,915,513,561,676,720,1089,1390,884,310,7058
POA2465,64,37,33,36,49,51,41,26,5,346
POA2466,165,90,76,109,172,376,442,266,70,1765
POA2469,586,354,310,364,567,990,792,320,75,4359
POA2470,3009,1780,1579,1526,1787,1983,2051,1244,512,15477
POA2471,497,359,258,332,381,410,351,168,65,2821
POA2472,369,188,183,240,264,331,274,118,28,1987
POA2473,446,265,237,288,387,522,608,294,146,3203
POA2474,1086,540,495,626,797,1190,1097,473,186,6492
POA2475,54,34,29,28,67,61,84,36,14,399
POA2476,117,66,85,61,120,167,144,72,17,847
POA2477,2208,1307,1135,1352,1684,1868,1757,1115,478,12899
POA2478,5118,2883,3014,3769,4014,4411,4733,2774,1347,32053
POA2479,1129,466,598,784,856,865,727,251,89,5780
POA2480,7830,5090,4907,5384,6215,6978,5770,2673,1099,45938
POA2481,1912,1196,2468,2069,1783,1801,1626,597,204,13659
POA2482,1178,633,701,869,1087,1091,945,337,133,6967
POA2483,1885,1041,1359,1593,1716,1779,1482,574,189,11616
POA2484,3430,2024,1629,2304,2698,3320,2780,1302,603,20083
POA2485,1895,1261,1770,1649,1581,2098,2469,1796,822,15349
POA2486,5128,3319,3052,3414,3937,4332,4592,3409,1652,32838
POA2487,2742,1392,1099,1905,2088,2263,2112,1071,419,15090
POA2488,716,349,377,479,491,555,336,151,72,3523
POA2489,1730,636,582,1134,984,951,1006,634,244,7894
POA2490,148,65,84,79,85,126,73,24,8,690
POA2500,5329,8234,8464,4979,4685,4610,3712,2405,1052,43472
POA2502,2419,1433,1674,1494,1500,1470,1209,935,422,12551
POA2505,874,540,662,627,622,714,524,328,199,5088
POA2506,1477,947,973,920,990,1068,765,432,220,7798
POA2508,1993,1117,1028,1295,1344,1239,802,384,142,9346
POA2515,2325,1264,1078,1524,1693,1749,1340,578,197,11745
POA2516,1496,809,601,998,1017,868,621,281,107,6798
POA2517,2670,1539,1359,1870,1921,1670,1413,980,538,13959
POA2518,3352,2302,2594,2451,2478,2625,2054,1332,670,19864
POA2519,2942,2300,2087,2109,2164,2113,1764,1274,476,17227
POA2525,2425,1646,1259,1625,1687,1343,1197,820,322,12335
POA2526,3142,2119,2119,2081,2110,2159,1575,928,504,16736
POA2527,5487,3217,3956,3320,3151,3015,2259,1144,526,26072
POA2528,4000,2709,2606,2554,2883,3238,2961,2089,694,23735
POA2529,5476,3709,3222,3702,3945,3784,3102,1602,598,29134
POA2530,6931,4335,4334,4552,4329,4060,3453,2260,781,35038
POA2533,2813,1631,1484,1867,2053,2558,2715,1481,572,17177
POA2534,963,597,505,601,695,851,853,494,205,5767
POA2535,1112,554,566,732,807,1301,1558,981,394,7993
POA2536,2820,1631,1601,1727,2326,3107,3493,1946,675,19333
POA2537,1740,1042,992,1135,1553,2400,2471,1214,449,12981
POA2538,392,208,160,251,282,441,492,212,144,2580
POA2539,3006,1574,1679,2002,2250,3363,3779,2029,631,20305
POA2540,7324,4704,4762,4859,5728,7277,7767,4476,1377,48267
POA2541,5355,3088,3776,3196,3078,3362,3215,2027,932,28038
POA2545,128,102,79,103,143,223,249,90,12,1117
POA2546,1270,639,708,809,1028,1801,2310,1061,447,10066
POA2548,1046,660,732,715,980,1376,1612,957,337,8419
POA2549,672,341,330,385,528,688,702,327,133,4101
POA2550,2795,1585,1505,1716,2133,3129,2528,1165,390,16936
POA2551,588,304,288,314,443,599,700,343,140,3718
POA2555,30,14,17,26,20,15,29,14,6,168
POA2556,396,384,258,252,329,355,308,120,42,2433
POA2557,5328,2188,4244,3437,2009,1470,933,385,105,20103
POA2558,2285,1465,1551,1599,1383,1506,923,298,76,11099
POA2559,906,426,434,475,282,235,159,54,11,2991
POA2560,17455,10766,11979,11539,9457,9053,7644,3670,973,82543
POA2563,48,47,33,41,32,38,20,17,7,276
POA2564,3229,1827,1811,2087,1730,1592,1182,609,126,14198
POA2565,7434,3543,5177,5634,3354,3146,2095,928,275,31588
POA2566,6298,3471,3711,4208,3335,3340,2401,839,202,27796
POA2567,9680,5964,4848,5995,6291,4283,2579,1069,242,40951
POA2568,174,142,77,105,122,131,162,206,121,1252
POA2569,266,193,122,165,187,196,184,55,18,1386
POA2570,15792,7404,10168,9727,7185,5478,4597,2357,951,63663
POA2571,2983,1611,1613,1801,1871,1652,1101,424,96,13174
POA2572,1064,693,734,592,642,623,590,359,178,5484
POA2573,1339,709,848,691,765,561,499,283,91,5777
POA2574,1185,765,613,717,847,732,631,358,91,5934
POA2575,3390,1888,2115,2115,2358,2285,2087,1229,395,17846
POA2576,2015,1202,757,1192,1726,1860,2473,2105,859,14189
POA2577,2818,1685,1599,1668,2221,2542,2443,1373,369,16724
POA2578,328,210,163,223,299,460,649,374,129,2846
POA2579,873,403,473,514,569,709,661,375,67,4646
POA2580,5578,3422,3969,3643,3976,4313,3796,2100,834,31629
POA2581,528,221,250,319,399,367,255,132,30,2507
POA2582,2693,1508,1305,1719,2127,1792,1498,747,305,13693
POA2583,701,436,382,397,528,865,728,408,166,4604
POA2584,106,43,44,73,68,90,66,39,11,550
POA2585,31,34,27,21,28,28,39,16,5,235
POA2586,500,240,275,259,383,463,429,250,81,2871
POA2587,510,253,273,266,348,444,475,279,72,2932
POA2588,48,30,20,26,35,61,56,27,7,299
POA2590,1168,667,582,638,791,1073,1194,769,275,7153
POA2594,2441,1389,1298,1337,1405,1576,1474,871,357,12150
POA2619,2094,1324,935,1378,1743,1244,590,235,55,9601
POA2620,8629,4842,7737,6682,6195,5504,3701,1715,596,45604
POA2621,1439,701,705,940,1076,909,599,261,57,6688
POA2622,684,276,350,432,617,729,609,364,85,4141
POA2623,123,54,87,78,86,89,65,18,7,611
POA2624,16,25,49,17,27,19,6,0,0,162
POA2625,38,54,96,52,75,56,23,6,5,400
POA2626,90,47,58,55,92,100,44,23,4,515
POA2627,855,797,946,625,783,617,432,164,43,5263
POA2628,385,210,231,235,316,377,272,108,44,2176
POA2629,56,31,33,46,66,114,94,71,18,534
POA2630,1441,850,1015,1016,1194,1316,1052,707,284,8876
POA2631,97,65,64,53,82,112,104,47,10,629
POA2632,329,174,191,200,224,281,290,158,52,1892
POA2633,51,20,26,28,27,67,61,28,18,321
POA2640,7570,4783,5095,4960,4924,4970,4131,2439,1009,39879
POA2641,3049,2065,2245,1948,1825,1944,1959,1123,385,16550
POA2642,1220,623,477,635,740,831,637,247,70,5476
POA2643,494,268,281,315,335,412,528,260,99,2997
POA2644,406,241,235,242,287,394,372,195,64,2442
POA2645,30,31,27,18,38,79,62,35,18,339
