POA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA7174,20,0,5,0,0,0,0,26
POA7175,16,0,0,0,0,0,0,16
POA7176,17,4,0,0,0,0,0,20
POA7177,38,6,0,0,0,0,0,47
POA7178,20,0,0,0,0,0,0,24
POA7179,29,7,0,0,0,0,0,34
POA7180,4,0,0,0,0,0,0,6
POA7182,8,0,0,0,0,0,0,8
POA7183,0,0,0,0,0,0,0,0
POA7184,42,10,6,0,0,0,0,57
POA7185,7,0,0,0,0,0,0,7
POA7186,17,0,0,0,0,0,0,19
POA7187,8,0,0,0,0,0,0,9
POA7190,195,19,8,0,0,0,5,238
POA7209,25,4,5,0,0,0,0,31
POA7210,72,5,0,0,0,0,0,82
POA7211,19,0,4,0,0,0,0,26
POA7212,163,17,6,0,0,0,5,192
POA7213,20,0,0,0,0,0,0,19
POA7214,49,4,4,0,0,0,0,56
POA7215,254,27,11,0,0,0,8,300
POA7216,214,21,8,3,0,0,6,250
POA7248,1165,131,112,20,6,5,14,1446
POA7249,1140,114,94,10,0,0,10,1366
POA7250,4478,433,241,30,7,4,20,5219
POA7252,296,18,11,6,0,0,0,334
POA7253,316,30,45,8,0,0,3,398
POA7254,47,3,4,0,0,0,0,49
POA7255,57,0,5,0,0,0,0,60
POA7256,119,9,6,0,0,0,0,137
POA7257,3,0,0,0,0,0,0,3
POA7258,120,6,4,0,0,0,0,132
POA7259,50,10,3,0,0,0,0,60
POA7260,268,20,19,0,0,0,0,310
POA7261,11,0,0,0,0,0,0,21
POA7262,127,9,11,0,0,0,0,150
POA7263,50,7,3,0,0,0,0,61
POA7264,28,0,4,0,0,0,0,37
POA7265,13,0,0,0,0,0,0,11
POA7267,81,12,0,0,0,0,0,94
POA7268,114,7,4,0,0,0,3,125
POA7270,272,40,25,0,0,0,3,340
POA7275,296,27,15,0,0,0,0,339
POA7276,60,7,3,0,0,0,0,68
POA7277,700,67,37,3,0,0,0,808
POA7290,254,30,18,6,0,0,0,303
POA7291,90,8,5,0,0,0,0,104
POA7292,70,5,3,0,0,0,0,78
POA7300,383,43,29,0,0,0,4,464
POA7301,365,50,31,0,0,0,5,447
POA7302,164,10,9,0,0,0,0,184
POA7303,248,18,13,0,0,0,3,286
POA7304,499,56,23,8,0,0,3,583
POA7305,89,11,12,4,0,0,0,121
POA7306,350,42,15,0,3,0,0,416
POA7307,932,104,78,4,0,4,9,1135
POA7310,2118,327,178,13,9,3,26,2676
POA7315,1226,157,75,8,5,0,18,1483
POA7316,543,71,48,0,0,0,4,668
POA7320,1303,181,120,10,0,0,14,1634
POA7321,470,48,28,8,0,0,7,565
POA7322,289,31,22,0,0,0,6,351
POA7325,725,60,56,13,0,0,8,856
POA7330,531,59,55,0,0,0,6,654
POA7331,39,4,5,0,0,0,0,52
POA7466,0,4,0,0,0,0,0,6
POA7467,108,12,11,0,0,0,0,137
POA7468,48,8,3,0,0,0,0,58
POA7469,51,5,5,0,0,0,0,59
POA7470,34,8,3,0,0,0,0,46
POA0800,329,56,6,0,0,0,4,399
POA0810,3332,493,118,69,11,4,28,4058
POA0812,1741,279,89,45,0,0,14,2174
POA0820,1592,281,50,11,0,0,11,1949
POA0822,2019,191,97,235,31,28,58,2659
POA0828,141,16,7,5,0,0,4,173
POA0829,18,0,0,0,0,0,0,18
POA0830,1540,319,132,35,10,9,14,2052
POA0832,1928,399,160,41,0,5,10,2546
POA0834,188,15,21,7,0,0,0,224
POA0835,323,55,17,6,0,0,0,401
POA0836,768,156,46,8,0,5,7,986
POA0837,32,5,0,0,0,0,0,42
POA0838,71,16,4,6,0,0,6,105
POA0839,23,7,3,0,0,0,0,32
POA0840,9,0,4,0,0,0,0,13
POA0841,33,8,8,0,0,0,0,57
POA0845,9,5,0,0,0,0,0,17
POA0846,8,6,0,0,0,0,0,17
POA0847,15,3,0,5,0,0,4,22
POA0850,500,104,45,24,7,6,21,711
POA0852,598,45,32,76,17,17,16,801
POA0853,89,18,3,0,0,0,0,107
POA0854,38,3,4,16,3,0,3,69
POA0860,178,27,14,12,8,4,3,251
POA0862,30,4,3,3,0,0,5,46
POA0870,1679,269,93,47,10,7,26,2129
POA0872,942,76,46,146,24,17,71,1322
POA0873,180,27,14,4,4,0,3,242
POA0874,55,6,4,0,0,0,0,65
POA0875,199,29,15,5,0,0,5,267
POA0880,438,59,33,15,3,4,6,554
POA0885,84,9,5,0,0,0,0,102
POA0886,52,8,0,0,0,0,0,59
POA2600,799,36,20,5,0,0,0,862
POA2601,92,9,0,0,0,0,0,102
POA2602,3322,183,77,17,0,0,11,3605
POA2603,1059,61,21,3,0,0,5,1146
POA2604,991,78,16,0,0,0,0,1086
POA2605,1536,79,24,7,3,0,0,1653
POA2606,1082,64,14,9,0,0,3,1170
POA2607,1678,99,50,14,0,0,9,1850
POA2609,43,5,0,0,0,0,0,52
POA2611,4352,282,118,35,4,0,7,4792
POA2612,1035,63,20,0,0,0,0,1123
POA2614,2201,141,49,19,0,0,9,2424
POA2615,5448,440,253,52,4,3,28,6224
POA2617,3332,221,85,23,0,0,14,3671
POA2618,173,12,4,0,0,0,0,197
POA2900,235,33,6,0,0,0,5,281
POA2902,1599,162,85,16,4,0,9,1878
POA2903,1052,90,62,9,0,0,10,1216
POA2904,1581,126,60,20,0,0,10,1800
POA2905,3307,275,180,31,5,0,17,3821
POA2906,2149,195,123,29,0,0,8,2508
POA2911,701,31,21,5,0,0,4,760
POA2912,856,67,26,13,0,0,0,961
POA2913,5048,325,171,48,7,0,20,5618
POA2914,5030,301,161,37,3,9,16,5558
POA2899,143,19,10,3,0,0,0,171
POA6798,133,11,4,0,0,0,0,149
POA6799,70,3,0,0,0,0,0,77
POA9494,0,0,0,0,0,0,0,0
POA9797,0,0,0,0,0,0,0,0
