POA_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
POA2000,17,50,25,22,6,0,0,0,115,3,8,3,0,7,0,0,0,24,6,18,19,20,15,26,25,19,138,21,73,46,44,29,26,25,19,271,1781,4709,2564,1140,892,633,271,65,12056,181,484,249,110,95,41,18,7,1187,1982,5258,2856,1297,1009,702,316,88,13516,6,11,0,4,0,0,0,0,24,0,6,0,0,0,0,0,0,9,0,0,3,6,3,4,0,0,18,4,14,14,10,5,4,0,0,51,1860,4937,2353,1002,813,567,275,71,11883,187,471,208,85,46,33,25,12,1068,2055,5424,2570,1100,860,604,309,79,13005,17,59,28,22,9,0,0,0,138,0,9,5,9,7,0,0,0,30,5,15,24,29,17,27,26,19,154,29,86,54,56,30,27,26,19,323,3643,9643,4919,2142,1705,1203,547,136,23936,372,956,452,198,140,79,49,19,2253,4036,10684,5424,2398,1872,1310,625,165,26520
POA2007,4,8,0,0,0,0,0,0,20,0,3,0,0,0,0,0,0,6,0,5,5,0,10,6,3,3,32,4,20,9,0,9,6,3,3,50,665,1241,625,300,169,138,52,14,3204,66,94,56,19,20,10,5,8,269,735,1356,688,322,194,155,59,23,3533,0,9,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,16,721,1201,556,264,165,130,56,28,3121,67,85,35,20,20,11,8,10,262,793,1303,590,288,194,140,64,31,3400,3,21,4,0,0,0,0,0,31,0,5,0,3,0,0,0,0,3,0,3,5,0,10,9,3,3,32,5,30,8,4,9,9,3,3,71,1393,2444,1186,559,340,266,102,37,6327,137,179,93,33,38,23,11,16,533,1528,2654,1281,600,389,292,122,56,6930
POA2008,4,7,0,0,0,0,0,0,15,3,0,4,3,0,0,0,0,11,0,10,10,7,4,11,3,0,41,9,18,8,9,5,11,3,0,70,1289,1790,707,345,250,154,36,14,4593,136,165,71,28,22,17,4,0,433,1435,1967,789,389,282,181,43,12,5097,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,6,1576,1737,539,274,202,103,48,9,4486,136,157,56,23,23,7,6,0,404,1710,1889,595,295,225,115,54,9,4895,11,9,0,0,0,0,0,0,16,3,0,4,3,4,0,0,0,11,0,10,10,7,5,11,3,0,45,14,22,10,9,7,11,3,0,77,2862,3527,1251,621,456,259,87,19,9078,268,319,121,54,40,24,6,4,837,3142,3861,1384,686,504,295,97,25,9989
POA2009,7,12,9,10,4,0,0,0,45,0,4,0,0,0,0,0,0,7,0,3,9,11,15,32,25,5,97,9,17,21,21,22,32,25,5,147,471,1471,1244,671,581,453,192,40,5126,46,139,101,56,48,49,11,5,462,522,1620,1365,751,647,532,235,49,5727,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,5,4,3,0,0,16,6,3,5,3,6,3,0,0,26,454,1446,1236,682,635,513,195,44,5202,29,130,101,53,38,38,16,3,403,478,1574,1343,736,675,552,218,51,5631,9,13,14,10,4,0,0,0,49,0,4,0,0,3,0,0,0,8,0,4,12,19,19,31,27,5,111,10,18,23,29,28,31,27,5,173,918,2916,2481,1348,1212,967,393,82,10325,72,264,202,107,82,86,29,10,863,1003,3197,2708,1489,1325,1087,447,98,11362
POA2010,17,42,10,4,0,0,0,0,75,0,11,7,0,0,0,0,0,20,0,27,24,29,32,39,28,16,205,16,79,40,38,37,39,28,16,297,1026,4218,2944,2026,1563,818,360,96,13054,90,364,245,180,165,107,81,28,1256,1134,4665,3223,2246,1766,968,462,138,14609,6,7,11,0,0,0,0,0,30,0,0,3,0,0,0,0,0,8,0,4,4,5,3,9,0,5,30,11,15,17,4,7,9,0,5,64,1127,3508,1869,1064,878,628,349,141,9563,90,243,130,94,65,51,48,46,775,1226,3768,2019,1172,943,685,402,188,10404,23,54,22,5,0,0,0,0,108,4,9,9,3,0,0,0,0,22,0,32,27,34,37,47,26,21,232,29,95,55,44,42,47,26,21,366,2147,7727,4809,3093,2439,1449,709,240,22617,176,609,379,278,231,154,130,73,2035,2358,8431,5247,3422,2706,1653,863,330,25009
POA2011,79,124,47,39,12,0,0,0,300,0,3,7,3,0,0,0,0,19,0,22,17,20,34,39,34,28,196,84,154,71,59,46,39,34,28,516,393,2302,1760,1221,1039,733,354,91,7897,133,306,172,136,78,57,54,30,964,608,2759,2005,1413,1164,832,445,152,9372,24,53,8,5,4,0,0,0,93,0,0,0,0,0,0,0,0,8,0,4,6,10,0,0,3,0,27,24,56,21,12,8,0,3,0,125,487,2161,1332,946,894,763,359,176,7119,118,228,110,62,65,58,66,91,796,639,2449,1458,1021,963,825,426,271,8044,109,176,58,44,11,0,0,0,394,0,5,11,3,5,0,0,0,28,0,26,22,23,35,41,43,31,220,108,211,91,74,51,41,43,31,639,884,4459,3087,2167,1936,1498,719,269,15017,251,532,283,198,139,113,122,121,1758,1238,5205,3462,2440,2119,1651,872,418,17415
POA2015,20,45,17,8,4,0,0,0,98,0,4,0,0,0,0,0,0,8,3,17,12,14,15,12,4,0,81,26,64,33,24,19,12,4,0,180,403,1694,1194,753,432,216,65,12,4767,27,103,66,29,20,16,4,4,273,452,1862,1291,798,470,239,83,21,5218,13,21,4,0,0,0,0,0,40,0,4,0,0,0,0,0,0,3,0,5,0,0,0,3,0,0,15,13,30,4,3,0,3,0,0,60,464,1654,1116,618,391,243,90,26,4605,32,94,52,28,22,5,10,3,243,510,1774,1168,658,414,254,98,24,4902,37,70,22,8,4,0,0,0,142,0,4,0,0,0,0,0,0,7,3,19,15,16,17,10,4,6,96,39,90,38,29,21,10,4,6,245,867,3347,2311,1370,818,455,158,37,9363,53,199,111,56,40,21,12,3,512,959,3634,2464,1455,884,493,179,44,10120
POA2016,3,6,0,0,0,0,0,0,11,9,0,4,0,4,0,0,0,14,0,20,8,19,20,17,9,4,98,7,28,11,22,26,17,9,4,128,586,1729,1149,923,753,450,224,68,5870,51,153,105,105,66,58,37,17,591,650,1900,1267,1050,843,532,264,92,6594,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,14,0,4,4,0,0,0,0,0,22,633,1562,939,561,501,403,243,102,4939,48,110,80,32,45,42,59,25,443,685,1679,1023,597,547,449,308,124,5404,5,9,0,0,0,0,0,0,20,9,0,4,0,4,0,0,0,14,0,24,11,23,25,19,14,7,114,13,35,17,28,25,19,14,7,145,1218,3285,2085,1483,1252,855,469,168,10811,93,260,185,140,108,111,89,44,1038,1327,3578,2286,1649,1391,978,569,211,11997
POA2017,69,92,23,8,3,0,0,0,196,0,7,4,0,0,0,0,0,16,3,27,43,27,23,28,16,7,175,71,122,76,34,30,28,16,7,384,1789,5214,2776,1190,822,570,270,77,12693,137,393,194,113,108,71,61,20,1096,1990,5731,3039,1338,956,667,344,106,14175,37,28,14,3,0,0,0,0,75,0,0,0,0,0,0,0,0,6,0,8,0,7,4,9,0,0,29,39,42,12,5,4,9,0,0,110,1868,5057,2068,861,760,565,254,97,11536,146,358,141,64,65,50,33,32,887,2051,5456,2223,931,826,628,292,132,12532,102,120,40,12,3,0,0,0,271,0,11,8,3,0,0,0,0,19,3,30,43,27,32,34,19,7,199,102,164,85,42,33,34,19,7,493,3651,10272,4843,2050,1576,1136,524,174,24227,290,747,334,178,169,125,93,50,1983,4046,11184,5261,2272,1779,1293,634,233,26706
POA2018,25,32,14,4,0,0,0,0,73,0,11,6,0,0,0,0,0,15,0,21,10,19,10,13,14,11,98,27,66,31,19,13,13,14,11,191,1129,2251,1528,1080,777,590,392,119,7878,81,168,90,60,48,27,23,13,524,1243,2486,1649,1170,838,632,432,140,8591,16,9,3,0,0,0,0,0,33,0,4,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,17,15,14,10,3,6,3,0,0,54,1111,2273,1521,1023,844,692,495,180,8142,75,132,85,41,43,34,35,16,454,1204,2422,1620,1068,887,731,525,194,8653,36,43,19,5,3,0,0,0,105,0,12,6,0,0,0,0,0,17,3,23,14,21,15,18,14,12,117,44,75,38,31,22,18,14,12,241,2246,4527,3054,2107,1618,1284,890,295,16018,154,303,178,103,89,60,58,30,979,2448,4905,3264,2238,1724,1359,959,339,17240
