POA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
POA2000,238,298,307,1137,9,1989,17,9,3,56,6,91,8360,34,130,36,35,8595,49,10,4,12,0,75,80,18,11,26,0,135,1891,269,221,1393,19,3793,411,4,19,5,6,445,207,13,13,19,4,256,261,34,21,153,0,469,112,33,12,48,0,205,50,3,0,4,0,57,881,5,6,6,5,903,371,65,73,650,5,1164,454,54,22,122,6,658,832,0,6,4,4,846,103,18,9,31,0,161,23,0,0,0,0,23,22,10,9,13,0,54,32,5,0,0,0,37,67,9,4,0,0,80,110,5,13,15,0,143,193,3,12,13,0,221,23,0,0,0,0,23,246,73,58,448,3,828,41,0,0,0,0,41,43,3,3,0,0,49,245,6,3,8,0,262,49,0,0,4,0,53,554,5,28,3,0,590,29,0,3,28,0,60,8561,110,134,98,40,8943,343,3,6,15,2073,2440,21551,652,651,2879,2203,27936
POA2007,60,101,127,384,5,677,3,6,0,63,0,72,2243,16,38,21,14,2332,14,3,0,0,0,17,23,8,3,15,0,49,416,88,87,394,15,1000,140,3,15,0,0,158,56,0,0,4,0,60,79,12,6,48,5,150,10,9,0,8,0,27,17,0,0,0,0,17,331,0,0,0,3,334,90,25,22,197,0,334,130,12,7,41,0,190,137,0,0,0,0,137,12,0,0,3,0,15,6,0,0,0,0,6,10,3,0,8,0,21,11,4,0,0,0,15,19,7,5,3,0,34,45,0,3,9,0,57,48,5,0,0,0,53,5,0,0,0,0,5,74,31,14,128,0,247,21,0,5,0,0,26,16,0,5,0,0,21,85,0,0,5,0,90,19,0,0,0,0,19,151,8,7,3,0,169,7,0,3,5,0,15,1862,55,77,37,13,2044,76,0,0,7,521,604,5470,231,253,884,566,7404
POA2008,73,252,245,917,3,1490,5,0,0,81,6,92,3113,21,49,29,16,3228,20,4,3,12,0,39,54,13,9,24,0,100,662,213,181,871,5,1932,158,0,20,0,0,178,79,10,7,15,0,111,95,28,24,109,0,256,39,17,15,45,0,116,13,4,0,9,0,26,306,3,0,4,0,313,183,69,58,490,4,804,141,44,19,112,0,316,190,0,5,5,0,200,25,8,8,20,0,61,3,3,0,4,0,10,11,6,6,12,0,35,27,0,3,3,0,33,56,8,11,4,0,79,39,12,3,21,0,75,64,0,3,7,0,74,10,0,0,0,0,10,152,48,61,320,3,584,13,0,0,0,0,13,24,3,0,0,0,27,100,3,4,9,0,116,34,0,3,0,0,37,189,4,4,3,0,200,23,5,6,27,0,61,1739,108,96,91,7,2041,61,0,3,9,775,848,6573,512,474,2029,822,10410
POA2009,142,293,251,1059,12,1757,11,10,4,116,0,141,2085,35,80,38,6,2244,47,9,4,9,0,69,74,15,8,22,0,119,960,241,181,1193,7,2582,237,7,14,4,0,262,129,8,5,10,0,152,183,22,27,105,0,337,89,27,15,42,0,173,24,5,0,5,0,34,581,9,13,4,0,607,317,78,58,568,4,1025,410,77,37,97,0,621,238,10,8,5,0,261,70,22,6,21,0,119,34,3,0,7,0,44,25,12,6,12,0,55,33,3,0,0,0,36,60,3,3,3,0,69,108,10,15,25,0,158,142,4,10,4,0,160,24,0,0,0,0,24,265,60,41,396,3,765,75,6,7,4,0,92,45,3,8,0,0,56,185,4,3,3,0,195,30,0,0,0,0,30,226,6,19,6,6,263,43,3,7,15,0,68,2455,113,124,126,15,2833,112,4,4,12,901,1033,7947,638,541,2574,953,12653
POA2010,237,836,671,3307,58,5109,14,10,5,199,12,240,1867,73,87,80,11,2118,109,13,12,35,0,169,236,62,41,70,0,409,2911,815,632,3837,55,8250,354,5,40,0,5,404,425,37,19,63,5,549,469,87,73,428,12,1069,247,82,27,170,0,526,77,29,15,33,0,154,444,17,17,12,4,494,971,262,211,1970,18,3432,641,164,74,373,6,1258,201,5,6,0,0,212,122,23,17,71,0,233,43,4,0,10,0,57,69,20,11,54,0,154,101,18,9,9,0,137,188,26,31,13,4,262,264,34,21,70,0,389,209,16,18,47,4,294,18,3,0,0,0,21,742,223,168,1364,4,2501,67,4,4,16,0,91,138,19,5,3,0,165,357,10,3,14,0,384,70,11,3,0,0,84,287,9,14,3,4,317,121,19,12,77,0,229,4118,282,292,335,41,5068,144,9,5,38,1903,2099,13019,1819,1414,8087,2105,26444
POA2011,145,616,428,2284,28,3501,4,19,10,185,0,218,742,32,33,42,3,852,72,13,7,32,0,124,125,35,23,53,0,236,1868,587,458,3083,45,6041,192,10,27,0,0,229,303,28,16,64,6,417,379,67,44,368,3,861,159,53,21,111,0,344,80,19,5,20,0,124,283,17,12,3,0,315,638,196,137,1685,17,2673,491,104,37,270,5,907,89,0,8,3,0,100,78,22,10,47,0,157,36,9,3,3,0,51,37,14,12,38,0,101,85,13,3,0,0,101,133,16,18,15,0,182,181,35,18,58,0,292,127,17,11,32,4,191,12,0,0,3,0,15,588,171,140,1141,3,2043,63,7,5,8,0,83,70,17,0,6,0,93,232,15,5,16,0,268,29,6,3,0,0,38,126,5,3,0,5,139,64,20,10,57,0,151,2432,245,188,266,23,3154,72,3,5,34,1677,1791,7767,1354,970,6311,1782,18184
POA2015,112,528,373,1737,11,2761,0,23,5,194,6,228,989,47,76,72,6,1190,38,6,5,33,3,85,66,31,14,65,0,176,1073,426,285,1703,16,3503,168,13,23,8,0,212,119,12,13,18,0,162,151,43,26,174,3,397,86,27,9,72,0,194,33,12,4,26,0,75,203,11,4,8,0,226,432,132,84,840,11,1499,223,66,31,189,0,509,79,0,4,0,0,83,58,11,9,35,0,113,37,3,5,3,0,48,21,12,16,36,0,85,48,6,6,7,0,67,74,30,22,5,0,131,79,18,7,42,0,146,69,5,7,15,0,96,14,3,0,0,0,17,306,111,92,602,7,1118,43,3,3,3,0,52,62,12,5,3,0,82,106,8,4,20,0,138,34,3,8,0,0,45,168,5,9,14,0,196,42,11,3,36,0,92,1554,181,139,179,13,2066,73,0,8,28,531,640,5216,1002,723,3887,597,11425
POA2016,127,443,367,1691,21,2649,5,25,20,348,11,409,1044,28,52,34,12,1170,54,11,7,19,0,91,93,35,17,41,0,186,1142,484,311,1742,44,3723,150,10,19,0,3,182,168,19,15,37,0,239,218,39,41,207,3,508,206,33,25,83,5,352,46,13,8,7,0,74,270,13,8,9,0,300,400,151,99,874,6,1530,248,69,26,143,6,492,118,0,3,0,0,121,132,13,9,42,0,196,20,3,3,4,0,30,24,9,5,22,0,60,67,14,4,5,0,90,88,20,6,5,0,119,92,15,11,24,0,142,116,10,8,14,0,148,11,0,3,0,0,14,332,104,74,621,7,1138,83,7,7,5,0,102,63,10,3,0,0,76,178,5,8,5,0,196,30,3,4,0,0,37,126,6,7,3,0,142,41,11,7,31,0,90,1898,168,123,191,18,2398,81,7,8,14,1016,1126,6196,999,719,4034,1128,13076
POA2017,269,577,486,2191,30,3553,17,41,4,481,9,552,7009,55,111,69,34,7278,81,20,9,21,0,131,147,28,16,61,0,252,2649,478,398,2233,48,5806,414,14,58,8,5,499,246,17,14,39,0,316,381,48,45,263,9,746,182,64,23,102,3,374,61,6,4,15,0,86,713,10,15,10,0,748,1460,140,101,992,15,2708,689,99,64,227,3,1082,424,0,13,11,3,451,130,23,13,45,4,215,43,7,7,6,0,63,37,22,12,38,0,109,112,11,3,3,0,129,148,20,9,6,0,183,226,22,15,52,3,318,428,14,12,22,9,485,42,7,0,0,0,49,567,124,81,692,14,1478,105,0,0,10,0,115,127,8,8,0,0,143,364,9,8,12,0,393,54,3,11,0,0,68,417,6,12,11,6,452,94,12,4,39,0,149,4982,250,211,276,37,5756,246,5,5,54,1926,2236,19468,1216,996,5202,2111,28993
POA2018,319,433,397,1546,20,2715,8,14,9,191,0,222,3135,42,79,43,8,3307,106,17,9,13,0,145,43,21,18,21,0,103,1187,293,265,1380,25,3150,484,10,48,0,6,548,89,6,15,12,0,122,158,35,21,134,3,351,1055,150,69,396,9,1679,58,12,17,7,0,94,462,18,6,0,0,486,804,112,73,634,15,1638,564,92,52,247,6,961,156,6,12,3,0,177,157,25,26,34,0,242,50,10,10,14,0,84,91,35,13,48,0,187,81,19,5,18,0,123,88,12,18,7,0,125,129,20,15,20,0,184,284,13,3,16,0,316,33,0,0,0,0,33,287,80,69,377,0,813,109,5,3,13,0,130,62,9,10,0,0,81,264,11,4,13,0,292,49,0,0,5,0,54,164,8,17,0,0,189,45,3,4,30,0,82,4547,261,200,221,31,5260,180,4,11,28,1026,1249,13176,1043,865,3645,1144,19873
