POA_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA2000,5,3,4,3,3,4,4,0,24,0,0,0,0,0,0,0,0,0,4,18,72,85,35,3,6,4,228,4,23,72,85,35,3,6,4,233,0,41,13,6,0,0,0,0,69,0,0,3,0,0,0,0,0,6,13,121,347,141,3,0,0,8,634,511,3601,4889,1147,77,7,3,193,10435,0,0,0,0,0,0,0,0,0,526,3763,5253,1304,84,13,3,199,11146,3,9,0,4,0,0,0,0,17,10,35,21,4,0,0,0,7,71,541,3829,5346,1403,127,17,17,209,11492
POA2007,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,3,30,113,113,49,16,14,11,338,3,30,113,113,52,17,14,11,341,0,0,0,0,0,0,0,0,0,18,82,117,9,0,0,0,5,227,43,370,551,152,18,3,0,143,1274,43,453,384,120,15,0,8,19,1046,0,0,0,0,0,0,0,0,0,98,907,1048,288,35,5,6,161,2556,0,0,0,0,3,0,0,0,11,5,9,5,0,0,0,0,0,18,112,946,1172,402,88,21,19,173,2926
POA2008,0,4,17,7,3,5,0,0,41,0,9,23,15,4,0,0,0,55,5,67,269,317,206,40,18,5,928,5,71,292,336,215,40,18,8,984,7,27,24,0,0,0,0,0,67,36,164,202,51,0,0,0,8,469,117,334,351,57,10,0,5,20,893,342,1134,445,78,0,0,0,22,2023,0,4,0,0,0,0,0,0,3,506,1664,1021,187,18,0,3,48,3455,9,10,5,9,0,0,0,3,45,15,11,3,0,0,0,0,9,36,539,1762,1349,545,235,50,25,65,4564
POA2009,0,0,0,0,0,0,0,0,0,0,7,26,20,5,0,0,0,69,0,29,74,98,28,6,0,0,246,0,38,104,121,33,9,0,0,317,0,5,25,4,0,0,0,0,42,0,30,38,9,0,0,0,0,80,18,512,730,459,21,0,0,20,1759,41,742,1940,578,12,0,5,39,3362,0,0,0,0,0,0,0,0,0,60,1288,2730,1052,31,0,8,60,5233,0,0,0,0,0,0,0,0,4,4,10,10,3,0,0,0,0,25,71,1338,2849,1179,64,13,5,65,5583
POA2010,0,18,36,39,14,6,5,0,131,0,69,169,134,27,10,3,4,415,44,371,897,986,424,116,40,21,2902,46,443,1067,1119,446,127,44,25,3315,73,323,217,52,7,3,3,8,692,137,588,513,59,6,0,4,23,1327,383,1514,1261,191,19,0,6,41,3411,347,2045,1493,190,6,0,0,37,4127,0,0,0,0,0,0,0,0,10,944,4477,3490,492,43,4,14,110,9565,7,27,30,9,0,0,0,0,75,3,36,17,6,0,0,0,13,75,997,5008,4635,1673,507,139,64,144,13158
POA2011,0,4,6,8,6,3,3,0,34,0,3,3,0,0,0,0,0,9,51,256,269,247,78,17,9,9,939,51,258,274,247,78,17,9,13,949,30,97,81,15,4,0,0,0,236,274,589,384,114,16,0,0,9,1384,932,2136,1303,288,11,8,5,51,4734,192,1026,1131,241,15,3,0,23,2630,0,0,0,0,0,0,0,0,0,1432,3848,2896,658,44,8,3,82,8979,10,31,12,9,0,0,0,0,62,13,16,9,0,3,0,0,5,53,1507,4162,3191,921,132,36,19,102,10068
POA2015,3,8,58,137,70,9,0,4,293,0,55,293,140,41,8,0,4,539,15,62,215,500,197,13,4,7,1013,13,112,511,643,233,22,9,13,1555,13,51,66,42,5,4,0,4,179,9,207,369,59,27,0,0,4,683,30,978,1136,220,3,0,0,21,2396,0,39,46,4,0,0,0,0,90,0,0,0,0,0,0,0,0,3,57,1278,1614,325,38,10,0,30,3340,0,7,9,16,3,0,0,0,30,7,13,4,0,4,0,0,0,30,86,1418,2188,1118,345,37,9,51,5248
POA2016,0,8,19,37,9,6,0,0,82,6,24,179,110,17,0,0,4,333,13,42,391,541,265,50,23,19,1349,17,71,571,652,280,51,29,20,1684,32,62,65,31,10,0,4,0,195,49,305,513,91,9,0,0,27,1000,60,611,697,334,8,0,0,26,1737,20,341,621,54,0,0,0,28,1072,0,4,3,3,0,0,0,0,15,168,1322,1898,508,20,0,3,82,4011,0,25,22,16,3,0,3,0,69,6,14,9,0,0,0,0,0,33,188,1441,2518,1217,319,60,35,112,5889
POA2017,0,6,19,16,12,5,0,0,61,0,34,101,67,20,5,0,4,230,7,115,271,324,113,7,7,4,846,7,149,366,393,138,14,7,10,1071,9,58,19,14,3,0,0,10,115,32,198,276,144,10,0,0,22,680,54,1550,2809,484,13,0,0,55,4968,212,2023,4103,681,23,0,3,130,7174,0,0,3,0,0,0,0,0,3,314,3829,7212,1322,45,0,5,204,12933,0,4,0,3,0,0,0,0,17,0,10,14,0,0,0,0,0,26,317,3999,7616,1735,186,17,14,216,14103
POA2018,3,26,225,983,563,161,44,24,2018,0,14,59,94,30,6,0,6,206,0,0,12,82,12,8,0,0,120,0,17,77,177,40,9,0,6,319,4,61,877,161,18,4,0,12,1127,18,58,653,142,3,0,0,26,900,9,959,1700,373,17,0,0,44,3098,0,99,342,108,7,0,0,20,576,0,10,10,6,7,0,0,0,32,38,1185,3579,794,46,4,3,102,5741,0,19,24,13,6,0,0,0,62,0,0,0,5,0,0,0,5,12,37,1243,3899,1967,648,175,54,124,8159
