POA_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
POA2000,..,172,47,219,0,219,..,4415,1306,5726,25,5751,..,14,0,19,0,21,..,186,6,197,0,195,..,62,0,62,3,66,..,96,4,97,0,100,..,63,0,58,0,58,..,44,0,46,0,46,..,356,5,362,3,361,..,76,0,75,0,75,..,35,0,35,0,32,..,20,0,18,0,18,..,55,0,51,0,51,..,58,0,60,0,60,..,692,8,705,3,707,..,171,5,174,0,174,..,276,68,349,0,348,..,21,0,21,0,21,..,515,208,725,3,730,..,17,0,17,0,17,..,58,0,58,0,60,..,97,7,100,0,102,..,37,0,37,0,37,..,211,10,222,0,222,..,140,6,150,0,150,..,8,0,8,0,8,..,18,0,18,0,18,..,111,0,111,0,108,..,2013,287,2302,13,2308,..,130,0,130,0,130,..,341,39,377,0,379,..,2585,325,2909,15,2925,..,519,59,574,0,576,..,50
POA2007,..,46,18,65,0,67,..,1365,484,1848,12,1860,..,0,0,0,0,0,..,54,4,57,0,56,..,30,0,28,0,28,..,12,0,12,0,12,..,35,0,35,0,35,..,13,0,13,0,14,..,138,0,137,0,137,..,21,0,21,0,21,..,13,0,13,0,13,..,14,0,14,0,14,..,23,0,23,0,20,..,39,0,37,0,37,..,287,3,289,6,293,..,70,0,76,0,76,..,80,14,93,0,93,..,17,0,14,0,14,..,84,24,104,0,104,..,4,0,4,0,4,..,23,0,26,0,26,..,31,4,37,0,37,..,20,0,19,0,20,..,58,5,66,0,67,..,40,0,43,0,43,..,4,0,4,0,4,..,20,3,19,0,19,..,37,0,37,4,44,..,191,9,200,0,200,..,29,0,29,0,29,..,47,3,53,0,56,..,309,15,324,5,330,..,232,37,271,0,271,..,30
POA2008,..,65,10,72,0,72,..,2262,261,2520,4,2524,..,8,0,8,0,8,..,82,0,81,0,81,..,52,0,52,0,52,..,29,3,28,0,28,..,44,0,42,0,42,..,14,0,14,0,14,..,111,0,111,0,111,..,21,0,17,0,17,..,16,0,16,0,16,..,22,0,22,0,22,..,17,0,17,0,17,..,19,0,19,0,19,..,257,3,255,0,255,..,65,5,65,3,73,..,77,6,80,0,80,..,11,0,11,0,11,..,122,26,148,0,148,..,0,0,0,0,0,..,14,0,14,0,14,..,45,0,45,0,45,..,15,0,15,0,15,..,53,4,61,0,58,..,41,6,44,0,44,..,4,0,4,0,4,..,8,0,8,0,8,..,36,0,31,0,31,..,345,10,360,0,360,..,37,0,40,0,40,..,60,7,66,0,66,..,476,16,492,0,492,..,169,11,186,0,182,..,23
POA2009,..,45,8,54,0,54,..,1141,321,1466,5,1470,..,14,5,13,0,13,..,119,4,119,0,125,..,51,3,55,0,55,..,78,4,82,3,83,..,20,0,20,0,20,..,29,0,32,0,36,..,190,3,195,5,203,..,19,0,19,0,19,..,32,0,32,0,32,..,15,0,15,0,15,..,33,0,31,0,31,..,34,0,33,0,34,..,367,13,383,9,387,..,157,7,168,0,170,..,133,26,157,5,160,..,5,0,10,0,10,..,147,42,185,3,192,..,27,0,31,0,31,..,77,7,83,0,83,..,61,9,71,0,71,..,35,4,37,0,37,..,189,17,203,0,205,..,124,11,137,0,143,..,7,0,7,0,7,..,47,4,53,0,53,..,60,0,55,0,61,..,189,16,207,3,208,..,63,0,63,0,60,..,44,0,47,0,47,..,351,21,373,3,375,..,380,33,419,0,424,..,39
POA2010,..,48,13,56,0,65,..,910,325,1231,3,1239,..,35,0,39,0,39,..,339,7,348,4,350,..,135,4,137,0,137,..,180,30,211,3,213,..,40,0,43,0,43,..,12,0,12,0,12,..,89,0,89,0,89,..,66,0,67,0,66,..,26,0,26,0,30,..,16,0,16,0,16,..,26,0,26,0,26,..,16,0,16,0,16,..,298,5,301,3,304,..,262,16,275,0,276,..,154,31,187,0,186,..,7,0,7,0,7,..,113,28,138,0,138,..,20,0,20,0,20,..,12,0,12,0,12,..,46,0,47,0,47,..,85,3,88,0,88,..,200,19,217,0,217,..,114,30,141,0,141,..,7,0,7,0,7,..,38,0,38,0,38,..,70,5,74,0,74,..,192,12,208,0,204,..,85,0,85,0,85,..,51,12,62,0,62,..,412,25,436,0,436,..,579,43,623,7,627,..,42
POA2011,..,21,4,24,0,24,..,368,63,425,0,428,..,18,0,18,0,22,..,291,13,299,4,301,..,126,0,129,0,129,..,105,5,108,0,107,..,14,0,13,0,13,..,14,0,14,0,14,..,57,0,57,0,57,..,41,0,40,0,40,..,9,0,9,0,9,..,15,0,15,0,15,..,15,0,18,0,18,..,17,0,17,0,17,..,175,3,180,0,180,..,186,7,189,0,194,..,103,8,112,0,112,..,3,0,3,0,3,..,55,3,59,0,59,..,12,0,13,0,13,..,4,0,4,0,4,..,40,0,43,0,43,..,53,7,58,0,58,..,171,14,190,0,185,..,97,12,113,0,113,..,3,0,3,0,3,..,47,0,47,0,47,..,28,0,28,0,28,..,59,6,65,0,65,..,67,0,65,0,65,..,14,0,18,0,18,..,165,13,176,0,176,..,378,30,409,4,416,..,15
POA2015,..,20,0,23,0,23,..,518,99,616,8,620,..,7,0,7,0,7,..,105,4,108,0,109,..,51,0,56,0,57,..,67,5,70,0,70,..,13,0,13,0,13,..,0,0,0,0,0,..,47,0,47,0,47,..,8,0,8,0,8,..,4,0,4,0,4,..,3,0,7,0,7,..,12,0,12,0,12,..,8,0,8,0,8,..,106,0,102,0,102,..,86,0,86,0,86,..,40,3,44,0,44,..,9,0,9,0,9,..,47,8,49,0,49,..,36,0,38,0,38,..,7,0,7,0,7,..,24,0,24,0,24,..,37,0,37,0,40,..,103,5,106,0,106,..,68,0,73,0,73,..,0,0,0,0,0,..,23,0,23,0,23,..,36,0,36,0,36,..,124,7,125,0,133,..,41,0,41,0,41,..,27,3,35,0,35,..,223,12,236,0,237,..,207,12,214,4,218,..,28
POA2016,..,15,4,23,0,23,..,463,297,759,7,767,..,18,5,21,0,21,..,156,3,164,0,169,..,71,3,74,0,74,..,149,44,193,4,192,..,23,0,23,0,23,..,3,0,0,0,0,..,75,0,75,0,75,..,33,0,33,0,33,..,15,0,15,0,15,..,10,0,10,0,10,..,24,0,24,0,24,..,11,0,11,0,11,..,194,6,197,0,197,..,84,13,90,0,90,..,66,15,77,4,80,..,4,0,6,0,6,..,72,18,96,3,98,..,11,0,11,0,11,..,11,0,11,0,11,..,23,0,24,0,24,..,29,0,29,0,33,..,106,14,126,0,126,..,95,80,174,0,178,..,0,0,0,0,3,..,50,4,50,0,50,..,19,0,20,0,20,..,75,10,87,0,87,..,33,0,37,0,37,..,21,0,24,0,24,..,151,12,164,0,165,..,334,44,375,0,379,..,22
POA2017,..,145,57,199,0,203,..,4884,1054,5942,50,5994,..,26,0,34,0,34,..,196,12,210,7,208,..,136,3,137,0,139,..,125,12,141,0,141,..,68,5,71,0,71,..,14,0,17,0,17,..,224,3,230,0,230,..,25,5,29,0,29,..,42,0,43,0,43,..,20,0,21,0,21,..,43,0,50,0,50,..,38,0,38,0,38,..,479,14,492,0,492,..,302,9,310,5,313,..,117,24,139,4,147,..,15,3,18,0,18,..,264,67,333,3,333,..,32,4,32,0,35,..,25,0,25,0,25,..,180,7,188,0,194,..,97,13,107,0,110,..,470,35,504,0,509,..,380,184,564,6,571,..,9,0,9,0,9,..,78,4,86,0,86,..,79,3,81,0,78,..,411,33,443,9,450,..,85,0,87,0,95,..,66,0,71,0,75,..,646,42,684,10,692,..,780,74,855,11,865,..,45
POA2018,..,57,8,60,0,66,..,1955,386,2347,21,2364,..,51,7,61,0,59,..,85,9,92,0,95,..,39,0,42,0,42,..,974,272,1250,3,1256,..,545,75,618,11,630,..,10,0,10,0,10,..,157,5,163,0,160,..,27,0,26,0,26,..,31,0,33,0,33,..,40,0,40,0,40,..,92,3,96,0,96,..,27,0,27,0,27,..,925,81,1005,12,1015,..,233,25,260,0,261,..,75,5,82,0,86,..,3,0,7,0,7,..,96,32,123,3,131,..,27,0,28,0,28,..,32,0,30,0,30,..,117,9,124,0,122,..,57,3,58,0,58,..,270,38,312,6,317,..,301,85,381,0,381,..,15,0,14,0,14,..,84,15,92,0,96,..,78,0,77,4,83,..,476,79,555,4,556,..,166,9,172,0,172,..,88,5,91,0,93,..,800,93,898,13,907,..,507,70,580,5,582,..,24
POA2019,..,25,4,27,0,27,..,551,117,669,6,673,..,91,8,99,0,99,..,75,4,76,0,76,..,60,0,64,0,64,..,205,47,255,0,257,..,36,5,36,0,36,..,7,0,7,0,4,..,54,0,54,0,56,..,9,5,12,0,12,..,12,0,12,0,12,..,20,0,22,0,22,..,12,0,12,0,12,..,7,0,7,0,7,..,154,10,164,0,166,..,114,11,131,0,131,..,33,4,35,0,35,..,5,3,10,0,10,..,32,7,40,0,39,..,39,10,44,0,44,..,9,0,9,0,9,..,41,0,44,0,42,..,47,4,47,0,48,..,113,8,116,0,117,..,108,13,125,5,125,..,16,0,14,0,14,..,92,18,112,0,112,..,64,0,64,0,64,..,190,21,210,0,212,..,119,8,128,0,131,..,34,5,39,0,39,..,410,33,445,4,447,..,247,26,269,0,271,..,16
POA2020,..,118,18,141,0,140,..,3223,506,3731,30,3753,..,41,0,42,0,42,..,86,0,87,0,92,..,28,0,28,0,28,..,465,126,588,0,592,..,281,11,294,0,297,..,13,0,13,0,13,..,249,8,254,0,257,..,77,3,77,0,77,..,48,0,48,0,48,..,26,0,22,0,22,..,59,4,65,0,69,..,35,0,34,0,34,..,785,30,813,0,820,..,156,15,173,0,173,..,107,19,122,0,122,..,22,0,22,0,22,..,114,27,142,0,142,..,32,7,32,0,39,..,21,0,21,0,21,..,60,7,63,0,63,..,33,0,33,0,33,..,343,50,386,4,395,..,124,17,140,0,140,..,11,0,12,0,12,..,56,0,63,0,63,..,166,0,171,0,171,..,1637,129,1769,14,1786,..,172,0,176,0,178,..,293,29,321,8,330,..,2273,160,2432,24,2461,..,713,94,804,8,812,..,104
POA2021,..,13,0,13,0,13,..,220,22,238,0,246,..,18,0,18,0,18,..,194,3,198,0,200,..,94,8,95,3,101,..,141,17,158,5,157,..,5,0,5,0,5,..,0,0,0,0,0,..,23,0,23,0,23,..,9,0,9,0,9,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,46,0,50,0,50,..,135,0,142,0,145,..,47,3,48,0,48,..,3,0,3,0,3,..,33,4,30,0,30,..,8,0,8,0,8,..,4,0,4,0,4,..,18,3,20,0,20,..,40,0,36,0,36,..,86,6,93,0,94,..,51,5,54,0,57,..,3,0,3,0,3,..,17,0,19,0,19,..,19,0,19,0,19,..,27,0,28,0,28,..,30,0,30,0,30,..,8,0,11,0,11,..,78,3,84,0,84,..,207,8,214,0,219,..,8
POA2022,..,21,3,26,0,26,..,498,103,601,4,607,..,20,0,21,0,21,..,192,9,197,0,198,..,72,0,72,0,72,..,127,19,147,0,146,..,10,0,14,0,14,..,9,0,9,0,9,..,29,0,29,0,29,..,16,0,16,0,16,..,7,0,7,0,7,..,8,0,8,0,8,..,7,0,7,0,7,..,0,0,0,0,0,..,84,0,89,0,86,..,208,14,214,5,221,..,94,12,102,0,102,..,0,0,0,0,0,..,70,13,81,0,81,..,0,0,0,0,0,..,0,0,0,0,0,..,28,0,29,0,29,..,35,0,35,0,35,..,391,21,411,0,411,..,249,44,291,0,293,..,0,0,0,0,0,..,9,0,9,0,9,..,33,0,40,0,40,..,40,4,44,0,44,..,75,0,80,0,80,..,3,0,3,0,3,..,156,9,166,0,167,..,355,23,375,0,378,..,3
POA2023,..,12,0,17,0,17,..,396,78,479,0,481,..,14,0,15,0,15,..,113,4,120,3,119,..,46,3,49,0,49,..,120,5,118,0,118,..,7,5,10,0,10,..,4,0,4,0,4,..,19,0,19,0,19,..,3,0,3,0,3,..,5,0,5,0,5,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,39,5,38,0,38,..,77,0,77,0,76,..,20,4,18,0,18,..,0,0,0,0,0,..,13,0,13,0,13,..,5,0,5,0,5,..,0,0,0,0,0,..,20,0,23,0,23,..,23,0,23,0,23,..,91,3,95,3,99,..,112,12,124,0,124,..,5,0,5,0,5,..,12,0,12,0,12,..,3,0,9,0,9,..,14,0,14,3,15,..,24,0,21,0,21,..,0,0,0,0,0,..,50,4,46,3,49,..,145,8,146,0,148,..,0
POA2024,..,4,0,9,0,9,..,117,25,145,0,142,..,10,3,19,0,19,..,190,4,197,0,197,..,98,0,95,4,98,..,120,23,141,0,141,..,0,0,0,0,0,..,3,0,3,0,3,..,10,0,10,0,10,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,23,0,28,0,28,..,154,14,169,0,169,..,35,0,37,0,37,..,0,0,0,0,0,..,9,0,13,0,13,..,4,0,4,0,4,..,0,0,0,0,0,..,12,0,11,0,11,..,26,3,25,0,32,..,91,5,93,0,93,..,116,15,129,0,131,..,0,0,0,0,0,..,18,0,18,0,18,..,7,0,7,0,7,..,14,0,14,0,14,..,10,0,10,0,10,..,4,0,4,0,4,..,38,0,38,0,38,..,182,9,195,0,202,..,0
