POA_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
POA2000,0,0,7,16,6,0,0,0,0,29,6,21,373,1172,198,204,117,34,9,2135,0,0,0,4,0,0,0,0,0,9,0,0,0,9,0,0,6,0,0,13,5,4,26,100,26,37,22,20,3,245,0,0,0,6,10,0,4,0,0,19,0,0,5,47,5,0,0,3,0,64,0,4,8,20,3,6,4,0,0,46,0,0,0,0,0,4,3,3,0,8,0,5,36,112,37,46,36,12,3,286,4,0,25,233,22,10,11,3,4,316,3,4,437,963,67,26,24,9,0,1532,0,0,6,37,4,4,4,0,0,50,0,0,0,6,0,0,0,0,0,9,0,0,0,28,0,0,0,0,0,36,0,0,5,31,8,0,0,0,0,45,3,0,14,129,44,13,0,5,0,209,0,0,57,317,29,20,5,0,0,421,0,0,0,0,6,5,0,0,0,12,0,0,38,169,21,21,23,11,0,282
POA2007,0,0,0,10,0,0,0,0,0,10,3,7,193,302,68,50,46,31,12,720,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,8,0,0,8,27,8,5,4,0,0,50,0,0,0,3,0,0,0,0,0,3,0,0,4,16,0,0,0,0,0,26,0,0,0,7,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,17,24,8,10,12,0,5,70,0,0,35,71,7,3,0,0,0,125,0,0,51,72,6,4,0,0,0,142,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,3,24,0,0,0,0,0,29,0,3,6,39,18,0,0,0,0,64,0,0,12,53,3,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,19,35,9,6,8,0,0,80
POA2008,0,0,0,9,0,0,0,0,0,14,0,5,531,428,48,29,12,5,0,1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,20,53,12,9,6,5,0,109,0,0,4,0,0,3,0,0,0,4,0,0,0,19,0,0,0,0,0,18,0,0,4,13,6,4,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,69,57,4,0,0,0,0,137,0,0,36,58,0,0,0,0,0,94,0,0,115,113,3,5,3,0,0,245,0,0,5,10,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,5,0,0,8,14,0,0,0,0,0,24,0,0,7,31,3,3,0,0,0,43,0,0,23,63,9,0,0,0,0,92,0,0,0,0,0,0,0,0,3,7,0,0,49,44,6,6,5,3,0,109
POA2009,0,0,0,16,5,5,0,3,0,25,0,11,30,198,65,100,63,18,9,498,0,0,0,3,0,0,4,0,0,9,0,0,0,0,0,4,3,0,0,9,4,0,12,87,33,46,29,19,6,238,0,0,0,12,0,0,0,0,0,22,0,0,6,40,0,0,0,0,0,44,0,0,4,16,0,0,3,0,0,28,0,0,0,0,0,6,0,0,0,4,0,3,5,48,16,15,22,5,0,118,13,9,5,170,3,10,8,0,0,222,0,0,25,85,22,8,10,0,0,145,0,0,0,25,4,4,0,4,0,43,0,0,0,3,0,0,0,0,0,8,0,0,0,27,3,0,4,0,0,29,0,0,4,35,9,6,5,0,0,62,0,0,4,62,22,9,5,3,0,108,0,3,0,77,24,7,5,0,0,114,0,0,0,4,0,3,3,0,0,12,0,0,3,58,17,21,23,6,0,139
POA2010,0,0,0,26,0,5,3,0,0,40,0,3,22,173,40,50,39,39,21,391,0,0,0,3,3,6,0,0,0,19,0,0,0,0,0,0,4,0,0,9,0,7,47,364,63,76,46,24,8,633,0,0,5,9,4,0,8,0,0,27,0,4,4,104,8,0,6,5,0,137,0,0,9,32,9,6,10,8,0,82,0,0,0,8,5,3,3,9,8,38,0,4,11,54,7,8,12,4,4,104,0,0,11,75,3,8,3,0,3,107,0,0,23,92,5,6,7,0,0,138,0,0,0,14,4,7,3,0,0,30,0,0,0,11,0,0,0,0,0,8,0,0,0,74,7,4,0,0,3,87,0,0,9,51,0,0,3,3,0,67,0,0,10,60,15,8,4,0,0,106,0,0,0,64,10,6,8,5,0,93,0,0,0,3,0,0,3,0,0,8,0,0,8,74,18,9,7,4,0,114
POA2011,0,0,0,20,5,0,0,3,0,33,0,7,5,78,13,19,10,9,8,146,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,8,0,0,19,203,51,43,57,25,15,421,0,0,0,3,4,3,0,3,0,23,0,3,5,69,7,6,0,5,0,102,0,0,0,40,10,9,17,5,9,85,0,0,0,6,0,3,0,0,0,13,0,0,0,28,4,4,0,3,4,44,0,0,0,37,5,7,0,6,0,53,0,0,4,19,10,3,5,0,0,43,0,0,0,20,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6,5,5,6,0,60,0,0,0,32,3,3,4,4,0,60,0,0,4,47,18,3,8,5,0,74,0,0,0,27,7,3,0,0,0,40,0,0,0,5,0,4,0,0,0,4,0,0,0,25,0,15,6,3,6,60
POA2015,0,0,0,5,0,3,0,0,0,12,0,0,7,115,15,17,13,10,3,183,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,134,33,24,11,8,0,216,0,0,0,8,3,3,0,0,0,14,0,0,3,29,0,0,0,0,0,37,0,0,0,12,5,3,0,0,0,17,0,0,0,4,0,0,0,4,0,8,0,0,7,34,9,11,0,0,0,56,0,0,0,39,0,4,0,0,0,46,0,0,8,45,19,5,5,0,0,81,0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,3,32,7,4,0,0,0,52,0,0,0,23,0,5,0,0,0,31,0,0,0,23,0,10,3,0,0,35,0,0,0,32,11,0,0,0,0,39,0,0,0,0,0,3,0,0,0,7,0,0,0,35,9,3,0,0,0,50
POA2016,0,0,0,12,0,0,0,0,0,21,0,0,40,84,27,60,57,52,17,340,0,0,0,3,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,4,3,4,19,134,28,26,18,8,0,238,0,0,0,3,4,0,8,3,0,15,0,0,0,40,6,6,5,5,3,53,0,0,3,22,8,5,4,0,0,35,0,0,0,3,0,6,13,15,8,47,0,0,8,15,9,7,7,0,3,46,0,0,4,51,0,0,3,0,0,64,0,0,3,24,7,3,5,0,0,45,0,0,0,7,0,4,0,0,0,10,0,0,0,4,0,0,0,0,0,4,0,0,0,38,4,0,0,0,0,41,0,0,0,13,0,0,6,0,6,20,0,0,7,35,5,3,0,0,0,58,0,0,4,40,3,3,3,5,5,73,0,0,0,4,0,0,14,10,5,33,0,0,0,26,3,4,7,5,0,48
POA2017,0,0,0,27,0,4,0,0,0,39,4,15,707,1276,119,159,95,41,22,2434,0,0,0,10,0,5,4,4,0,13,0,0,0,7,0,3,4,5,0,18,3,8,55,492,31,41,20,11,0,656,0,0,0,11,3,5,10,0,0,40,4,0,4,54,4,4,0,0,0,68,0,0,7,35,4,3,8,0,0,62,0,0,4,4,0,0,8,3,0,23,5,4,45,104,22,14,20,0,3,215,0,3,39,156,7,4,8,0,0,219,0,4,64,166,26,16,13,0,0,297,0,0,5,82,0,0,8,0,0,104,0,0,0,8,0,0,0,0,0,8,0,0,27,341,8,0,4,0,0,377,0,0,13,67,4,4,9,3,0,95,5,0,6,49,14,7,5,0,0,86,0,0,18,133,31,7,7,6,3,211,0,0,0,3,0,0,3,5,0,20,0,0,14,109,8,12,15,6,3,162
POA2018,0,0,0,10,3,3,20,12,0,53,0,13,211,458,65,90,51,13,9,908,0,0,0,6,0,0,5,3,5,22,0,0,0,0,5,6,21,24,8,65,0,5,25,142,28,14,13,4,8,229,0,0,0,11,10,9,7,3,0,35,0,0,0,21,4,0,0,0,0,23,0,0,0,19,4,5,0,3,0,36,0,0,0,3,3,29,73,136,51,301,0,3,11,41,8,14,17,0,6,99,6,8,20,92,6,12,6,6,4,148,5,6,31,140,57,44,29,14,0,328,0,0,0,44,3,0,0,0,0,54,0,3,0,30,12,15,12,0,0,66,0,0,3,147,3,11,0,0,0,171,0,0,0,27,5,10,10,29,16,97,0,0,4,24,9,6,0,0,0,43,0,0,0,39,18,10,7,7,0,78,0,0,0,8,5,17,11,0,3,47,0,0,6,47,11,13,12,0,0,91
