POA_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
POA2000,1362,3850,10390,5222,2278,1754,1189,572,155,26784,0,8,17,10,3,4,3,0,0,51,221,249,701,598,400,318,126,31,9,2659,65,69,151,91,80,49,21,4,0,526,26,24,81,66,61,46,21,3,0,328,0,16,27,12,9,4,4,0,0,80,7,10,29,20,19,16,3,4,0,102,4,0,10,9,5,0,3,5,0,43,0,0,0,3,4,3,0,0,0,14,8,5,38,32,26,9,3,0,0,121,0,0,0,0,0,0,0,0,0,0,341,365,1043,831,594,445,191,45,11,3871,341,379,1058,840,603,452,192,45,11,3931,1702,4232,11451,6069,2884,2208,1386,620,166,30712
POA2007,470,1436,2570,1251,586,375,282,117,56,7142,0,3,0,0,0,0,0,0,0,8,9,33,29,19,20,7,0,0,0,126,0,3,4,0,0,0,0,0,0,14,0,5,0,3,3,5,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,57,37,31,22,11,4,0,0,166,9,60,41,30,22,11,4,0,0,177,470,1488,2610,1285,611,388,290,115,54,7317
POA2008,392,2961,3708,1315,657,472,277,92,25,9896,0,3,4,0,0,0,0,0,0,9,9,76,90,28,16,14,7,0,0,239,0,4,0,0,0,0,0,0,0,10,5,3,3,0,4,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,9,92,95,36,24,14,10,0,0,282,14,92,96,38,24,14,10,0,0,289,403,3048,3802,1354,675,487,289,93,25,10189
POA2009,1268,945,3096,2615,1429,1275,1006,424,98,12157,0,4,4,4,4,5,0,0,0,20,14,24,55,32,18,34,17,5,8,199,0,0,6,3,4,0,0,0,0,16,0,0,0,4,6,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,28,58,40,26,39,23,9,8,246,12,28,65,37,31,44,23,10,8,257,1280,975,3158,2659,1459,1317,1029,435,99,12420
POA2010,1361,2144,7968,5012,3238,2525,1550,830,313,24943,0,0,5,8,4,5,7,9,0,31,25,119,256,160,193,170,139,109,68,1246,0,0,20,14,9,3,8,0,0,59,0,15,29,15,14,0,0,0,0,78,0,0,3,0,4,0,0,0,0,17,0,0,3,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,6,5,0,0,0,6,0,21,0,4,11,0,3,3,8,0,0,33,0,0,0,0,0,0,0,0,0,0,25,141,329,200,229,192,158,115,67,1455,25,141,336,202,234,196,163,120,72,1496,1393,2284,8301,5215,3470,2726,1712,950,383,26434
POA2011,730,1090,4883,3280,2287,1980,1538,816,407,17018,3,6,0,6,0,6,3,0,0,29,18,609,931,401,288,123,70,30,14,2482,0,12,24,24,10,12,0,0,0,86,0,277,209,55,45,17,3,0,0,603,0,8,22,3,4,0,4,0,0,45,0,123,87,54,38,11,5,0,0,313,0,11,0,7,5,0,0,0,0,27,0,5,10,0,5,0,0,0,0,13,0,7,12,27,10,13,0,0,0,71,0,0,0,0,0,0,0,0,0,0,18,1054,1289,582,397,172,84,34,14,3646,21,1053,1295,588,403,181,89,31,11,3674,749,2148,6177,3873,2688,2158,1627,850,418,20690
POA2015,1264,904,3468,2391,1400,852,479,170,41,10983,0,0,0,0,0,0,0,0,0,6,13,29,74,29,13,20,8,0,3,190,0,0,0,0,0,0,0,0,0,3,0,0,7,0,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,13,32,85,27,25,23,14,3,4,224,13,32,83,27,27,23,11,3,4,228,1283,942,3554,2419,1425,872,488,175,45,11209
POA2016,1038,1223,3427,2204,1569,1322,919,546,199,12453,0,0,0,0,3,4,0,5,0,16,12,53,96,42,43,33,26,6,4,311,0,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,53,104,44,46,35,28,13,4,334,12,57,105,45,51,40,28,12,7,348,1050,1278,3528,2249,1621,1357,943,561,207,12801
POA2017,2257,3851,10865,5106,2180,1710,1249,607,216,28029,0,0,3,0,3,9,4,3,0,30,157,169,219,135,82,68,43,23,0,886,9,8,11,11,3,7,3,0,0,49,4,5,6,12,9,5,3,3,0,48,0,0,4,3,3,0,0,0,0,20,0,0,3,0,0,4,0,0,0,13,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,169,185,254,160,101,81,58,20,0,1033,166,187,256,167,109,90,56,29,3,1059,2421,4029,11122,5269,2283,1798,1309,627,223,29091
POA2018,2601,2355,4794,3197,2188,1687,1336,931,321,19406,0,3,0,6,4,8,0,4,0,25,33,47,64,31,28,22,13,7,0,254,0,7,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,30,56,76,37,34,23,17,7,0,283,30,54,79,41,36,31,17,14,0,311,2637,2411,4872,3238,2223,1714,1351,946,318,19712
