POA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA2000,3,29,1557,3,3,1598,5,45,1233,0,4,1286,7,124,6920,8,37,7093,0,11,14,0,0,24,0,3,24,0,0,28,3,12,816,3,10,852,5,5,127,0,7,142,0,0,37,0,0,39,16,156,7936,10,58,8175,0,0,231,3,3,237,0,0,187,0,8,195,24,233,11146,17,71,11492
POA2007,0,85,272,0,0,364,5,36,320,0,0,358,0,104,1280,9,9,1399,0,49,41,0,0,96,0,3,92,0,0,95,0,38,282,0,4,325,0,5,62,0,0,71,0,0,4,0,0,4,0,200,1768,12,17,1994,0,8,34,0,0,38,0,11,158,0,0,177,5,341,2556,11,18,2926
POA2008,4,200,269,0,0,474,12,211,413,0,0,644,16,378,2268,11,24,2686,0,24,69,0,0,96,0,10,64,13,0,95,4,119,240,6,5,379,0,11,36,0,6,58,0,0,5,0,0,14,22,553,2695,33,29,3330,0,10,44,0,0,57,0,10,33,3,8,56,41,984,3455,45,36,4564
POA2009,0,58,934,0,0,989,0,70,935,0,0,1004,0,110,2479,3,16,2605,0,39,166,0,0,203,0,0,233,0,0,238,0,31,312,0,0,347,0,0,40,0,0,43,0,0,12,0,0,16,0,181,3244,4,18,3443,0,4,68,0,0,80,0,0,59,0,0,60,0,317,5233,4,25,5583
POA2010,30,706,1227,3,4,1978,39,795,1619,5,8,2473,46,1278,5008,50,44,6428,0,101,647,0,0,750,0,11,77,0,0,84,10,324,708,8,13,1052,0,26,53,4,0,85,0,4,13,0,0,18,53,1741,6506,64,55,8417,3,34,108,0,3,146,0,33,104,0,5,145,131,3315,9565,75,75,13158
POA2011,18,111,1663,10,7,1810,10,143,1421,5,8,1581,4,344,4729,32,20,5130,0,234,175,0,0,412,0,10,44,0,0,54,4,64,691,13,9,785,0,6,44,0,3,49,0,6,16,0,0,24,12,668,5702,45,32,6457,0,8,119,3,0,138,0,13,77,0,5,90,34,949,8979,62,53,10068
POA2015,56,347,233,7,0,646,119,555,1068,15,6,1755,83,444,1608,6,15,2159,5,60,46,0,0,113,0,12,115,0,0,128,20,96,174,3,4,302,4,10,50,0,4,70,0,0,4,0,0,10,112,627,1995,15,24,2775,0,16,16,0,0,33,5,7,29,0,0,41,293,1555,3340,30,30,5248
POA2016,23,434,402,10,0,865,25,493,675,7,0,1201,21,516,1566,36,7,2151,0,47,918,0,0,964,0,10,96,0,6,113,11,128,218,16,8,375,0,6,19,0,0,24,0,0,16,0,0,16,32,704,2821,57,30,3645,0,25,42,0,0,72,0,29,77,0,0,112,82,1684,4011,69,33,5889
POA2017,12,137,795,0,0,946,12,246,2371,0,0,2630,21,337,6881,9,18,7264,0,258,1400,0,0,1662,0,11,199,0,0,211,0,50,656,6,0,719,0,5,216,0,0,227,0,5,34,0,0,36,28,667,9392,15,23,10116,0,19,175,0,0,196,0,14,192,0,0,212,61,1071,12933,17,26,14103
POA2018,1018,53,673,3,0,1752,606,112,1316,0,5,2033,261,79,2766,49,0,3161,12,49,396,0,0,464,9,7,33,0,0,46,49,12,294,5,0,370,3,0,61,0,0,70,0,0,12,0,0,12,344,148,3573,55,4,4121,31,4,89,0,0,120,28,3,94,0,5,129,2018,319,5741,62,12,8159
