POA_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
POA2000,106,17,49,12,179,18,4,4,0,26,21,3,19,4,40,15,3,9,0,29,34,9,14,3,62,36,6,14,9,67,83,26,23,11,135,146,31,32,19,226,210,60,33,28,338,278,69,34,35,423,229,58,38,24,346,249,52,23,31,349,526,112,56,39,721,339,61,26,8,435,288,74,16,12,395,191,54,6,9,261,1052,340,64,20,1472,159,74,15,10,261,43,8,3,4,58,4014,1059,474,297,5832
POA2007,18,10,8,3,40,4,0,0,3,10,0,0,6,0,6,0,0,3,0,9,7,0,4,3,17,10,8,13,5,34,28,3,6,0,42,28,4,15,5,55,47,21,14,7,91,69,18,16,9,114,56,10,12,8,81,56,19,9,0,83,115,37,9,10,165,79,33,4,12,127,66,35,3,0,103,40,14,5,0,62,155,81,3,3,247,23,15,16,0,55,6,0,4,0,7,808,313,149,81,1349
POA2008,63,3,12,11,86,13,0,3,0,15,12,0,0,0,18,7,0,7,0,17,11,0,5,0,18,19,7,7,0,36,27,4,3,5,45,32,0,9,14,60,57,8,10,13,87,78,15,6,12,109,61,5,3,9,80,65,10,16,8,91,165,31,18,8,227,145,18,6,10,177,92,25,8,4,132,91,19,3,7,110,284,121,14,4,418,48,20,9,0,82,10,0,0,0,6,1273,289,139,109,1813
POA2009,34,9,22,4,62,0,0,0,0,4,4,0,3,0,4,6,5,3,0,10,12,4,9,0,29,8,7,28,4,44,41,10,22,0,77,49,5,30,0,86,59,29,37,5,129,103,36,31,8,178,69,35,34,6,147,76,32,14,4,129,257,67,39,16,381,184,45,14,9,254,161,81,10,7,262,120,71,5,10,207,631,416,46,7,1105,61,30,21,6,112,10,10,6,6,23,1876,894,394,79,3241
POA2010,32,0,3,0,38,6,0,6,0,18,7,0,6,3,14,4,0,8,0,10,18,0,9,3,32,23,3,21,7,43,73,12,25,0,113,68,11,23,5,104,75,23,29,16,136,127,25,22,13,191,88,19,25,12,146,136,24,26,9,198,381,62,43,17,499,355,41,18,15,431,336,72,23,6,430,272,41,3,0,320,1690,551,83,16,2346,119,37,33,3,195,33,9,9,4,48,3835,935,412,131,5307
POA2011,16,7,16,0,33,7,0,3,0,6,7,0,9,0,12,4,0,10,0,9,15,0,14,0,32,9,0,12,0,25,47,5,14,0,67,42,8,28,9,82,68,8,32,0,108,77,11,22,0,118,64,5,16,0,95,78,11,15,4,108,236,40,30,5,311,245,28,15,8,297,220,29,5,7,266,178,19,4,0,205,1091,278,42,12,1422,106,28,22,0,158,20,6,6,0,30,2533,485,314,51,3385
POA2015,3,0,6,3,14,4,0,4,0,4,4,0,0,0,4,0,0,5,0,7,10,0,10,0,23,10,0,10,0,19,20,4,17,3,44,21,9,24,0,52,26,8,18,3,58,48,21,21,5,92,44,17,18,3,83,63,31,19,0,110,192,67,50,7,321,209,46,11,14,279,185,92,11,4,287,169,59,5,3,237,657,478,36,11,1182,59,33,13,0,106,14,6,0,0,20,1743,869,280,55,2952
POA2016,17,4,6,0,27,5,0,0,0,11,3,0,3,0,6,10,0,8,0,17,30,3,19,0,54,9,8,12,5,36,79,9,12,5,101,37,7,28,7,79,43,18,17,0,80,58,15,22,10,106,39,13,19,5,76,63,22,16,3,95,147,44,26,10,226,156,40,8,8,213,167,63,13,8,248,126,42,3,10,180,585,357,20,6,971,53,26,28,3,106,9,0,9,0,14,1637,676,270,85,2665
POA2017,132,7,33,11,187,20,3,5,3,35,24,3,15,3,46,17,6,24,0,52,50,11,46,9,115,45,11,40,5,101,141,27,72,14,253,96,31,66,19,209,117,60,43,16,236,178,85,53,18,325,159,68,46,9,282,195,74,40,18,332,653,145,88,35,924,561,113,10,22,712,509,134,22,16,690,406,106,7,10,527,1136,497,34,20,1686,161,47,37,0,250,29,9,14,10,63,4637,1450,703,235,7023
POA2018,72,15,19,3,116,25,0,4,0,30,17,4,9,0,32,12,3,12,0,28,47,11,25,0,92,37,22,27,5,91,209,34,43,0,286,101,57,64,15,235,95,84,62,5,246,129,116,57,12,312,77,93,54,12,229,108,99,55,6,266,294,270,96,21,686,266,223,42,8,552,204,210,31,11,458,180,146,11,9,344,420,587,44,15,1060,63,93,32,3,195,31,14,5,0,59,2389,2084,710,148,5324
