POA_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
POA2000,0,4,11,53,12,9,14,4,0,93,0,0,0,7,0,5,5,6,0,25,4,13,70,232,63,79,72,13,3,548,4,13,81,619,45,29,17,13,4,819,0,13,868,1996,115,39,44,21,0,3098,0,0,4,92,9,8,4,0,0,126,0,0,0,12,3,4,0,0,0,19,0,0,3,69,9,16,8,0,0,103,0,0,18,130,13,12,13,5,0,189,3,8,22,223,90,28,4,5,0,390,0,0,87,589,54,22,10,0,0,770,0,0,4,19,13,14,9,4,0,57,0,0,98,394,58,36,37,11,0,650,0,0,0,0,0,0,0,6,0,4,0,0,3,6,4,9,5,0,0,24,0,0,17,25,6,6,0,0,0,53,0,0,37,58,0,0,0,0,0,98,0,0,0,23,7,0,3,8,0,40,0,5,56,170,63,63,28,14,0,409,0,0,0,7,0,4,0,0,0,11
POA2007,0,0,5,23,8,4,0,0,0,32,0,0,0,4,0,0,0,0,0,3,0,0,38,54,13,11,17,4,5,143,0,8,94,214,8,3,0,0,0,324,0,3,99,162,14,4,7,3,0,295,0,0,4,35,0,4,0,0,0,50,0,0,0,6,0,0,0,0,0,6,0,0,0,13,7,0,3,0,0,21,0,0,9,56,5,0,0,0,0,71,0,3,14,55,15,4,0,0,0,95,0,0,26,96,3,3,0,0,0,124,0,0,0,4,0,0,0,0,0,10,0,0,45,88,19,10,13,4,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,9,14,0,0,0,0,0,32,0,0,11,9,0,0,0,0,0,24,0,0,0,7,0,0,0,0,0,13,0,3,21,53,12,25,3,5,0,117,0,0,0,0,0,0,0,0,0,0
POA2008,0,0,9,22,3,4,5,0,0,42,0,0,0,0,0,0,0,4,0,13,0,0,135,115,7,9,0,0,0,266,0,0,77,160,4,3,0,0,0,238,0,0,206,234,16,8,4,0,0,469,0,0,10,34,0,3,0,0,0,49,0,0,0,3,0,0,0,0,0,5,0,0,0,20,0,3,0,0,0,21,0,0,9,38,0,0,3,3,0,52,0,0,15,54,4,3,0,0,0,86,0,0,40,108,6,0,0,0,0,157,0,0,5,3,0,0,0,0,3,12,0,0,76,91,21,16,6,5,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,19,8,0,0,0,0,0,32,0,0,12,7,0,0,3,0,0,23,0,0,0,12,3,3,0,4,0,22,0,0,96,101,19,26,15,7,0,268,0,0,0,0,0,0,0,0,0,3
POA2009,0,0,4,30,12,5,4,0,0,65,0,0,0,7,0,5,9,0,0,14,0,3,13,81,25,28,34,9,4,204,13,9,27,401,20,19,16,5,0,510,0,7,44,155,34,10,13,3,0,263,0,0,0,61,8,5,0,4,0,81,0,0,0,4,0,0,4,0,0,8,0,0,0,63,6,8,3,3,0,89,0,0,7,122,14,18,17,7,0,184,3,3,6,85,28,17,5,3,0,143,0,6,4,128,39,10,3,3,0,198,0,4,0,9,4,4,6,0,0,25,0,0,7,101,29,32,38,16,0,237,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,3,0,0,0,6,0,0,5,6,0,0,6,0,0,15,0,0,7,14,0,0,0,0,0,23,0,0,0,15,0,6,7,0,0,24,4,3,16,95,63,53,35,13,0,283,0,0,0,6,0,5,0,0,0,16
POA2010,0,0,6,80,25,24,26,19,5,190,0,0,0,10,3,8,5,20,11,72,0,6,17,97,24,28,18,6,9,201,0,3,31,202,15,15,4,6,3,277,3,0,42,205,30,12,11,5,0,311,0,0,0,38,11,8,5,6,0,73,0,0,0,16,0,0,0,0,0,19,0,0,0,179,38,14,11,6,3,244,0,0,11,167,20,9,22,12,5,251,0,0,19,107,38,16,7,3,0,188,0,0,5,117,23,8,9,5,0,166,0,0,0,17,3,6,6,4,3,41,0,4,13,149,45,24,26,7,0,264,0,0,0,3,0,6,10,7,7,32,0,0,0,7,7,6,0,0,0,24,0,0,6,10,0,4,0,0,0,19,0,0,37,40,6,0,0,0,0,79,0,3,0,55,18,9,4,3,0,92,4,6,55,420,178,174,92,31,5,963,0,0,0,5,4,0,0,4,6,22
POA2011,0,4,7,80,18,9,31,21,6,177,0,0,0,10,3,6,5,4,0,29,0,5,5,40,7,10,8,3,4,79,0,0,4,118,11,14,9,4,0,163,0,0,12,47,13,10,6,3,0,87,0,0,0,46,4,0,4,0,0,64,0,0,0,0,0,0,0,0,0,3,0,0,0,102,17,12,7,5,0,142,0,0,8,100,17,9,11,11,3,161,0,0,8,61,30,14,11,3,0,117,0,0,4,51,19,0,0,0,0,74,0,0,0,11,3,6,0,0,0,27,0,0,5,52,16,29,9,4,0,127,0,0,0,0,0,3,3,0,0,6,0,0,0,5,0,4,0,4,0,16,0,0,0,0,4,0,0,0,0,4,0,0,21,27,0,0,0,0,0,45,0,0,3,22,7,11,11,9,0,52,0,0,21,271,141,146,97,34,17,716,0,0,0,3,0,8,3,5,0,15
POA2015,0,0,0,25,13,9,0,0,0,40,0,0,0,4,3,0,6,0,0,17,0,0,8,64,14,8,0,0,0,106,0,4,4,102,6,3,5,0,0,124,0,3,28,93,30,8,9,0,0,160,0,0,0,22,0,3,0,0,0,25,0,0,0,6,0,4,0,0,0,9,0,0,4,81,25,13,0,0,5,120,0,0,0,61,6,5,0,0,0,74,0,0,0,20,8,9,3,0,0,43,0,0,5,43,13,0,0,0,0,58,0,0,0,7,0,6,0,0,0,12,0,0,4,80,11,11,0,0,0,108,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,9,0,0,5,3,0,0,0,0,0,11,0,0,3,13,3,0,4,0,0,25,0,6,18,189,84,42,21,10,0,367,0,0,0,4,3,5,0,0,0,11
POA2016,0,0,6,44,10,12,11,3,0,85,0,0,0,3,4,15,15,31,19,89,0,5,20,38,10,12,14,4,3,101,0,0,29,134,10,3,6,0,0,187,0,0,17,58,10,9,3,3,3,107,0,0,0,11,4,3,3,0,0,25,0,0,0,7,0,0,3,0,0,12,0,0,6,81,16,10,5,0,0,117,0,0,3,48,6,7,7,4,0,75,0,0,7,52,13,11,0,0,0,85,0,0,6,57,11,10,7,9,5,98,0,0,0,5,13,7,20,12,11,80,0,5,12,54,10,14,13,5,0,117,0,0,0,0,0,0,4,3,0,13,0,0,0,0,0,0,0,0,0,9,0,0,5,4,0,6,0,6,0,16,0,0,22,17,0,0,6,0,0,44,0,0,0,21,4,4,8,0,0,38,0,3,18,167,75,76,31,12,3,388,0,0,0,4,4,4,3,0,0,9
POA2017,0,0,18,86,15,12,8,9,5,150,0,0,3,18,3,4,11,6,8,54,6,5,110,199,31,24,30,3,3,417,0,0,90,370,25,5,8,3,0,509,0,4,109,297,59,29,30,3,0,535,0,0,8,165,9,10,9,0,0,203,0,0,0,19,3,0,6,0,0,27,0,0,34,742,16,9,6,4,0,808,0,0,17,203,14,10,12,7,0,267,8,0,14,73,22,11,8,0,0,140,0,6,20,218,55,14,15,5,3,338,0,0,0,19,7,5,9,10,0,50,0,12,36,235,30,26,18,13,3,369,0,0,0,0,0,4,8,3,0,13,0,0,0,20,4,0,0,0,0,29,0,0,22,18,4,0,8,0,0,51,0,0,5,23,6,0,0,0,0,33,0,0,5,30,3,3,5,4,0,52,3,5,68,374,100,80,40,11,4,675,0,0,0,11,0,4,4,0,0,17
POA2018,0,0,5,33,11,7,0,4,0,63,0,4,7,17,11,46,115,231,100,532,0,8,23,77,21,27,32,4,6,193,8,16,41,230,26,18,12,3,4,358,5,12,46,238,109,77,55,31,3,579,0,0,0,87,4,7,5,0,0,107,0,3,5,49,33,34,15,3,0,142,0,0,11,335,23,18,10,4,0,397,0,0,0,76,20,16,34,48,19,207,0,0,3,34,10,12,0,0,0,61,4,0,9,63,28,11,7,9,0,127,0,0,0,11,7,25,22,17,7,87,0,4,20,98,11,17,24,5,0,191,0,0,0,5,0,6,13,16,7,43,0,0,0,9,0,0,0,0,0,17,0,0,4,3,0,0,0,0,0,8,0,0,10,27,0,0,0,0,0,31,0,0,0,15,0,3,0,0,0,22,0,8,30,171,57,51,21,7,3,359,0,0,0,8,4,0,0,3,0,22
