POA_CODE_2021,A55_64_UOLSE_VWW_17,A55_64_UOLSE_VWW_18,A55_64_UOLSE_VWW_19,A55_64_UOLSE_VWW_20,A55_64_UOLSE_VWW_21,A55_64_UOLSE_VWW_YNS,A55_64_UOLSE_VWW_T,A55_64_UOLSE_NWNAA_B_05,A55_64_UOLSE_NWNAA_05_10,A55_64_UOLSE_NWNAA_11_15,A55_64_UOLSE_NWNAA_16,A55_64_UOLSE_NWNAA_17,A55_64_UOLSE_NWNAA_18,A55_64_UOLSE_NWNAA_19,A55_64_UOLSE_NWNAA_20,A55_64_UOLSE_NWNAA_21,A55_64_UOLSE_NWNAA_YNS,A55_64_UOLSE_NWNAA_T,A55_64_UOLSE_PinE_NS_B_05,A55_64_UOLSE_PinE_NS_05_10,A55_64_UOLSE_PinE_NS_11_15,A55_64_UOLSE_PinE_NS_16,A55_64_UOLSE_PinE_NS_17,A55_64_UOLSE_PinE_NS_18,A55_64_UOLSE_PinE_NS_19,A55_64_UOLSE_PinE_NS_20,A55_64_UOLSE_PinE_NS_21,A55_64_UOLSE_PinE_NS_YNS,A55_64_UOLSE_PinE_NS_T,A55_64_UOLSE_T_B_05,A55_64_UOLSE_T_05_10,A55_64_UOLSE_T_11_15,A55_64_UOLSE_T_16,A55_64_UOLSE_T_17,A55_64_UOLSE_T_18,A55_64_UOLSE_T_19,A55_64_UOLSE_T_20,A55_64_UOLSE_T_21,A55_64_UOLSE_T_YNS,A55_64_UOLSE_T_T,A55_64_L_PinE_NS_B_05,A55_64_L_PinE_NS_05_10,A55_64_L_PinE_NS_11_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_17,A55_64_L_PinE_NS_18,A55_64_L_PinE_NS_19,A55_64_L_PinE_NS_20,A55_64_L_PinE_NS_21,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B_05,A55_64_T_05_10,A55_64_T_11_15,A55_64_T_16,A55_64_T_17,A55_64_T_18,A55_64_T_19,A55_64_T_20,A55_64_T_21,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B_05,A65_74_SEO_05_10,A65_74_SEO_11_15,A65_74_SEO_16,A65_74_SEO_17,A65_74_SEO_18,A65_74_SEO_19,A65_74_SEO_20,A65_74_SEO_21,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_UOLSE_VWW_B_05,A65_74_UOLSE_VWW_05_10,A65_74_UOLSE_VWW_11_15,A65_74_UOLSE_VWW_16,A65_74_UOLSE_VWW_17,A65_74_UOLSE_VWW_18,A65_74_UOLSE_VWW_19,A65_74_UOLSE_VWW_20,A65_74_UOLSE_VWW_21,A65_74_UOLSE_VWW_YNS,A65_74_UOLSE_VWW_T,A65_74_UOLSE_NWNAA_B_05,A65_74_UOLSE_NWNAA_05_10,A65_74_UOLSE_NWNAA_11_15,A65_74_UOLSE_NWNAA_16,A65_74_UOLSE_NWNAA_17,A65_74_UOLSE_NWNAA_18,A65_74_UOLSE_NWNAA_19,A65_74_UOLSE_NWNAA_20,A65_74_UOLSE_NWNAA_21,A65_74_UOLSE_NWNAA_YNS,A65_74_UOLSE_NWNAA_T,A65_74_UOLSE_PinE_NS_B_05,A65_74_UOLSE_PinE_NS_05_10,A65_74_UOLSE_PinE_NS_11_15,A65_74_UOLSE_PinE_NS_16,A65_74_UOLSE_PinE_NS_17,A65_74_UOLSE_PinE_NS_18,A65_74_UOLSE_PinE_NS_19,A65_74_UOLSE_PinE_NS_20,A65_74_UOLSE_PinE_NS_21,A65_74_UOLSE_PinE_NS_YNS,A65_74_UOLSE_PinE_NS_T,A65_74_UOLSE_T_B_05,A65_74_UOLSE_T_05_10,A65_74_UOLSE_T_06,A65_74_UOLSE_T_16,A65_74_UOLSE_T_17,A65_74_UOLSE_T_18,A65_74_UOLSE_T_19,A65_74_UOLSE_T_20,A65_74_UOLSE_T_21,A65_74_UOLSE_T_YNS,A65_74_UOLSE_T_T,A65_74_L_PinE_NS_B_05,A65_74_L_PinE_NS_05_10,A65_74_L_PinE_NS_11_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_17,A65_74_L_PinE_NS_18,A65_74_L_PinE_NS_19,A65_74_L_PinE_NS_20,A65_74_L_PinE_NS_21,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B_05,A65_74_T_05_10,A65_74_T_11_15,A65_74_T_16,A65_74_T_17,A65_74_T_18,A65_74_T_19,A65_74_T_20,A65_74_T_21,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B_05,A75_84_SEO_05_10,A75_84_SEO_11_15,A75_84_SEO_16,A75_84_SEO_17,A75_84_SEO_18,A75_84_SEO_19,A75_84_SEO_20,A75_84_SEO_21,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_UOLSE_VWW_B_05,A75_84_UOLSE_VWW_05_10,A75_84_UOLSE_VWW_11_15,A75_84_UOLSE_VWW_16,A75_84_UOLSE_VWW_17,A75_84_UOLSE_VWW_18,A75_84_UOLSE_VWW_19,A75_84_UOLSE_VWW_20,A75_84_UOLSE_VWW_21,A75_84_UOLSE_VWW_YNS,A75_84_UOLSE_VWW_T,A75_84_UOLSE_NWNAA_B_05,A75_84_UOLSE_NWNAA_05_10,A75_84_UOLSE_NWNAA_11_15,A75_84_UOLSE_NWNAA_16,A75_84_UOLSE_NWNAA_17,A75_84_UOLSE_NWNAA_18,A75_84_UOLSE_NWNAA_19,A75_84_UOLSE_NWNAA_20,A75_84_UOLSE_NWNAA_21,A75_84_UOLSE_NWNAA_YNS,A75_84_UOLSE_NWNAA_T,A75_84_UOLSE_PinE_NS_B_05,A75_84_UOLSE_PinE_NS_05_10,A75_84_UOLSE_PinE_NS_11_15,A75_84_UOLSE_PinE_NS_16,A75_84_UOLSE_PinE_NS_17,A75_84_UOLSE_PinE_NS_18,A75_84_UOLSE_PinE_NS_19,A75_84_UOLSE_PinE_NS_20,A75_84_UOLSE_PinE_NS_21,A75_84_UOLSE_PinE_NS_YNS,A75_84_UOLSE_PinE_NS_T,A75_84_UOLSE_T_B_05,A75_84_UOLSE_T_05_10,A75_84_UOLSE_T_11_15,A75_84_UOLSE_T_16,A75_84_UOLSE_T_17,A75_84_UOLSE_T_18,A75_84_UOLSE_T_19,A75_84_UOLSE_T_20,A75_84_UOLSE_T_21,A75_84_UOLSE_T_YNS,A75_84_UOLSE_T_T,A75_84_L_PinE_NS_B_05,A75_84_L_PinE_NS_05_10,A75_84_L_PinE_NS_11_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_17,A75_84_L_PinE_NS_18
POA2000,7,11,14,15,7,16,455,106,28,37,13,11,10,31,21,7,7,273,0,0,0,0,0,0,0,0,0,0,0,458,60,47,14,18,17,40,35,11,23,728,0,0,0,0,0,0,0,0,0,3,3,799,91,64,21,20,27,53,47,15,31,1174,238,17,9,0,0,0,5,6,3,0,278,246,3,7,0,0,6,3,9,0,0,271,113,21,26,10,7,11,16,8,0,4,214,4,0,0,0,0,0,0,0,0,0,4,359,31,33,10,7,13,16,12,0,8,491,0,0,0,0,0,0,0,0,0,0,0,601,46,37,11,7,13,21,22,3,11,768,125,9,0,5,0,0,0,0,0,5,134,79,0,0,0,0,0,4,4,0,0,86,56,12,3,3,3,0,5,5,0,0,85,0,0,0,0,0,0,0,0,0,0,0,131,17,3,3,3,0,5,6,0,0,173,0,0,0,0,0,0
POA2007,0,0,0,0,0,3,97,36,9,13,0,8,3,0,3,0,5,68,0,0,0,0,0,0,0,0,0,0,0,111,15,10,0,8,3,3,3,0,5,169,0,0,0,0,0,0,0,0,0,0,0,180,19,15,0,8,3,3,6,3,9,250,40,0,0,0,0,0,0,0,0,0,44,44,0,0,4,0,4,0,0,0,0,56,56,6,15,4,0,3,5,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,104,5,16,5,0,6,6,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,144,5,16,5,0,6,6,0,0,3,190,16,0,0,0,0,0,0,0,0,0,19,12,0,0,0,0,0,0,0,0,0,12,38,4,0,0,0,0,5,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,53,4,0,0,0,0,5,0,0,0,65,0,0,0,0,0,0
POA2008,0,0,0,0,0,0,86,10,6,9,0,0,0,4,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,87,12,8,0,0,0,4,3,0,0,112,0,0,0,0,0,0,0,0,0,4,4,196,17,11,0,0,0,4,3,0,5,235,55,0,0,0,0,0,0,0,0,0,61,28,0,0,0,0,0,3,0,0,0,34,14,3,10,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,43,5,10,3,0,0,3,0,0,5,74,0,0,0,0,0,0,0,0,0,0,0,105,5,6,3,0,0,5,0,0,3,134,22,0,0,0,0,0,0,0,0,3,24,9,0,0,0,0,0,0,0,0,0,17,13,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,3,30,0,0,0,0,0,0
POA2009,0,0,5,8,0,3,263,72,10,9,3,0,4,8,7,0,0,113,0,0,0,0,0,0,0,0,0,0,0,290,28,18,3,0,6,8,7,4,8,375,0,0,0,0,0,0,0,0,0,3,3,560,52,31,5,3,3,13,10,6,17,697,216,5,3,0,7,0,3,0,0,0,242,191,5,4,0,0,0,3,0,0,0,207,53,19,24,0,0,3,3,8,0,0,111,0,0,0,0,0,0,0,0,0,0,0,246,20,28,0,0,3,5,10,6,0,318,0,0,0,0,0,0,0,0,0,0,0,463,25,34,0,7,3,7,10,3,6,554,100,7,0,0,0,0,0,0,0,0,105,49,0,0,0,0,0,0,0,0,0,58,40,7,0,4,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,91,9,3,4,0,0,0,3,0,0,112,0,0,0,0,0,0
POA2010,0,0,4,0,0,6,289,58,11,8,0,3,3,0,0,4,0,86,0,0,0,0,0,0,0,0,0,0,0,318,18,22,3,3,3,4,0,4,8,381,4,0,0,0,0,0,0,0,0,10,9,965,54,48,3,11,7,8,4,9,26,1131,404,3,3,0,0,0,3,0,0,8,422,173,8,12,0,0,0,0,0,0,3,200,73,7,7,0,0,0,4,0,0,3,95,0,0,0,0,0,0,0,0,0,0,0,252,16,14,0,0,0,0,0,0,9,298,0,0,0,0,0,0,0,0,0,11,15,656,22,17,0,0,0,3,0,0,26,732,190,0,0,0,0,0,0,0,0,7,196,95,3,5,0,0,0,0,0,0,5,103,97,10,9,0,0,0,0,0,0,9,120,0,0,0,0,0,0,0,0,0,0,0,190,10,12,0,0,0,0,0,0,12,225,5,0,0,0,0,0
POA2011,3,3,6,0,0,0,188,29,0,0,4,0,0,0,0,0,3,35,0,0,0,0,0,0,0,0,0,0,0,181,13,6,3,3,3,6,0,0,4,221,0,0,0,0,0,0,0,0,0,0,0,683,46,22,15,9,3,13,0,4,15,801,418,11,6,0,0,5,0,0,0,7,439,128,0,6,0,0,0,0,0,0,0,139,29,0,0,0,0,0,4,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,154,0,3,0,0,0,4,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,573,14,12,0,0,5,5,0,0,12,613,225,0,0,0,0,0,0,0,0,6,237,62,0,3,0,0,0,0,0,0,3,76,21,0,5,0,0,0,0,0,0,3,28,4,0,0,0,0,0,0,0,0,0,4,94,0,6,0,0,0,0,0,0,7,104,0,0,0,0,0,0
POA2015,0,0,0,0,0,0,108,19,4,3,0,0,0,0,0,0,8,35,0,0,0,0,0,0,0,0,0,0,0,112,14,3,0,0,0,0,0,0,8,136,0,0,0,0,0,0,0,0,0,0,0,301,29,6,0,0,0,0,0,0,9,351,88,3,0,0,0,0,0,0,0,5,93,57,0,3,0,4,0,0,0,3,3,73,25,4,0,0,0,0,0,0,0,4,38,0,0,0,0,0,0,0,0,0,0,0,87,9,3,0,4,0,0,0,3,9,112,0,0,0,0,0,0,0,0,0,0,0,171,12,3,0,4,0,0,3,3,9,206,49,0,0,0,0,0,0,0,0,0,47,11,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,7,31,0,0,0,0,0,0
POA2016,0,0,0,0,0,5,169,60,21,7,0,3,0,0,0,0,3,97,3,0,0,0,0,0,0,0,0,0,3,218,23,13,0,4,0,0,0,0,6,273,0,0,0,0,0,0,0,0,0,0,0,490,38,14,0,4,0,0,4,0,12,575,176,0,0,0,0,0,0,0,0,0,177,145,9,3,0,0,0,0,0,0,5,159,98,22,14,0,0,0,0,0,0,3,137,4,0,0,0,0,0,0,0,0,0,7,250,27,18,0,0,0,0,4,0,7,298,0,0,0,0,0,0,0,0,0,21,25,420,27,18,0,0,0,0,5,0,27,499,65,0,0,0,0,0,0,0,0,0,72,86,0,0,0,0,0,0,0,0,6,90,132,20,10,0,0,0,0,0,0,0,161,5,0,0,0,0,0,0,0,0,0,5,220,21,10,0,0,0,0,0,0,8,256,0,0,0,0,0,0
POA2017,0,0,7,4,0,5,303,121,34,32,11,8,13,21,16,4,7,265,4,0,0,0,0,0,0,0,0,0,0,354,57,55,12,12,11,33,15,7,16,574,0,0,0,0,0,0,0,0,0,0,0,669,64,58,17,13,15,32,15,7,16,907,186,7,4,0,0,5,0,0,0,5,209,245,8,8,0,0,3,0,4,0,10,284,169,32,34,7,9,10,6,3,0,10,291,0,0,0,0,0,0,0,0,0,0,0,419,42,45,5,14,13,8,8,0,20,573,0,0,0,0,0,0,0,0,0,0,3,607,47,52,5,12,9,14,8,0,30,787,100,0,8,0,0,0,0,0,0,4,112,100,0,0,0,0,0,0,0,0,0,103,154,13,10,0,0,4,0,6,0,0,186,0,0,0,0,0,0,0,0,0,0,0,252,17,10,0,0,4,3,6,0,0,286,0,0,0,0,0,0
POA2018,0,0,8,0,0,6,586,125,18,21,7,6,3,5,4,0,3,196,0,0,0,0,0,0,0,0,0,0,0,659,47,31,9,6,3,12,5,0,4,779,0,0,0,0,0,0,0,0,0,0,5,927,56,33,9,8,0,12,7,3,12,1069,174,3,0,0,0,0,0,0,0,0,176,492,4,3,0,0,0,0,0,0,8,516,228,17,17,3,0,6,6,3,0,9,291,8,0,0,0,0,0,0,0,0,0,8,732,19,21,3,0,6,9,0,0,21,813,0,0,0,0,0,0,0,0,0,0,0,907,22,24,3,0,6,6,0,0,17,992,90,0,0,0,0,0,0,0,0,5,94,357,4,4,0,0,0,0,0,0,16,375,257,7,3,0,4,0,0,0,0,6,283,3,0,0,0,0,0,0,0,0,0,4,613,14,11,0,4,0,0,0,0,18,661,0,0,0,0,0,0
