POA_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
POA2000,0,7,0,13,0,0,0,0,0,20,295,231,413,1488,426,330,270,144,30,3617,0,0,8,18,0,0,6,0,0,30,0,0,0,3,0,0,0,0,0,4,0,4,4,114,4,5,0,0,0,124,0,0,0,7,0,0,0,0,0,15,0,0,5,24,4,7,4,0,0,48,0,0,0,27,0,0,0,0,0,33,8,26,321,720,88,116,91,25,13,1407,0,0,0,4,0,5,0,0,0,7,0,0,6,9,0,0,4,0,0,25,4,4,26,180,74,77,53,22,9,446,0,0,0,10,4,4,0,5,0,23,0,6,14,61,16,3,0,0,0,99,0,0,0,27,10,9,9,4,0,54,0,0,0,3,0,0,3,0,0,16,5,5,34,120,25,32,30,7,0,266,0,8,59,387,24,16,3,3,0,504,0,8,433,1032,54,11,23,8,0,1567,0,0,0,59,4,7,6,0,0,77
POA2007,0,0,0,0,0,0,0,0,0,0,93,81,231,451,113,63,56,14,3,1115,0,0,6,10,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,3,27,5,0,0,0,0,34,0,0,3,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,6,0,0,0,7,0,0,0,0,0,7,3,8,140,249,33,35,30,22,6,527,0,0,0,5,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,6,0,0,7,53,12,13,5,3,4,95,0,0,0,0,0,0,0,0,0,4,0,0,0,17,0,0,0,0,0,21,0,0,0,14,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,27,29,9,11,9,4,0,78,0,0,49,140,3,0,0,0,0,206,0,0,52,87,7,0,4,0,0,150,0,0,3,27,0,0,0,0,0,36
POA2008,0,0,0,0,0,0,0,0,0,0,98,84,462,967,176,132,91,19,3,2032,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,6,27,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,8,0,0,0,24,3,4,0,0,0,35,0,0,4,8,4,0,0,0,0,17,0,4,351,314,16,16,15,0,0,718,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,7,0,0,19,81,36,28,11,0,0,174,0,0,5,3,0,0,0,0,0,9,0,0,4,28,5,3,0,0,0,41,0,0,3,8,5,0,0,0,0,24,0,0,0,5,0,0,0,4,0,5,0,0,59,62,0,6,0,0,0,126,0,0,42,98,3,0,0,0,0,148,0,0,91,115,15,3,0,0,0,229,0,0,7,24,0,0,0,0,0,29
POA2009,0,0,0,0,0,0,0,0,0,0,271,255,294,988,291,291,219,114,17,2735,0,0,0,5,0,0,0,0,0,11,0,0,0,5,0,3,0,0,0,7,0,3,3,91,5,3,0,0,0,105,0,0,0,8,0,0,0,0,0,6,0,0,0,10,9,6,0,0,0,23,0,0,3,19,0,4,0,0,0,30,0,4,19,119,27,61,36,16,7,289,0,0,0,0,0,0,3,0,4,10,0,0,0,4,0,0,3,0,0,17,0,4,5,116,57,51,38,20,3,297,0,0,0,10,5,3,0,0,0,19,0,0,5,48,4,4,0,0,0,61,0,0,0,16,6,5,5,4,0,35,0,0,0,4,0,0,9,0,0,11,0,0,8,34,12,14,15,3,4,88,3,3,19,229,10,4,8,6,0,284,0,7,21,67,12,0,6,4,0,116,0,0,0,34,3,0,0,0,0,39
POA2010,0,0,0,0,0,0,0,0,0,3,290,329,732,3704,1139,897,492,179,43,7801,0,0,3,20,0,0,0,0,0,22,0,0,0,4,0,0,0,0,0,10,0,0,8,131,3,5,0,0,0,151,0,0,0,8,5,6,0,0,0,14,0,0,0,60,20,12,9,0,0,89,0,0,0,33,4,0,3,0,0,49,0,11,23,125,30,39,26,33,21,302,0,0,0,0,3,3,0,5,0,22,0,0,0,5,4,0,0,3,0,13,3,10,55,543,168,156,70,39,7,1048,0,0,0,17,8,0,4,0,0,23,0,0,4,145,27,3,0,0,3,189,0,0,3,52,13,17,15,10,0,111,0,0,0,9,4,7,7,8,3,32,0,0,3,42,21,12,6,0,3,92,0,5,21,130,11,9,3,0,0,172,0,0,20,114,21,5,8,0,0,172,0,0,0,25,5,3,3,6,0,37
POA2011,0,0,0,0,0,0,0,0,0,0,152,172,354,2314,720,625,468,236,87,5119,0,0,0,6,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,6,0,0,6,100,10,3,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,40,12,14,8,4,0,74,0,0,3,30,6,4,0,0,0,49,0,3,5,44,7,9,9,4,3,82,0,0,0,0,4,0,0,0,0,11,0,0,0,12,0,0,0,5,0,17,0,4,20,295,111,97,65,47,11,641,0,0,0,8,8,4,0,0,0,24,0,5,8,94,14,5,4,0,0,124,0,4,3,33,11,4,17,12,6,94,0,0,0,5,3,8,5,0,0,19,0,0,0,17,3,3,8,0,0,35,0,0,4,81,9,10,0,3,0,104,0,0,6,20,10,3,9,3,0,45,0,0,0,22,7,4,4,0,0,37
POA2015,0,0,0,0,0,0,0,0,0,0,297,317,327,1726,440,278,118,36,5,3550,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,6,0,3,7,43,5,0,0,0,0,59,0,0,0,3,0,0,0,0,0,3,0,0,0,21,5,5,0,0,0,32,0,0,0,9,0,0,0,0,0,11,0,0,11,70,11,6,6,3,5,110,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,4,8,185,74,41,16,11,3,347,0,0,0,7,6,4,5,0,0,16,0,0,0,31,6,0,0,0,0,40,0,0,0,15,10,7,0,0,0,23,0,0,0,0,0,0,4,3,0,6,0,0,6,36,9,0,0,0,0,50,0,0,5,58,3,3,4,0,0,79,0,0,15,41,12,3,4,0,0,80,0,0,0,15,0,0,0,0,0,19
POA2016,0,0,0,0,0,0,0,0,0,0,203,264,383,1548,544,443,227,76,15,3704,0,0,4,14,0,3,0,0,0,20,0,0,0,0,0,0,0,0,3,9,0,0,3,60,3,5,0,0,0,71,0,0,0,4,0,0,0,0,0,8,0,0,0,33,0,0,0,0,0,41,0,0,0,23,3,0,0,0,0,37,0,5,28,46,14,27,36,41,16,220,0,0,0,4,4,0,3,0,0,16,0,0,0,0,0,0,4,0,0,7,0,3,10,186,87,56,30,16,0,388,0,0,0,7,3,0,0,4,0,16,0,0,3,50,7,0,0,0,0,58,0,0,0,22,9,10,5,0,0,47,0,0,0,0,4,6,3,11,5,36,0,5,11,21,10,4,4,0,0,53,0,0,20,81,7,0,3,0,0,123,0,0,9,29,10,3,4,3,0,64,0,0,0,5,0,5,3,0,0,13
POA2017,0,0,0,5,0,0,0,0,0,8,576,379,621,2754,593,411,238,87,18,5689,0,0,5,29,4,0,0,0,0,35,0,0,0,11,0,0,0,0,0,9,0,0,15,258,13,7,3,0,0,290,0,0,0,4,0,0,0,0,0,11,4,0,3,45,8,3,0,0,0,65,0,0,0,32,4,3,3,0,0,47,3,13,691,1075,43,82,74,31,13,2034,0,0,0,9,0,0,0,4,0,17,0,0,5,12,0,7,0,3,4,26,0,7,55,658,70,51,29,15,0,893,0,0,0,24,5,4,8,0,0,40,0,0,0,100,0,3,0,0,0,115,0,0,7,54,8,8,3,9,3,92,0,0,5,8,3,0,7,4,5,34,4,4,67,96,10,16,11,3,0,204,0,0,50,217,16,5,4,5,0,294,0,0,49,131,29,7,19,0,0,234,0,0,3,83,11,7,0,0,0,105
POA2018,0,0,0,3,0,3,3,0,0,8,538,610,724,1486,538,284,152,53,20,4411,0,16,19,132,43,37,11,0,0,259,0,0,0,9,8,3,6,4,0,24,0,5,11,104,6,5,0,0,0,119,0,0,0,8,0,3,0,0,0,8,6,0,0,6,5,3,0,0,0,18,0,0,0,14,3,9,12,8,0,41,4,4,190,405,30,43,40,16,11,745,0,0,0,6,8,3,0,4,4,20,0,0,0,4,4,5,9,17,4,52,4,12,22,212,44,29,15,7,0,340,0,0,0,9,0,6,0,3,0,25,0,0,0,25,3,0,0,0,0,39,0,0,0,8,9,3,0,0,0,30,0,4,3,12,11,22,44,92,46,232,0,5,12,32,10,12,20,3,0,89,3,10,23,139,17,5,11,6,0,203,0,0,18,94,54,33,28,13,0,245,0,0,0,42,0,6,3,0,0,51
