SA2_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
101021007,8,5,3,0,0,0,7,0,0,0,0,0,0,3,4,0,5,0,0,0,14,6,4,3,0,0,0,12,8,9,0,3,0,0,17,17,3,0,3,4,0,23,17,5,3,0,0,0,24,15,10,8,0,3,0,33,10,18,5,0,0,0,37,18,16,3,0,3,0,42,11,8,0,4,0,0,30,12,20,4,3,0,0,46,5,6,3,0,0,0,17,4,9,0,0,0,0,15,8,13,0,0,0,0,33,19,13,6,4,0,0,40,7,5,0,0,0,0,12,8,3,6,0,0,0,10,17,8,3,0,0,0,33,196,153,55,22,13,0,447
101021008,13,0,13,0,0,0,27,4,0,4,0,3,0,6,5,4,0,0,0,0,12,3,0,3,0,0,0,10,4,5,6,3,4,0,21,9,11,15,3,4,0,34,13,10,10,4,3,0,39,15,32,18,0,9,5,69,19,22,10,6,3,0,65,25,42,12,3,3,0,92,25,37,15,6,5,0,89,59,61,21,15,3,0,155,22,34,10,8,9,0,76,13,23,9,3,0,0,47,27,47,14,9,0,0,91,32,54,21,4,5,0,113,10,16,4,0,0,0,30,4,13,5,0,4,0,21,14,24,11,3,7,0,56,307,427,183,71,58,16,1059
101021009,10,5,0,0,5,0,18,0,0,0,0,0,0,3,3,0,4,0,5,0,15,11,6,0,5,0,0,20,6,3,3,4,0,3,26,20,10,0,8,9,0,44,27,11,3,12,5,0,62,21,25,11,0,11,6,76,20,29,7,6,12,0,72,46,41,15,14,11,0,129,36,47,8,7,7,0,96,45,51,8,11,7,0,114,22,27,8,7,3,0,65,18,21,5,0,0,0,54,33,40,9,0,3,0,85,24,38,15,6,12,0,97,8,7,7,0,0,0,23,4,3,4,0,0,0,10,21,10,6,0,5,0,47,378,393,111,76,92,14,1054
101021010,9,3,0,0,0,0,10,5,0,0,0,0,0,8,0,3,0,0,0,0,4,4,0,0,0,0,0,3,7,4,0,0,0,0,10,3,5,4,0,0,0,20,12,0,6,0,4,6,23,10,11,3,0,4,0,34,14,19,7,0,3,3,42,20,21,3,0,3,3,40,12,13,3,3,0,0,34,10,23,0,9,5,0,52,8,9,6,0,3,0,28,15,10,0,0,0,0,22,14,9,6,4,0,0,36,23,23,9,0,5,0,59,5,9,0,0,0,0,20,4,0,3,0,0,0,15,11,9,5,0,8,0,27,170,181,65,29,29,13,484
101021012,27,12,12,3,5,0,51,7,3,4,0,0,0,19,13,4,0,0,0,0,20,7,0,0,0,3,0,14,3,14,11,0,6,0,27,11,11,8,0,4,0,32,20,19,8,7,5,0,56,10,24,19,7,10,6,68,21,36,21,10,5,0,89,28,47,20,11,5,0,117,38,45,17,6,4,0,105,48,81,36,11,0,0,170,31,62,24,3,4,0,118,15,52,18,6,0,0,89,43,109,50,10,10,0,219,75,184,62,7,4,0,343,25,59,30,0,3,0,118,12,40,22,0,3,0,75,19,35,16,4,10,0,78,444,828,364,93,81,5,1824
101021610,0,3,0,3,0,0,10,3,0,0,0,0,0,3,0,4,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,3,0,0,9,5,0,4,0,3,0,13,3,7,0,0,0,0,13,6,12,0,6,6,0,23,8,19,4,0,0,0,36,21,29,3,3,3,0,54,25,37,3,3,0,0,65,23,69,8,7,0,0,108,28,82,11,5,0,0,124,45,67,3,3,0,0,121,76,163,18,7,5,0,272,63,192,17,9,5,0,292,12,37,12,4,0,0,65,7,25,8,0,0,0,42,10,23,4,0,3,0,42,335,770,97,57,24,9,1289
101021611,43,22,11,5,4,4,85,4,4,4,0,0,0,18,17,7,6,0,6,0,36,8,6,14,0,0,0,29,17,12,8,4,4,0,54,23,15,11,0,4,0,66,46,16,16,4,4,0,90,44,37,17,4,4,0,106,30,41,15,3,4,0,101,46,45,28,6,3,0,131,39,52,17,3,6,4,119,85,109,43,13,5,0,257,42,64,12,10,7,0,129,29,58,16,0,5,0,103,91,172,53,18,6,0,337,157,269,102,15,6,0,548,66,83,36,7,3,0,193,58,66,37,0,5,0,165,35,59,33,3,9,0,147,885,1134,474,103,98,10,2716
101031013,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,10,7,0,4,0,0,23,10,12,5,0,0,0,32,6,19,6,0,0,0,29,7,15,0,0,0,0,25,6,5,5,3,0,0,20,0,4,0,0,0,0,8,0,0,0,0,0,0,4,0,9,3,0,0,0,11,0,0,0,0,0,0,0,5,3,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,5,0,0,0,0,0,6,5,0,0,5,0,0,9,68,83,29,13,4,0,195
101031014,7,4,7,0,6,0,16,4,0,0,3,0,0,7,9,8,3,3,0,0,19,9,3,3,0,4,0,13,23,8,3,3,0,0,42,11,27,4,6,3,0,52,23,48,8,6,9,0,93,10,38,15,7,4,0,80,18,26,8,5,5,0,61,17,25,15,3,3,0,67,7,14,3,0,0,0,31,10,30,9,0,3,0,55,9,0,4,0,0,0,17,5,6,0,0,0,0,13,0,12,0,0,0,0,12,3,6,4,0,5,0,16,0,5,0,0,0,0,9,3,0,0,0,0,0,4,11,11,5,0,6,0,32,190,254,90,40,58,0,628
101031015,8,6,5,0,0,0,20,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,4,0,0,0,0,6,7,0,5,0,4,0,18,10,10,5,0,0,0,25,10,7,0,3,3,0,25,8,8,3,0,3,0,25,11,18,3,4,0,0,35,12,19,10,0,3,0,35,8,16,3,0,3,0,34,16,14,4,0,0,0,36,3,8,0,0,0,0,11,3,5,4,4,0,0,12,10,11,3,0,0,0,25,10,12,5,0,0,0,27,4,4,0,0,0,0,13,4,6,0,0,0,0,10,3,7,5,0,0,0,17,132,156,57,17,21,3,385
101031016,4,5,0,0,0,0,17,7,4,0,0,4,0,12,4,0,3,0,0,0,5,0,0,0,0,4,0,8,10,12,6,0,3,0,28,13,18,4,3,5,0,48,16,17,8,0,6,0,45,25,31,8,5,3,0,71,13,30,13,3,3,0,62,10,30,10,5,0,0,64,18,17,3,0,0,0,38,17,42,11,0,3,0,70,11,14,6,0,0,0,26,4,11,0,0,0,0,20,11,26,9,0,4,0,53,26,40,6,0,0,0,68,6,14,3,0,0,0,25,8,12,3,0,0,0,26,11,10,11,0,3,0,37,209,337,103,32,39,0,717
101041017,21,0,6,0,0,0,28,4,0,7,0,0,0,10,9,3,0,0,0,0,24,9,3,8,0,4,0,17,9,7,3,3,0,0,25,19,7,8,3,6,0,37,27,10,8,5,0,0,43,23,20,5,11,3,0,66,21,18,10,7,9,3,66,32,24,15,9,5,0,78,22,17,0,3,0,0,52,21,11,14,0,9,0,52,14,17,3,0,4,0,31,0,0,5,0,0,0,14,16,20,4,3,0,0,40,8,25,3,0,0,0,45,4,4,0,0,0,0,12,0,3,3,0,0,0,8,8,9,5,0,3,0,30,259,203,92,50,48,9,661
101041018,23,5,8,3,0,0,30,4,0,0,0,0,0,10,11,4,4,0,3,0,16,10,4,4,0,0,0,15,15,3,3,0,0,0,25,13,5,4,6,6,0,34,24,5,3,0,9,0,45,22,19,8,5,6,0,56,19,25,7,4,6,0,62,23,22,15,11,0,0,73,22,15,7,4,0,0,50,30,35,5,6,4,0,82,7,6,6,0,0,0,29,9,13,7,0,0,0,25,12,22,10,0,0,0,50,17,15,3,0,5,0,40,9,7,0,0,0,0,11,4,5,0,0,0,0,3,18,3,8,4,0,0,34,285,206,97,53,47,3,691
101041019,16,6,3,0,3,0,31,4,0,0,0,0,0,9,15,4,3,0,0,0,23,10,0,4,0,4,0,20,7,5,5,3,3,0,36,18,17,8,3,4,0,52,19,37,13,10,10,0,84,22,36,7,7,12,0,82,24,44,4,7,9,0,96,25,38,10,10,3,0,83,19,28,3,3,4,0,53,22,41,15,3,0,0,77,6,15,0,0,0,0,26,7,10,0,0,0,0,17,11,23,4,0,0,0,43,18,25,3,0,0,0,45,7,4,0,0,0,0,13,4,6,0,0,0,0,11,12,15,5,0,3,0,44,264,368,99,55,52,0,833
101041020,15,8,3,0,8,0,30,20,6,0,0,0,0,24,22,6,0,0,5,0,38,5,12,5,7,5,0,31,27,12,0,3,9,0,57,40,23,12,3,7,0,87,43,28,9,3,0,0,91,24,54,7,4,10,0,95,26,33,9,9,3,0,80,28,38,6,7,5,0,87,19,26,9,8,0,0,59,34,30,13,3,4,0,87,10,22,4,0,0,0,38,9,6,0,0,0,0,14,10,13,7,4,0,0,42,16,24,5,4,0,0,49,3,3,0,3,0,0,14,6,0,0,0,0,0,3,27,10,8,0,0,0,48,379,364,110,63,54,3,969
101041021,3,0,3,0,0,0,14,0,0,0,0,0,0,3,5,0,0,0,3,0,10,7,0,3,0,0,0,9,7,4,0,4,0,0,10,6,0,0,0,3,0,13,7,6,4,0,0,0,16,4,12,4,0,0,0,28,4,6,0,0,0,0,20,10,12,4,4,3,0,32,0,12,3,0,0,0,12,13,25,0,5,4,0,42,5,8,5,0,4,0,17,4,6,0,0,0,0,8,3,13,7,0,0,0,28,10,11,0,0,0,0,29,3,0,4,0,0,0,11,5,3,4,0,0,0,8,3,10,5,0,0,0,19,89,128,49,28,24,4,322
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,9,5,0,0,0,0,12,0,0,0,0,0,0,0,8,0,0,0,0,0,11,5,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,12,8,0,5,6,0,0,21,12,13,7,0,0,0,24,5,8,4,5,0,0,25,11,14,3,3,0,0,23,3,7,0,0,0,0,10,14,12,4,0,0,0,27,3,4,0,0,0,0,8,0,0,0,0,0,0,3,6,0,0,0,0,0,11,4,7,3,0,0,0,10,3,3,0,0,0,0,8,3,4,0,0,0,0,10,4,4,5,0,0,0,13,90,85,37,17,6,0,231
