SA2_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
101021007,..,3,0,4,3,3,4,5,0,25,..,6,14,14,32,50,82,51,14,260,6,8,0,3,3,9,0,5,3,43,279,125,161,208,283,352,289,166,35,1890,..,5,98,208,313,389,321,188,24,1543,..,30,97,81,113,117,66,21,3,523,..,3,14,37,32,14,10,5,3,117,624,..,..,..,..,..,..,..,..,624,..,102,..,..,..,..,..,..,..,102,..,94,44,11,10,11,0,0,0,177,..,4,0,0,8,7,19,7,3,54,..,8,17,6,3,0,0,0,0,31,..,3,8,8,8,15,9,12,0,63,..,13,29,30,75,123,145,84,29,528,12,13,11,12,22,20,10,9,3,116,631,271,321,411,588,691,577,332,66,3879
101021008,..,5,5,10,3,14,7,3,0,54,..,15,44,28,65,84,74,76,27,421,7,17,8,0,13,17,13,12,3,87,698,454,589,536,559,519,361,217,54,3987,..,24,408,548,596,609,430,170,33,2822,..,92,280,179,135,73,42,6,0,798,..,14,83,120,103,59,35,44,12,458,1502,..,..,..,..,..,..,..,..,1502,..,342,..,..,..,..,..,..,..,342,..,334,184,76,50,23,0,0,0,676,..,54,31,19,24,31,40,20,8,216,..,24,30,20,3,5,3,0,0,88,..,32,37,24,22,27,9,5,4,158,..,21,87,78,130,169,125,109,29,760,12,30,33,10,25,22,19,14,3,166,1518,953,1181,1056,1086,1019,708,361,88,7982
101021009,..,30,46,10,17,6,13,3,0,122,..,46,147,131,140,198,144,125,73,1016,11,14,27,8,12,18,14,3,6,116,823,483,1121,761,606,571,423,257,129,5174,..,26,814,757,523,443,375,182,67,3188,..,155,447,226,156,103,35,4,0,1131,..,13,77,122,140,75,34,27,25,509,1639,..,..,..,..,..,..,..,..,1639,..,291,..,..,..,..,..,..,..,291,..,260,154,46,43,30,6,5,0,540,..,66,73,19,18,31,39,23,6,278,..,46,105,22,6,8,0,0,0,192,..,71,161,49,35,33,25,5,0,375,..,114,323,297,357,418,278,187,90,2062,19,36,57,22,28,24,26,8,7,228,1660,1068,2216,1556,1310,1179,815,434,197,10437
101021010,..,20,22,9,8,6,3,0,0,64,..,32,76,70,56,78,59,31,19,421,0,4,7,0,0,5,0,5,0,32,364,253,490,348,309,263,175,95,31,2313,..,24,334,349,294,245,178,87,13,1523,..,56,237,77,70,47,18,6,0,512,..,6,37,56,66,27,11,6,8,219,744,..,..,..,..,..,..,..,..,744,..,144,..,..,..,..,..,..,..,144,..,116,52,27,9,12,0,0,0,222,..,31,30,10,15,16,11,15,4,129,..,10,28,12,6,7,0,0,0,58,..,39,71,28,22,23,7,4,0,206,..,61,186,141,129,184,126,68,31,923,9,10,27,9,13,20,8,8,0,102,760,504,1005,712,630,563,368,185,53,4782
101021012,..,7,20,4,0,8,9,4,0,53,..,7,37,41,55,108,74,58,20,408,11,17,21,3,5,13,8,5,0,86,1262,799,727,890,1120,767,385,160,42,6156,..,19,550,1212,1509,1112,522,182,37,5134,..,74,300,211,224,108,32,0,0,958,..,12,41,107,165,98,32,15,3,481,2581,..,..,..,..,..,..,..,..,2581,..,864,..,..,..,..,..,..,..,864,..,530,257,54,34,7,0,0,0,888,..,30,28,3,16,39,25,16,4,164,..,25,41,13,9,3,0,0,0,96,..,20,60,22,12,24,11,3,0,156,..,14,92,93,118,180,119,91,26,725,30,31,32,13,14,18,19,8,0,170,2607,1631,1402,1732,2103,1587,761,312,78,12212
101021610,..,3,9,0,0,0,0,0,0,15,..,0,27,22,24,19,11,4,0,104,9,5,3,9,5,4,0,0,0,28,887,221,699,637,336,133,81,22,3,3015,..,10,725,983,505,195,100,35,0,2555,..,55,328,170,72,9,3,0,0,647,..,4,31,51,39,18,6,4,0,154,1818,..,..,..,..,..,..,..,..,1818,..,227,..,..,..,..,..,..,..,227,..,128,48,11,3,0,0,0,0,193,..,18,23,8,0,20,16,7,0,89,..,9,23,6,0,0,0,0,0,40,..,8,19,7,4,0,0,0,0,39,..,3,52,42,30,30,18,4,0,171,16,16,10,13,4,3,0,0,0,59,1830,473,1255,1282,672,268,146,48,4,5980
101021611,..,6,13,4,11,24,7,3,0,68,..,5,16,30,41,86,94,55,14,347,24,25,24,13,13,21,10,8,6,142,1475,821,783,1014,1294,1126,749,290,45,7594,..,23,590,1337,1800,1603,1144,414,36,6955,..,108,402,312,341,279,111,17,0,1564,..,7,50,88,131,81,23,17,7,415,3002,..,..,..,..,..,..,..,..,3002,..,810,..,..,..,..,..,..,..,810,..,609,269,64,45,18,3,0,0,995,..,43,30,6,14,45,56,45,29,267,..,46,65,18,12,23,16,4,0,179,..,18,12,9,23,38,23,8,0,133,..,12,54,79,124,188,185,103,15,761,45,66,42,22,37,39,26,13,3,297,3046,1733,1508,1945,2529,2307,1582,621,93,15379
101031013,..,3,3,3,7,0,6,0,3,28,..,9,3,11,11,39,56,31,6,160,0,3,0,0,0,10,7,0,0,25,180,101,92,127,131,168,171,76,22,1068,..,5,51,108,130,193,188,104,9,788,..,30,83,58,49,39,19,5,5,280,..,5,16,23,17,10,8,5,0,87,368,..,..,..,..,..,..,..,..,368,..,67,..,..,..,..,..,..,..,67,..,53,21,3,5,9,0,0,0,92,..,9,0,0,3,0,3,0,0,22,..,8,0,3,3,0,0,0,0,6,..,4,13,10,16,7,12,0,8,60,..,11,26,29,34,77,108,57,11,340,3,10,8,0,4,11,13,3,0,53,373,192,206,232,254,345,349,174,30,2157
101031014,..,11,23,3,10,13,7,3,3,71,..,14,29,35,60,107,106,107,56,513,8,8,6,3,6,13,6,4,3,64,499,280,358,364,375,456,358,274,94,3060,..,3,216,352,331,493,389,278,65,2122,..,72,221,128,102,65,34,12,4,628,..,8,38,68,84,36,32,20,14,302,1036,..,..,..,..,..,..,..,..,1036,..,190,..,..,..,..,..,..,..,190,..,203,81,22,35,19,8,0,0,367,..,26,6,10,9,12,16,10,0,93,..,18,11,5,3,4,3,0,0,50,..,34,47,18,27,26,18,8,3,185,..,31,85,86,120,204,179,161,88,951,13,17,21,16,11,13,14,8,3,117,1041,601,719,700,722,873,695,492,176,6027
101031015,..,0,3,0,0,3,0,0,0,16,..,0,4,3,17,33,38,29,10,131,0,7,9,5,3,14,3,9,0,45,235,136,127,139,255,260,185,109,24,1475,..,9,89,167,322,321,248,144,18,1318,..,25,77,44,81,67,33,8,0,337,..,0,10,17,24,10,8,10,5,88,500,..,..,..,..,..,..,..,..,500,..,116,..,..,..,..,..,..,..,116,..,102,24,7,9,6,0,0,0,152,..,9,4,0,4,18,8,7,8,60,..,3,3,5,5,9,0,0,0,28,..,0,3,3,8,3,5,4,4,31,..,6,20,23,39,91,92,53,22,343,6,15,12,14,5,23,16,9,6,100,508,282,239,273,501,556,408,239,58,3072
