SA2_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
101021007,805,28,0,19,0,855,525,8,0,7,5,547,114,18,6,9,0,136,3,0,0,0,0,3,0,0,0,0,0,0,85,8,0,0,0,97,13,0,0,0,0,14,0,0,0,0,0,0,213,23,3,5,0,253,44,0,0,8,0,49,24,0,0,0,0,22,1610,63,3,37,6,1719
101021008,786,99,9,0,0,895,1053,175,4,0,0,1237,167,137,55,0,0,363,252,36,0,0,0,285,18,23,0,0,0,45,95,27,17,0,0,144,31,8,4,0,0,43,4,0,0,0,0,4,568,235,75,0,0,878,19,3,0,0,0,18,37,8,3,0,0,51,2472,518,85,0,0,3075
101021009,751,177,176,5,0,1111,865,349,330,3,0,1551,208,362,858,3,5,1440,26,58,32,0,0,127,3,44,30,0,0,78,127,88,178,0,0,402,17,12,33,5,0,67,4,3,3,0,0,9,387,575,1143,8,6,2119,26,26,25,0,5,74,22,12,22,0,0,59,2052,1145,1695,21,13,4916
101021010,327,106,85,0,0,522,320,262,132,0,0,712,75,193,377,0,0,645,19,19,17,0,0,53,0,24,7,0,0,33,37,57,77,0,0,175,31,23,19,0,0,72,3,3,0,0,0,11,171,317,502,0,0,983,8,10,8,0,0,24,14,3,10,0,0,30,832,698,739,0,4,2276
101021012,1095,124,4,3,0,1229,1760,249,14,3,0,2029,265,186,51,0,0,505,87,12,0,0,0,97,10,5,0,0,0,10,84,65,14,0,0,162,191,11,4,0,0,204,4,5,0,0,0,6,640,271,73,0,0,988,20,4,0,0,4,25,23,6,0,0,0,31,3535,662,97,6,3,4305
101021610,122,4,6,0,0,129,1301,70,10,0,0,1381,167,26,6,0,0,198,9,0,0,0,0,9,0,0,0,0,0,0,38,9,0,0,0,47,140,0,0,0,0,144,0,0,0,0,0,0,355,32,5,0,0,396,5,0,0,0,0,9,16,0,0,0,0,16,1796,107,16,0,0,1929
101021611,1837,26,6,7,0,1881,2810,16,12,3,6,2841,253,14,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,209,5,0,0,4,215,21,0,0,5,0,25,3,0,0,0,0,3,491,18,6,5,8,528,81,0,0,0,3,87,38,0,0,0,0,41,5265,66,24,13,11,5374
101031013,477,0,0,0,9,487,241,0,0,0,0,246,39,4,0,0,0,45,7,0,0,0,0,9,4,0,0,0,0,5,81,6,8,0,3,94,23,3,0,0,0,21,0,0,0,0,0,0,154,12,9,0,3,179,48,0,0,0,0,50,17,0,0,0,0,21,939,15,10,10,6,981
101031014,1007,26,9,3,0,1043,771,12,0,0,0,791,308,76,81,7,0,474,33,13,6,0,0,50,28,4,6,0,0,43,147,8,11,3,0,169,38,5,3,4,0,52,4,0,0,0,0,6,564,115,108,11,5,800,39,17,0,0,0,62,37,0,4,0,0,40,2415,166,121,26,9,2738
101031015,646,0,0,5,0,654,444,5,0,0,0,443,41,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,53,16,0,0,8,0,24,0,0,0,0,0,0,114,0,0,8,3,118,39,0,0,0,0,39,22,0,0,0,0,22,1255,3,0,13,9,1277
101031016,826,38,73,12,13,954,732,41,74,0,3,853,194,77,151,0,0,418,4,0,0,0,0,6,8,0,0,0,0,10,167,24,58,0,5,247,54,11,41,3,11,120,4,0,0,0,0,3,422,110,248,4,17,806,67,0,8,0,3,82,27,8,15,0,4,47,2072,193,417,15,42,2741
101041017,1224,99,114,35,3,1476,744,30,26,0,0,803,310,84,171,0,0,568,54,36,41,0,0,135,25,12,13,0,0,49,165,19,48,0,0,228,19,3,7,20,0,50,6,0,0,0,0,8,585,156,278,21,4,1040,19,44,21,3,5,94,36,10,8,4,4,58,2610,340,445,59,13,3468
101041018,1522,154,69,23,3,1778,775,53,28,0,3,855,363,131,126,5,0,625,34,10,16,0,0,60,17,3,7,0,0,37,143,30,23,0,0,193,14,0,4,11,0,30,4,4,0,0,0,10,576,179,176,14,4,947,39,11,5,0,0,49,50,15,6,3,0,68,2959,406,280,37,10,3697
101041019,1392,77,4,23,0,1499,959,28,0,3,0,996,364,90,45,0,0,499,86,34,10,0,0,126,17,21,0,0,0,38,180,24,8,0,0,214,29,3,0,5,0,41,7,5,0,0,0,10,671,171,72,8,5,931,36,22,0,6,0,64,57,11,0,0,3,70,3113,310,85,37,11,3559
101041020,1937,7,0,38,6,1988,1123,5,0,5,0,1132,116,0,0,0,0,123,0,3,0,0,0,3,0,3,0,0,0,3,230,6,0,6,0,243,19,0,0,0,0,21,0,3,0,0,0,4,368,15,5,12,0,400,110,0,0,3,0,110,71,0,0,0,0,67,3602,24,5,59,3,3699
101041021,609,55,13,49,3,719,358,21,3,0,0,385,103,19,10,0,0,137,0,0,0,0,0,0,3,0,0,0,0,5,90,11,3,0,0,117,8,5,0,18,0,35,0,0,0,0,0,0,211,40,17,14,6,293,24,62,0,0,0,90,20,9,0,3,0,31,1222,180,37,72,6,1514
101041022,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10
101041023,521,30,13,47,0,614,255,21,0,0,0,270,110,62,35,0,0,207,82,7,0,0,0,93,8,0,0,0,0,11,55,17,0,0,3,82,11,0,0,7,0,16,4,0,0,0,0,8,271,91,32,9,3,410,23,17,0,4,4,47,22,8,0,0,0,30,1088,169,49,66,8,1378
101041024,686,0,0,12,8,699,370,0,0,0,0,372,42,0,0,0,0,42,13,0,0,0,0,13,8,0,0,0,0,8,81,0,0,3,5,86,12,0,0,3,0,17,5,0,0,0,0,5,158,0,0,8,4,166,55,0,0,0,0,57,29,0,0,0,0,29,1287,0,0,26,9,1325
101041025,1937,307,127,12,11,2396,1038,102,80,0,11,1236,273,152,218,0,4,655,16,22,4,0,0,36,14,14,4,0,0,31,170,52,50,4,8,281,35,3,6,3,0,41,3,0,0,0,0,5,511,246,280,6,14,1050,75,30,15,0,0,114,39,13,11,0,6,61,3602,693,509,17,41,4863
101041026,1768,60,0,26,5,1853,898,21,0,0,0,923,230,57,16,11,0,309,37,33,0,0,0,67,5,15,0,0,0,23,207,20,5,6,0,238,15,4,0,3,0,27,3,4,0,0,0,9,500,131,27,15,0,673,50,4,0,0,0,59,60,9,0,4,0,79,3279,228,31,44,9,3586
101041027,2028,146,69,113,6,2364,796,18,15,3,0,838,243,52,114,0,0,417,42,30,4,15,0,85,33,13,0,0,0,45,199,33,22,9,5,256,21,3,0,8,3,31,3,3,0,0,0,10,540,129,142,30,4,847,63,6,0,6,3,77,65,0,9,4,0,81,3494,303,240,151,20,4206
