SA2_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
101021007,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,7,0,0,15,3,0,0,15,0,0,16,7,0,0,10,0,0,13,6,0,0,13,3,0,25,29,0,0,19,0,0,46,47,0,0,17,0,0,67,33,0,0,7,0,0,37,4,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,14,136,3,0,97,14,0,253
101021008,0,6,0,0,0,0,10,0,10,0,0,0,0,12,4,70,0,4,5,0,79,0,58,11,6,0,0,76,14,29,5,3,5,0,56,47,33,10,8,3,0,97,22,30,10,19,10,0,95,95,26,4,45,5,0,184,102,16,0,25,4,0,154,52,5,0,16,0,0,63,15,0,0,4,0,0,19,5,0,0,0,0,0,5,3,0,0,0,0,0,4,0,0,0,0,0,0,0,10,11,3,7,7,0,37,363,285,45,144,43,4,878
101021009,0,6,3,0,0,0,6,0,16,0,4,0,0,15,9,57,3,13,0,0,81,31,16,33,28,0,0,108,69,3,19,35,7,0,130,225,5,15,52,17,0,317,355,5,8,66,19,3,463,376,7,5,101,11,0,495,259,0,0,56,6,0,326,80,0,0,16,0,0,103,16,0,0,5,0,0,20,4,0,0,8,0,0,11,0,0,0,0,0,0,0,6,0,0,0,0,0,5,15,6,4,15,5,4,45,1440,127,78,402,67,9,2119
101021010,0,4,0,0,0,0,7,0,0,3,0,0,0,9,3,15,5,5,3,0,30,17,6,11,14,0,0,53,48,0,0,16,0,0,79,126,10,0,24,28,0,194,163,3,4,23,15,0,213,142,3,0,39,7,0,194,105,0,0,26,0,0,139,19,0,0,6,0,0,36,9,0,0,0,0,0,10,6,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,9,5,4,27,645,53,33,175,72,11,983
101021012,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,21,0,4,6,0,28,0,17,5,3,4,0,25,13,5,0,7,3,0,29,15,12,3,5,21,0,58,30,9,3,23,62,0,126,87,14,0,36,86,0,222,125,8,0,43,8,0,182,100,0,0,25,0,0,129,81,0,0,9,6,0,95,25,0,0,6,5,0,38,11,0,0,0,0,0,11,7,0,0,0,0,0,7,14,7,0,4,10,0,36,505,97,10,162,204,6,988
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,25,0,26,3,3,0,4,47,0,60,12,3,0,5,61,0,81,16,0,0,11,0,0,30,35,0,0,4,4,0,47,77,0,0,11,0,0,92,45,0,0,4,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,198,9,0,47,144,0,396
101021611,0,0,0,5,0,0,5,0,0,0,0,0,0,5,0,0,0,12,3,0,13,0,0,0,5,0,0,12,0,0,0,14,0,0,16,10,0,0,18,5,0,26,18,0,0,35,4,0,52,49,0,0,37,8,0,99,77,0,0,36,4,0,117,43,0,0,22,4,0,68,50,0,0,9,0,0,52,16,0,0,4,0,0,25,8,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,15,0,0,24,273,0,0,215,25,3,528
101031013,0,0,0,3,3,0,8,0,0,0,8,4,0,11,0,0,0,11,0,0,20,3,7,5,25,4,0,38,4,0,0,9,0,0,17,20,0,0,13,3,0,42,12,0,0,11,0,0,20,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,5,0,13,45,9,5,94,21,0,179
101031014,0,0,0,3,4,0,4,0,0,4,4,0,0,7,11,9,10,8,3,0,37,48,13,12,14,0,6,95,31,3,0,17,0,0,61,72,9,11,32,3,0,125,134,10,9,44,6,0,194,102,0,0,24,5,0,135,30,0,0,14,4,0,50,7,0,0,0,0,0,12,9,0,0,0,4,0,7,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,4,23,0,6,6,19,0,59,474,50,43,169,52,6,800
101031015,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,4,0,0,5,0,0,0,8,0,0,5,8,0,0,8,3,0,23,16,0,0,10,0,0,25,12,0,0,11,0,0,17,4,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,6,0,19,47,0,0,53,24,0,118
101031016,0,0,0,4,0,0,3,0,0,0,0,0,0,10,3,0,0,8,4,0,18,8,0,3,15,7,0,38,15,0,10,17,10,0,42,53,0,0,23,21,0,106,68,0,0,31,7,0,114,106,0,0,36,7,0,150,66,0,0,24,6,0,99,35,0,0,21,0,0,52,20,0,0,4,0,0,27,9,0,0,13,0,0,25,0,0,0,4,0,0,10,20,0,0,16,38,0,78,6,0,0,22,11,3,40,418,6,10,247,120,3,806
101041017,0,4,0,0,0,0,3,0,4,4,0,0,0,7,0,53,3,9,0,0,67,8,24,14,14,12,0,72,14,10,9,18,6,0,52,55,13,16,36,3,0,124,127,15,0,50,8,5,206,235,9,0,55,10,0,313,94,0,0,28,4,0,125,16,0,0,5,0,0,26,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,4,10,5,0,42,568,135,49,228,50,8,1040
101041018,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,5,0,0,19,5,8,5,18,0,0,34,17,10,4,10,0,0,34,60,9,10,23,7,0,117,148,3,10,36,4,0,199,256,3,0,65,11,3,339,100,3,0,24,5,0,128,21,0,0,4,0,0,26,4,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,10,4,0,37,625,60,37,193,30,10,947
101041019,0,4,0,0,6,0,13,0,3,0,0,0,0,6,11,49,16,9,9,0,90,8,20,3,22,0,0,50,23,14,7,16,6,0,69,59,13,4,27,5,0,111,116,16,3,49,5,4,190,214,8,5,60,6,6,297,54,0,0,9,0,0,64,5,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,12,9,4,29,499,126,38,214,41,10,931
101041020,0,0,0,7,4,0,9,0,0,0,5,0,0,5,4,3,7,22,3,0,31,0,0,0,26,0,0,34,0,0,0,32,0,0,43,25,0,0,39,9,0,66,38,0,3,47,0,0,85,34,0,0,27,0,0,66,18,0,0,0,0,0,18,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,26,8,0,35,123,3,3,243,21,4,400
