SA2_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
101021007,670,1312,0,12,38,200,12,52,213,837,268,1098,19,69,16,61,81,259,119,385,384,1482,4,13,13,41,8,24,53,137,74,218,0,0,9,14,39,85,47,100,121,320,15,29,1186,3148
101021008,808,1629,8,66,81,380,36,184,530,2017,654,2647,56,235,73,248,242,780,371,1271,1025,3914,10,29,24,75,23,73,188,511,234,688,14,42,24,54,185,405,218,501,455,1188,38,71,2326,6806
101021009,1132,2270,16,96,70,340,35,158,673,2503,795,3101,28,115,57,191,167,525,251,832,1048,3933,3,25,17,55,20,60,207,517,250,659,18,65,42,91,192,407,255,562,511,1221,71,149,2758,7578
101021010,524,1048,7,15,33,144,12,41,324,1194,371,1403,13,52,39,144,79,264,133,455,507,1863,6,24,10,25,7,14,106,246,128,310,8,28,13,29,66,156,93,214,216,522,34,69,1289,3499
101021012,1111,2208,42,219,207,926,49,195,1022,3947,1319,5287,126,551,199,700,341,1090,664,2335,1978,7625,0,10,40,118,11,52,181,446,237,617,19,69,49,115,167,376,245,557,480,1168,27,61,3603,11071
101021610,503,1004,10,64,92,401,17,81,863,3244,979,3790,36,147,37,134,60,193,137,472,1111,4264,4,8,7,35,5,19,82,214,103,284,6,14,13,30,32,66,51,105,155,391,12,18,1778,5673
101021611,2035,4069,51,265,226,1021,59,259,1138,4550,1472,6096,132,539,199,688,477,1514,810,2746,2287,8838,0,17,41,117,12,39,170,432,222,607,15,44,34,74,142,311,191,425,415,1027,35,65,4765,14003
101031013,339,668,0,13,24,92,9,24,115,478,143,609,8,42,15,44,34,102,57,187,201,793,4,14,5,18,3,14,38,105,49,148,0,0,11,13,30,57,39,72,89,220,4,9,625,1691
101031014,795,1570,10,54,53,253,21,88,352,1367,439,1761,20,77,27,93,129,424,176,595,616,2352,3,27,12,49,8,19,114,321,138,411,14,41,25,60,119,257,160,358,303,773,16,37,1723,4731
101031015,493,971,5,33,37,161,13,43,186,748,234,985,15,65,31,98,73,224,121,381,354,1368,0,0,7,29,0,0,25,74,32,105,0,8,7,21,44,90,52,118,90,220,14,18,942,2568
101031016,816,1618,15,64,106,450,19,87,434,1683,566,2280,32,125,72,238,107,342,215,698,782,2978,0,5,18,46,6,20,88,216,109,285,6,19,33,66,73,157,111,243,223,529,17,30,1839,5156
101041017,1208,2432,19,93,60,290,24,133,323,1283,429,1797,28,110,29,85,155,471,206,666,634,2469,11,48,28,121,21,81,186,533,248,777,14,40,27,52,152,325,183,416,432,1194,26,56,2309,6145
101041018,1441,2871,7,31,64,284,30,144,339,1322,437,1779,25,112,47,149,151,465,223,715,657,2499,5,21,38,128,24,86,157,419,222,654,14,41,30,66,159,344,198,451,418,1103,22,49,2543,6519
101041019,1116,2217,7,48,86,407,40,173,463,1814,593,2434,21,83,51,177,151,466,223,722,816,3157,5,35,23,91,9,36,182,490,222,647,5,23,26,61,184,398,219,485,444,1135,19,43,2395,6550
101041020,1436,2857,15,85,97,460,59,283,448,1763,615,2592,37,139,47,159,210,670,301,964,915,3564,5,29,18,69,13,52,121,321,163,476,8,30,22,47,152,320,186,394,345,870,22,47,2710,7331
101041021,553,1098,5,29,36,150,13,42,188,736,238,957,10,44,33,109,65,203,111,355,346,1312,4,20,17,58,5,14,44,108,70,196,9,17,23,39,56,113,83,170,146,365,14,31,1063,2808
101041022,7,15,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,22
101041023,468,931,3,14,25,132,7,43,128,496,167,686,5,5,17,57,59,178,80,246,247,932,0,15,8,28,8,36,72,201,92,279,4,9,5,10,60,130,70,155,164,434,16,28,891,2325
101041024,566,1131,8,58,26,125,7,36,122,487,166,702,14,49,20,56,85,275,118,382,281,1083,0,0,14,34,6,32,45,126,67,194,5,10,5,22,42,98,60,125,123,320,10,26,987,2564
101041025,1855,3683,15,78,93,416,32,138,519,2005,656,2639,38,145,68,214,182,571,291,936,948,3573,0,3,27,94,10,28,150,379,188,510,9,36,49,106,141,289,196,425,390,936,28,54,3216,8247
101041026,1430,2862,4,30,59,266,25,128,329,1294,422,1717,24,115,40,141,167,523,236,778,657,2495,5,28,20,83,13,50,114,316,161,473,7,29,16,37,141,304,166,372,331,842,30,63,2449,6267
101041027,1689,3362,16,80,77,355,29,139,348,1363,472,1931,32,127,32,107,139,418,200,651,670,2579,9,36,17,72,11,33,146,385,185,533,3,13,20,38,153,311,172,364,355,893,20,38,2736,6879
101051539,2559,5130,58,305,174,824,119,575,1312,5170,1662,6873,73,314,142,463,478,1534,692,2310,2350,9180,21,94,55,198,65,245,523,1457,667,1995,30,92,92,197,455,967,575,1251,1236,3249,92,199,6245,17755
101051540,1936,3867,35,198,153,716,67,312,691,2784,956,4006,71,299,99,321,321,1012,491,1630,1445,5635,3,17,26,85,22,80,151,410,194,588,14,62,33,70,166,348,214,481,406,1070,26,61,3812,10632
101061541,716,1445,13,58,62,290,36,158,446,1745,552,2248,26,103,48,165,163,514,235,782,790,3034,8,20,19,58,15,45,104,304,143,418,16,51,30,59,110,235,154,345,296,763,21,45,1827,5281
101061542,1514,3025,27,149,210,949,40,173,872,3521,1149,4793,97,392,170,579,312,1021,582,1997,1730,6789,8,36,27,86,10,28,107,294,152,441,18,45,34,73,120,250,169,361,326,804,22,42,3591,10659
101061543,1194,2369,35,185,113,540,52,227,591,2433,783,3383,41,176,58,183,181,579,286,936,1069,4323,15,63,44,165,28,96,244,685,326,1005,20,55,42,75,160,349,217,477,544,1482,49,104,2851,8285
101061544,1028,2039,22,99,66,312,23,104,376,1534,481,2046,28,114,53,159,156,469,234,747,718,2794,0,0,17,42,10,33,98,295,119,369,12,41,20,51,105,222,142,310,262,687,26,47,2024,5563
102011028,784,1574,26,111,133,611,26,109,511,2014,692,2841,63,259,99,333,155,486,317,1078,1005,3914,6,10,42,119,9,18,104,263,148,410,22,79,32,80,105,229,163,389,314,798,13,30,2124,6316
102011029,1495,2981,18,104,130,594,34,160,683,2667,866,3523,68,305,134,454,287,903,491,1659,1357,5185,8,20,18,68,9,29,111,301,150,418,19,44,29,69,169,362,219,478,369,897,31,58,3247,9122
102011030,559,1123,6,35,50,221,19,86,208,835,280,1186,30,144,49,159,167,528,248,834,530,2014,3,17,5,40,4,4,48,135,61,203,5,23,15,34,78,166,96,218,165,424,17,31,1262,3588
102011031,1722,3468,31,167,165,749,45,194,794,3184,1035,4295,89,370,183,648,341,1083,617,2106,1649,6401,12,44,45,142,16,57,176,483,242,721,19,62,55,131,253,553,327,749,575,1472,39,68,3978,11411
102011032,2304,4628,29,158,149,671,28,147,1192,4410,1401,5389,78,311,161,539,320,1027,549,1872,1954,7257,13,75,74,248,34,132,437,1079,566,1531,31,113,128,268,467,1001,630,1376,1196,2907,99,205,5554,15002
102011033,547,1108,20,109,97,450,31,136,471,1873,611,2563,56,230,73,262,208,679,331,1164,942,3729,12,52,25,81,11,47,110,310,155,489,17,52,13,30,102,240,132,324,293,815,9,29,1791,5684
102011034,854,1710,19,99,85,393,23,111,440,1768,566,2371,51,222,65,225,159,518,278,970,848,3336,3,26,33,96,4,26,118,302,158,453,20,55,29,72,130,296,184,421,343,873,13,33,2058,5953
102011035,715,1439,21,131,102,479,26,110,507,2012,658,2721,47,197,53,181,207,683,309,1064,965,3781,9,41,19,76,9,21,120,325,157,462,22,76,29,61,140,307,188,437,346,899,12,25,2036,6148
102011036,748,1501,25,152,143,660,33,147,543,2157,745,3117,62,266,105,343,241,796,401,1405,1145,4521,9,56,32,106,8,37,122,340,180,537,21,79,35,78,140,303,196,463,374,999,17,47,2286,7065
102011037,705,1417,17,93,64,296,15,66,419,1631,516,2085,36,149,84,297,172,545,286,982,802,3068,0,0,18,63,5,13,92,231,112,310,9,28,25,50,134,279,160,357,276,667,19,42,1802,5199
102011038,880,1772,16,78,93,426,25,122,438,1748,577,2381,53,218,74,267,184,591,315,1080,892,3458,6,25,11,51,6,26,111,286,133,391,8,28,26,65,104,233,145,322,280,709,12,26,2059,5962
102011039,1753,3508,32,181,219,987,33,146,944,3702,1221,5020,123,498,163,548,334,1050,614,2096,1841,7121,12,57,53,163,14,50,196,501,273,765,35,108,81,166,183,412,301,684,578,1449,28,58,4189,12136
