SA2_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
101021007,39,10,88,606,1144,624,424,530,318,3650
101021008,39,8,99,1457,1993,776,537,1670,464,6895
101021009,175,53,347,2041,2705,950,558,2772,591,9608
101021010,27,5,58,1013,1346,452,262,974,246,4296
101021012,28,0,79,2412,3452,1300,751,1766,351,10023
101021610,0,0,6,1021,1666,533,346,597,184,4350
101021611,49,6,109,2870,4467,2141,1238,1799,818,13330
101031013,46,8,76,377,505,269,240,458,197,2048
101031014,135,23,244,1080,1518,679,475,1328,573,5657
101031015,19,18,66,550,888,393,316,486,292,2925
101031016,45,8,88,1646,2043,793,441,1257,557,6741
101041017,192,14,319,1143,1883,915,705,2048,554,7241
101041018,193,34,345,1226,2135,1207,809,1745,588,7714
101041019,78,82,287,1300,2094,1131,777,1462,554,7313
101041020,52,12,121,1340,2332,1385,1104,1205,697,8063
101041021,79,9,163,630,1002,497,293,598,206,3222
101041022,0,0,0,6,14,9,7,3,5,39
101041023,65,35,136,436,726,438,263,722,292,2883
101041024,13,9,42,492,824,479,420,528,333,3064
101041025,213,57,453,1827,3014,1557,973,2005,611,9992
101041026,112,39,276,1272,2118,1217,840,1385,653,7490
101041027,220,63,444,1376,2419,1438,964,1691,741,8634
101051539,417,63,733,3755,5223,2367,1648,5374,1706,20071
101051540,134,47,299,2134,3158,1627,1391,2156,1093,11558
101061541,148,28,252,1067,1633,731,480,1224,313,5451
101061542,45,14,135,2181,3364,1606,1060,1354,612,10172
101061543,197,33,344,1532,2145,1097,880,2423,690,8779
101061544,93,22,171,1117,1524,841,740,1483,651,6360
102011028,23,8,81,1274,1898,1001,644,958,204,5981
102011029,100,24,260,1654,2821,1555,1072,1687,408,9199
102011030,29,6,79,742,1072,596,522,768,364,4061
102011031,284,434,1008,2192,3350,1721,1276,2754,1142,12434
102011032,259,69,551,3652,5103,2126,1413,4527,1140,17965
102011033,30,9,74,1064,1506,659,504,1132,205,5066
102011034,232,105,520,1116,1703,896,646,1557,370,6293
102011035,38,4,78,1181,1683,854,538,1239,172,5667
102011036,124,15,194,1337,1975,1008,674,1339,201,6544
102011037,143,18,252,1047,1623,836,552,1149,228,5428
102011038,85,36,222,1155,1744,935,602,1175,248,5861
