SA2_CODE_2021,CANA_HNA_MHC_dep_anx,CANA_HNA_Stroke,CANA_HNA_oth_LTHC,CANA_HNA_no_LTHC,CANA_HNA_LTHC_NS,CANA_HNA_Tot,CANA_dsnt_HNA_Arth,CANA_dsnt_HNA_Asth,CANA_dsnt_HNA_Can_rem,CANA_dsnt_HNA_Dem_Alzh,CANA_dsnt_HNA_Dis_ges_dia,CANA_dsnt_HNA_HD_HA_ang,CANA_dsnt_HNA_Kid_dis,CANA_dsnt_HNA_LC_COPD_emph,CANA_dsnt_HNA_MHC_dep_anx,CANA_dsnt_HNA_Stroke,CANA_dsnt_HNA_oth_LTHC,CANA_dsnt_HNA_no_LTHC,CANA_dsnt_HNA_LTHC_NS,CANA_dsnt_HNA_Tot,CANA_NFA_NS_Arth,CANA_NFA_NS_Asth,CANA_NFA_NS_Can_rem,CANA_NFA_NS_Dem_Alzh,CANA_NFA_NS_Dia_ges_dia,CANA_NFA_NS_HD_HA_ang,CANA_NFA_NS_Kid_dis,CANA_NFA_NS_LC_COPD_emph,CANA_NFA_NS_MHC_dep_anx,CANA_NFA_NS_Stroke,CANA_NFA_NS_oth_LTHC,CANA_NFA_NS_no_LTHC,CANA_NFA_NS_LTHC_NS,CANA_NFA_NS_Tot,CANA_Tot_Arth,CANA_Tot_Asth,CANA_Tot_Can_rem,CANA_Tot_Dem_Alzh,CANA_Tot_Dia_ges_dia,CANA_Tot_HD_HA_ang,CANA_Tot_Kid_dis,CANA_Tot_LC_COPD_emph,CANA_Tot_MHC_dep_anx,CANA_Tot_Stroke,CANA_Tot_oth_LTHC,CANA_Tot_no_LTHC,CANA_Tot_LTHC_NS,CANA_Tot_Tot,ADFS_CS_Arth,ADFS_CS_Asth,ADFS_CS_Can_rem,ADFS_CS_Dem_Alzh,ADFS_CS_Dia_ges_dia,ADFS_CS_HD_HA_ang,ADFS_CS_Kid_dis,ADFS_CS_LC_COPD_emph,ADFS_CS_MHC_dep_anx,ADFS_CS_Stroke,ADFS_CS_oth_LTHC,ADFS_CS_no_LTHC,ADFS_CS_LTHC_NS,ADFS_CS_Tot,ADFS_PS_NCS_Arth,ADFS_PS_NCS_Asth,ADFS_PS_NCS_Can_rem,ADFS_PS_NCS_Dem_Alzh,ADFS_PS_NCS_Dia_ges_dia,ADFS_PS_NCS_HD_HA_ang,ADFS_PS_NCS_Kid_dis,ADFS_PS_NCS_LC_COPD_emph,ADFS_PS_NCSMHC_dep_anx,ADFS_PS_NCS_Stroke,ADFS_PS_NCS_oth_LTHC,ADFS_PS_NCS_no_LTHC,ADFS_PS_NCS_LTHC_NS,ADFS_PS_NCS_Tot,ADFS_Tot_Ser_Arth,ADFS_Tot_Ser_Asth,ADFS_Tot_Ser_Can_rem,ADFS_Tot_Ser_Dem_Alzh,ADFS_Tot_Ser_Dia_ges_dia,ADFS_Tot_Ser_HD_HA_ang,ADFS_Tot_Ser_Kid_dis,ADFS_Tot_Ser_LC_COPD_emph,ADFS_Tot_SerMHC_dep_anx,ADFS_Tot_Ser_Stroke,ADFS_Tot_Ser_oth_LTHC,ADFS_Tot_Ser_no_LTHC,ADFS_Tot_Ser_LTHC_NS,ADFS_Tot_Ser_Tot,ADFS_HNS_Arth,ADFS_HNS_Asth,ADFS_HNS_Can_rem,ADFS_HNS_Dem_Alzh,ADFS_HNS_Dia_ges_dia,ADFS_HNS_HD_HA_ang,ADFS_HNS_Kid_dis,ADFS_HNS_LC_COPD_emph,ADFS_HNS_MHC_dep_anx,ADFS_HNS_Stroke,ADFS_HNS_oth_LTHC,ADFS_HNS_no_LTHC,ADFS_HNS_LTHC_NS,ADFS_HNS_Tot,ADFS_NS_Arth,ADFS_NS_Asth,ADFS_NS_Can_rem,ADFS_NS_Dem_Alzh,ADFS_NS_Dia_ges_dia,ADFS_NS_HD_HA_ang,ADFS_NS_Kid_dis,ADFS_NS_LC_COPD_ang,ADFS_NS_MHC_dep_anx,ADFS_NS_Stroke,ADFS_NS_oth_LTHC,ADFS_NS_no_LTHC,ADFS_NS_LTHC_NS,ADFS_NS_Tot,ADFS_Tot_Arth,ADFS_Tot_Asth,ADFS_Tot_Can_rem,ADFS_Tot_Dem_Alzh,ADFS_Tot_Dia_ges_dia,ADFS_Tot_HD_HA_ang,ADFS_Tot_Kid_dis,ADFS_Tot_LC_COPD_emph,ADFS_Tot_MHC_dep_anx,ADFS_Tot_Stroke,ADFS_Tot_oth_LTHC,ADFS_Tot_no_LTHC,ADFS_Tot_LTHC_NS,ADFS_Tot_Tot
101021007,82,16,71,9,4,231,481,321,145,5,147,176,28,77,289,31,233,2302,110,3747,0,8,0,0,0,0,0,0,4,0,0,17,340,365,584,363,179,38,185,225,41,102,371,52,309,2336,454,4343,5,0,0,0,0,0,0,0,0,0,0,13,0,20,46,12,20,3,19,27,0,14,34,3,20,71,0,182,53,12,20,3,19,27,0,14,31,3,19,87,3,201,527,304,161,32,169,200,40,91,322,48,275,1677,99,3146,4,6,0,0,0,3,0,3,0,0,0,10,286,302,584,319,179,38,185,225,44,102,354,52,290,1777,381,3650
101021008,154,29,175,43,8,462,718,768,197,7,383,223,95,132,756,39,558,4672,247,7504,12,3,0,0,8,3,0,0,4,0,9,30,497,547,886,868,245,37,468,312,146,184,910,80,732,4738,749,8517,12,17,0,0,0,0,0,0,18,0,6,64,3,110,52,19,19,6,28,23,3,11,40,8,33,126,0,257,61,37,21,6,35,28,4,11,61,9,39,189,6,366,822,686,218,33,429,276,137,168,793,66,610,3300,202,6080,3,3,4,0,3,7,3,4,9,0,3,29,391,447,885,728,245,37,468,304,143,181,864,80,650,3513,596,6895
101021009,241,69,288,62,9,745,863,889,226,13,502,288,87,147,1072,55,786,6423,287,9989,8,4,0,0,0,0,4,0,7,0,8,34,552,615,1110,995,297,137,622,433,152,227,1322,124,1081,6516,851,11342,10,6,4,0,4,0,0,0,14,0,17,110,3,155,79,22,17,3,38,32,9,14,69,8,50,155,5,354,89,26,19,3,43,32,9,14,86,8,60,270,12,510,999,856,277,130,570,389,138,211,1193,113,945,4794,241,8558,22,5,4,5,5,10,6,0,6,4,10,34,471,539,1110,889,297,137,623,434,152,227,1283,123,1014,5091,724,9608
101021010,71,17,98,15,3,224,379,424,108,8,175,127,35,71,504,26,360,2970,126,4610,0,0,0,0,0,5,0,3,3,0,3,26,223,253,455,470,125,15,214,173,55,97,579,44,462,3008,351,5085,15,5,4,0,3,4,0,0,9,0,15,107,3,150,35,19,14,0,13,17,6,9,37,6,25,89,5,197,51,26,14,0,18,22,5,6,49,5,36,199,8,357,401,381,108,8,192,148,49,85,516,37,392,2149,104,3727,0,0,0,3,0,0,0,0,0,0,0,16,195,218,459,416,125,15,212,173,55,95,563,44,427,2364,303,4296
101021012,120,32,182,34,8,426,833,1033,305,7,415,262,77,117,1013,51,943,7864,373,11889,8,4,0,0,0,0,0,0,0,0,0,42,376,430,960,1095,343,33,469,326,89,160,1138,83,1127,7945,754,12744,57,28,16,0,10,6,0,8,48,5,71,408,10,589,102,50,36,5,49,39,13,15,88,11,78,273,15,587,162,76,51,5,61,43,13,19,142,10,148,676,23,1171,792,824,291,27,399,282,76,134,917,65,853,5069,270,8524,5,0,0,0,0,3,0,3,10,3,5,22,280,324,963,897,344,33,465,324,87,153,1065,83,1000,5776,580,10023
101021610,52,7,83,18,0,153,248,499,67,4,148,65,20,25,484,9,413,4183,131,5835,0,3,0,0,0,0,0,0,0,0,0,28,201,233,277,533,83,9,163,85,23,38,537,18,498,4228,332,6224,38,19,10,0,4,3,3,0,48,0,38,265,12,392,31,18,11,0,17,12,3,4,35,0,33,93,3,204,66,39,17,0,24,11,8,7,80,0,68,361,11,596,215,386,64,7,136,65,18,25,419,12,340,2294,72,3587,0,0,0,0,0,0,0,0,0,0,0,13,155,169,275,419,80,9,158,79,26,31,501,16,409,2670,233,4350
101021611,180,31,225,65,10,595,1384,1360,441,16,553,461,118,183,1275,67,1169,9542,480,15025,8,5,3,0,9,0,0,0,5,0,10,49,843,920,1587,1455,505,47,647,557,169,252,1469,103,1405,9654,1342,16539,41,21,12,0,5,4,0,3,27,0,46,206,6,325,141,48,45,0,71,63,14,20,107,7,119,346,21,742,184,68,55,0,75,67,14,17,133,7,161,550,24,1070,1385,1167,442,46,551,478,152,228,1258,93,1111,6489,362,11477,9,9,5,0,11,11,0,4,5,0,9,56,693,782,1581,1248,501,47,638,549,166,252,1392,101,1287,7093,1076,13330
101031013,35,15,48,11,0,146,262,139,72,0,92,92,24,48,155,23,114,1322,81,2093,0,0,0,0,0,0,0,3,0,0,4,3,195,213,326,158,90,24,123,133,32,66,183,42,163,1334,273,2454,0,0,0,0,0,0,0,0,0,0,0,3,0,3,13,3,10,0,13,13,4,6,10,4,3,23,4,72,13,3,10,0,13,13,4,6,10,4,3,26,4,69,310,132,83,25,110,114,27,65,162,34,140,989,63,1789,6,0,0,0,0,3,0,0,3,4,3,3,165,184,330,135,90,24,122,133,32,66,177,42,149,1021,228,2048
101031014,158,38,227,37,11,511,664,486,186,8,302,239,45,126,585,30,371,3461,188,5677,10,0,6,0,4,5,0,4,11,4,0,28,511,569,875,568,240,81,399,336,79,190,756,74,598,3531,705,6761,0,0,0,0,0,0,0,0,0,0,3,6,4,14,55,19,20,5,32,29,12,16,27,9,28,64,5,198,55,19,20,5,32,29,12,16,27,9,25,65,9,212,803,484,218,68,359,300,64,170,679,66,503,2552,149,4904,15,3,4,6,8,8,0,0,3,7,13,37,468,545,870,505,238,81,399,336,75,183,709,74,546,2654,618,5657
101031015,51,7,67,10,0,166,346,262,112,4,123,141,21,61,249,21,211,1811,116,2979,0,0,0,0,5,0,0,0,0,0,0,22,298,325,410,291,134,15,160,172,30,83,303,32,280,1843,415,3472,0,0,0,0,0,0,0,0,5,0,0,0,0,8,37,17,5,0,21,23,0,8,22,3,22,63,5,148,35,12,6,0,21,23,0,8,27,3,26,67,5,156,366,239,120,13,130,141,31,74,261,29,223,1358,89,2488,4,0,3,0,4,3,0,6,0,0,6,11,258,283,408,254,134,15,157,170,32,83,286,32,251,1435,352,2925
