SA2_CODE_2021,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
101021007,4,0,52,0,4,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,0,0,0,0,0,0,0,51,3,0,0,3,0,60,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,508,16,0,0,16,0,528,17,21,0,0,21,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,0,0,21,0,41,0,0,0,0,0,0,0,528,33,0,0,33,3,570
101021008,8,0,151,3,19,0,0,19,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,16,0,22,0,0,0,0,0,0,0,152,22,0,0,22,0,175,49,0,0,0,0,0,50,0,11,0,0,13,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,10,0,0,0,0,0,0,0,47,10,0,0,12,0,61,19,0,0,0,0,0,19,3,3,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,8,0,0,0,0,0,0,0,20,5,0,0,5,0,24,1090,34,0,4,36,0,1131,67,169,4,0,168,0,234,4,10,0,0,9,0,11,0,0,0,0,0,0,0,70,176,3,0,178,0,246,0,0,0,0,0,0,0,1162,210,3,4,215,0,1377
101021009,7,0,99,11,33,3,0,35,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,33,3,0,35,0,44,0,0,0,0,0,0,0,103,37,3,0,40,0,140,18,0,0,0,0,0,18,5,12,0,0,12,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,12,0,16,0,0,0,0,0,0,0,20,12,0,0,12,0,39,12,0,0,0,0,0,12,3,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,3,0,0,0,0,0,0,0,14,3,0,0,3,0,18,910,43,0,0,43,0,949,57,422,9,0,430,0,488,0,21,0,0,21,0,21,0,3,0,0,3,0,3,57,443,9,0,450,0,510,0,3,0,0,3,5,10,970,486,9,0,492,5,1464
101021010,0,0,52,3,9,0,0,9,0,12,0,6,0,0,6,0,6,0,0,0,0,0,0,0,3,11,0,0,11,0,14,0,0,0,0,0,0,0,51,12,0,0,12,0,66,17,0,0,0,0,0,17,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,7,0,0,0,0,0,0,0,17,7,0,0,7,0,22,9,0,0,0,0,0,9,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,9,5,0,0,5,0,15,423,12,0,0,12,0,440,30,191,9,0,204,0,234,0,9,0,0,9,0,9,0,0,0,0,0,0,0,30,205,9,0,215,0,245,0,5,0,0,5,0,5,458,224,9,0,232,0,689
101021012,16,0,385,14,50,0,0,50,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,50,0,0,50,0,62,0,0,0,0,0,0,0,388,63,0,0,63,0,450,176,7,0,0,7,0,186,7,24,0,0,18,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,0,0,18,0,27,0,0,0,0,0,0,0,184,30,0,0,28,0,214,55,0,0,0,0,0,50,0,10,0,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,6,0,0,0,0,0,0,0,53,10,0,0,10,0,65,2388,69,3,0,72,0,2456,119,337,3,0,340,0,455,0,8,4,0,9,0,9,0,3,0,0,3,0,3,119,344,9,0,349,0,466,6,0,0,0,0,0,6,2510,412,9,0,420,0,2935
101021610,0,0,100,6,30,0,0,30,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,30,0,0,30,0,33,0,0,0,0,0,0,0,102,30,0,0,30,0,135,29,0,0,0,0,0,29,0,13,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,13,0,0,0,0,0,0,0,32,13,0,0,13,0,40,6,0,0,0,0,0,6,0,6,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0,6,6,0,0,6,0,15,1348,52,0,0,52,0,1403,52,353,5,0,360,0,408,0,7,0,0,7,0,7,0,0,0,0,0,0,0,52,360,5,0,365,0,411,0,4,0,0,4,0,7,1401,424,5,0,427,0,1826
101021611,7,0,457,13,14,0,0,14,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,0,14,0,28,0,0,0,0,0,0,0,463,16,0,0,21,0,485,132,0,0,0,0,0,132,7,5,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,5,0,13,0,0,0,0,0,0,0,134,8,0,0,8,0,143,63,0,0,0,0,0,63,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,61,0,0,0,0,0,63,3046,60,0,0,57,5,3107,107,104,0,0,105,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,105,0,0,106,0,214,3,0,0,0,0,5,11,3154,162,0,0,165,10,3328
101031013,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,34,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,13,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,320,0,0,0,0,0,320,5,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,6,0,0,0,0,0,5,5,318,0,0,0,4,5,330
101031014,0,0,93,0,5,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,7,0,0,0,0,0,0,0,92,11,0,0,11,0,96,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,15,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,755,23,0,0,23,4,783,19,83,0,0,80,0,102,0,10,0,0,10,0,10,0,0,0,0,0,0,0,19,90,0,0,87,0,110,0,0,0,0,0,3,3,775,114,0,0,120,3,895
101031015,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,75,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,496,6,0,0,6,0,494,8,11,0,0,11,0,19,0,7,3,0,6,0,6,0,0,0,0,0,0,0,8,15,3,0,20,0,24,0,0,0,0,0,0,0,497,19,3,0,21,0,517
